,id,pct_sex_age_male,pct_sex_age_female,pct_sex_age_85+,median_age,pct_sex_age_18+,pct_sex_age_21+,pct_sex_age_62+,pct_sex_age_65+,pct_one_or_more_race,pct_white,pct_black,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_other_race,pct_ethnicity_hispanic,Geographic Area Name,year,total_pop,fips
0,0500000US01001,48.5,51.5,1.1,36.2,72.3,67.9,14.3,11.4,53155,80.4,18.2,1.0,1.1,0.1,0.7,2.3,"Autauga County, Alabama",2010,53155,01001
1,0500000US01003,48.9,51.1,1.6,41.0,76.7,73.3,20.1,16.5,175791,87.3,10.0,1.4,1.0,0.0,1.9,3.9,"Baldwin County, Alabama",2010,175791,01003
2,0500000US01005,52.9,47.1,1.8,38.0,77.5,73.7,16.7,13.7,27699,50.4,47.4,1.1,0.3,0.0,2.1,4.6,"Barbour County, Alabama",2010,27699,01005
3,0500000US01007,53.8,46.2,0.7,38.3,76.6,72.5,15.7,12.4,22610,84.3,15.4,0.4,0.2,0.0,0.0,0.6,"Bibb County, Alabama",2010,22610,01007
4,0500000US01009,49.5,50.5,1.2,38.3,75.2,71.3,18.1,14.2,56692,96.2,1.7,1.1,0.4,0.0,1.7,7.5,"Blount County, Alabama",2010,56692,01009
5,0500000US01011,53.5,46.5,2.1,38.7,77.1,72.1,14.5,12.2,10923,24.3,75.1,0.9,0.4,0.7,0.0,1.6,"Bullock County, Alabama",2010,10923,01011
6,0500000US01013,46.9,53.1,1.9,39.7,75.7,72.6,19.6,16.4,20895,55.9,43.5,0.6,0.8,0.0,0.2,0.3,"Butler County, Alabama",2010,20895,01013
7,0500000US01015,48.1,51.9,1.5,38.1,77.0,72.0,17.0,14.1,117149,76.7,21.1,0.9,1.0,0.1,1.6,3.0,"Calhoun County, Alabama",2010,117149,01015
8,0500000US01017,47.5,52.5,2.1,40.1,76.5,73.0,19.9,16.3,34579,60.1,39.4,0.7,0.5,0.1,0.3,1.5,"Chambers County, Alabama",2010,34579,01017
9,0500000US01019,49.8,50.2,1.8,43.9,79.2,76.1,21.0,17.5,25700,93.6,4.9,1.2,0.4,0.1,0.6,1.2,"Cherokee County, Alabama",2010,25700,01019
10,0500000US01021,49.4,50.6,1.3,37.2,74.7,71.0,15.9,13.3,43121,88.8,10.3,0.9,0.3,0.0,1.0,6.5,"Chilton County, Alabama",2010,43121,01021
11,0500000US01023,48.6,51.4,2.0,43.2,76.9,72.9,21.8,17.4,14111,56.5,43.2,0.9,0.3,0.0,0.4,0.4,"Choctaw County, Alabama",2010,14111,01023
12,0500000US01025,47.1,52.9,2.0,38.9,74.3,68.1,18.8,15.3,26255,55.5,42.3,2.4,0.4,0.0,0.1,0.9,"Clarke County, Alabama",2010,26255,01025
13,0500000US01027,49.0,51.0,3.7,41.3,77.7,75.0,20.9,17.9,14040,83.7,16.0,1.2,0.0,0.0,0.5,2.6,"Clay County, Alabama",2010,14040,01027
14,0500000US01029,49.9,50.1,1.6,40.1,76.0,72.7,19.5,15.7,14823,95.5,4.5,0.9,0.1,0.0,0.2,1.4,"Cleburne County, Alabama",2010,14823,01029
15,0500000US01031,49.1,50.9,1.9,37.9,75.8,72.4,17.3,14.5,48349,79.8,17.9,2.2,1.7,0.3,0.9,5.6,"Coffee County, Alabama",2010,48349,01031
16,0500000US01033,48.1,51.9,2.1,41.6,77.7,73.9,20.3,17.0,54446,82.4,16.6,1.1,0.5,0.0,0.6,2.0,"Colbert County, Alabama",2010,54446,01033
17,0500000US01035,50.9,49.1,2.3,43.4,76.1,71.2,21.7,17.3,13382,52.8,46.2,1.7,0.0,0.0,0.0,0.3,"Conecuh County, Alabama",2010,13382,01035
18,0500000US01037,49.4,50.6,1.9,43.8,78.8,75.3,20.2,16.6,11470,66.1,33.8,0.5,0.0,0.0,0.1,0.1,"Coosa County, Alabama",2010,11470,01037
19,0500000US01039,48.5,51.5,2.0,42.1,77.3,72.7,21.9,18.1,37608,85.5,13.3,0.4,0.5,0.1,0.8,1.3,"Covington County, Alabama",2010,37608,01039
20,0500000US01041,48.4,51.6,1.3,39.5,76.2,72.7,20.1,16.2,13928,74.5,21.5,1.2,4.2,0.1,0.0,1.3,"Crenshaw County, Alabama",2010,13928,01041
21,0500000US01043,49.7,50.3,1.8,39.5,76.5,72.4,18.3,15.5,79941,97.3,1.5,1.5,0.5,0.0,0.7,4.0,"Cullman County, Alabama",2010,79941,01043
22,0500000US01045,49.3,50.7,1.6,35.8,75.0,71.2,16.3,13.3,49730,77.5,21.1,1.7,1.6,0.2,0.9,5.2,"Dale County, Alabama",2010,49730,01045
23,0500000US01047,46.1,53.9,1.6,36.8,73.0,68.7,17.1,13.7,44066,30.1,69.1,0.3,0.4,0.0,0.4,0.7,"Dallas County, Alabama",2010,44066,01047
24,0500000US01049,49.4,50.6,1.4,37.0,74.0,70.6,17.3,13.7,70038,94.1,2.1,2.8,0.4,0.1,2.4,12.2,"DeKalb County, Alabama",2010,70038,01049
