,pct_sex_age_male,pct_sex_age_female,pct_sex_age_85+,median_age,pct_sex_age_18+,pct_sex_age_21+,pct_sex_age_62+,pct_sex_age_65+,pct_one_or_more_race,pct_white,pct_black,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_other_race,pct_ethnicity_hispanic,id,Geographic Area Name,year,total_pop,fips
0,48.5,51.5,1.1,36.4,72.7,68.5,14.5,11.7,53944,80.4,18.4,1.0,1.2,0.0,0.7,2.4,0500000US01001,"Autauga County, Alabama",2011,53944,01001
1,48.8,51.2,1.8,41.4,76.8,73.4,20.5,16.7,179523,87.5,9.9,1.4,1.0,0.0,1.7,4.1,0500000US01003,"Baldwin County, Alabama",2011,179523,01003
2,53.2,46.8,1.7,38.3,77.7,74.5,17.4,14.3,27546,50.7,47.3,1.6,0.7,0.0,2.1,4.9,0500000US01005,"Barbour County, Alabama",2011,27546,01005
3,52.1,47.9,1.1,39.1,76.4,73.3,15.8,12.6,22746,76.8,22.8,0.6,0.1,0.0,0.0,1.6,0500000US01007,"Bibb County, Alabama",2011,22746,01007
4,49.6,50.4,1.4,38.8,75.4,71.7,18.6,14.4,57140,96.6,1.9,1.2,0.2,0.0,1.4,7.8,0500000US01009,"Blount County, Alabama",2011,57140,01009
5,54.7,45.3,2.6,41.2,78.1,74.3,16.4,13.3,10877,29.2,70.7,1.1,0.0,0.2,0.0,6.3,0500000US01011,"Bullock County, Alabama",2011,10877,01011
6,46.9,53.1,1.9,40.0,75.9,72.5,19.8,16.5,20860,55.3,44.0,0.4,0.8,0.0,0.2,0.4,0500000US01013,"Butler County, Alabama",2011,20860,01013
7,48.1,51.9,1.5,38.4,77.1,72.1,17.3,14.3,117614,76.8,21.3,1.0,1.0,0.2,1.6,3.2,0500000US01015,"Calhoun County, Alabama",2011,117614,01015
8,47.4,52.6,2.0,40.6,77.1,73.2,20.3,16.5,34375,60.0,39.4,0.6,0.6,0.1,0.3,1.6,0500000US01017,"Chambers County, Alabama",2011,34375,01017
9,50.0,50.0,1.5,44.2,79.3,76.2,22.2,18.1,25819,93.7,5.3,1.1,0.3,0.0,0.5,1.3,0500000US01019,"Cherokee County, Alabama",2011,25819,01019
10,49.3,50.7,1.4,37.3,74.9,71.4,16.3,13.6,43444,88.6,10.4,0.9,0.3,0.0,1.0,7.0,0500000US01021,"Chilton County, Alabama",2011,43444,01021
11,48.0,52.0,2.5,43.6,77.2,72.6,22.8,17.9,13953,56.4,43.2,0.9,0.3,0.0,0.3,0.3,0500000US01023,"Choctaw County, Alabama",2011,13953,01023
12,48.3,51.7,2.0,39.7,74.7,69.6,18.9,15.7,26046,55.4,42.2,2.6,0.4,0.0,0.2,1.1,0500000US01025,"Clarke County, Alabama",2011,26046,01025
13,48.8,51.2,2.3,41.7,77.6,74.7,21.5,17.9,14010,82.9,16.1,1.1,0.0,0.0,1.2,2.7,0500000US01027,"Clay County, Alabama",2011,14010,01027
14,49.7,50.3,1.5,40.6,75.9,72.3,19.6,15.8,14881,95.9,4.4,1.0,0.0,0.0,0.2,2.0,0500000US01029,"Cleburne County, Alabama",2011,14881,01029
15,49.1,50.9,1.8,37.7,75.8,72.1,17.2,14.6,49221,79.9,17.9,2.1,1.7,0.1,0.9,5.9,0500000US01031,"Coffee County, Alabama",2011,49221,01031
16,48.1,51.9,2.0,41.7,77.8,74.1,20.9,17.3,54478,82.0,16.8,1.1,0.5,0.0,0.9,2.0,0500000US01033,"Colbert County, Alabama",2011,54478,01033
17,49.3,50.7,2.3,43.1,76.6,72.2,22.4,17.8,13286,52.1,46.9,3.8,0.0,0.0,0.0,0.2,0500000US01035,"Conecuh County, Alabama",2011,13286,01035
18,51.1,48.9,1.7,43.7,79.2,75.7,19.0,15.9,11303,68.1,32.1,0.5,0.0,0.0,0.1,1.7,0500000US01037,"Coosa County, Alabama",2011,11303,01037
19,48.6,51.4,2.2,42.1,77.3,73.1,22.2,18.4,37736,85.7,13.0,1.0,0.5,0.0,0.8,1.3,0500000US01039,"Covington County, Alabama",2011,37736,01039
20,48.7,51.3,1.9,39.7,76.3,72.7,20.4,15.9,13938,75.5,24.5,1.1,1.4,0.0,0.0,1.4,0500000US01041,"Crenshaw County, Alabama",2011,13938,01041
21,49.6,50.4,1.7,39.9,76.7,72.5,18.7,15.8,80246,97.1,1.6,1.4,0.5,0.1,0.8,4.1,0500000US01043,"Cullman County, Alabama",2011,80246,01043
22,49.4,50.6,1.5,36.0,75.2,71.4,16.4,13.4,49920,77.3,21.0,1.6,1.7,0.2,1.0,5.4,0500000US01045,"Dale County, Alabama",2011,49920,01045
23,46.0,54.0,1.8,36.9,73.3,69.0,17.8,13.9,43868,30.0,69.4,0.5,0.4,0.0,0.5,0.7,0500000US01047,"Dallas County, Alabama",2011,43868,01047
24,49.6,50.4,1.3,37.3,74.0,70.4,17.4,13.8,70608,93.5,2.2,2.8,0.4,0.1,3.0,12.9,0500000US01049,"DeKalb County, Alabama",2011,70608,01049
25,49.1,50.9,1.4,37.6,76.2,71.8,14.7,11.7,78641,77.3,20.9,0.9,0.9,0.0,1.6,2.6,0500000US01051,"Elmore County, Alabama",2011,78641,01051
26,51.4,48.6,2.0,38.6,76.8,72.6,18.5,14.8,38081,63.6,32.1,4.1,0.5,0.0,0.5,1.9,0500000US01053,"Escambia County, Alabama",2011,38081,01053
27,48.4,51.6,2.1,39.9,76.9,73.0,19.4,15.7,104216,83.4,15.8,0.9,0.8,0.1,0.4,3.2,0500000US01055,"Etowah County, Alabama",2011,104216,01055
28,48.9,51.1,1.5,42.7,77.9,74.3,22.0,18.1,17361,88.2,11.9,0.8,0.5,0.0,0.2,1.1,0500000US01057,"Fayette County, Alabama",2011,17361,01057
29,48.9,51.1,1.2,38.5,75.3,71.2,18.1,15.1,31532,89.2,4.8,1.0,0.1,0.0,5.9,14.0,0500000US01059,"Franklin County, Alabama",2011,31532,01059
30,48.6,51.4,1.9,41.8,77.5,74.0,21.3,17.4,26646,88.8,9.8,1.5,0.1,0.0,1.3,3.3,0500000US01061,"Geneva County, Alabama",2011,26646,01061
31,47.5,52.5,1.5,41.5,75.0,69.3,18.0,15.7,9170,18.1,81.7,0.4,0.0,0.0,0.0,0.0,0500000US01063,"Greene County, Alabama",2011,9170,01063
32,47.7,52.3,1.9,39.5,74.7,70.2,17.4,14.7,15972,40.2,59.3,0.5,0.5,0.0,0.0,0.3,0500000US01065,"Hale County, Alabama",2011,15972,01065
33,48.2,51.8,1.6,42.5,77.5,73.7,22.0,17.5,17240,69.0,28.1,0.4,2.3,0.0,0.5,2.1,0500000US01067,"Henry County, Alabama",2011,17240,01067
34,48.0,52.0,1.6,38.2,75.3,71.7,17.4,14.2,100310,71.7,26.5,0.9,1.0,0.1,1.5,2.8,0500000US01069,"Houston County, Alabama",2011,100310,01069
35,49.3,50.7,1.2,41.5,77.3,73.8,19.9,16.1,53357,94.0,3.9,3.2,0.4,0.2,0.5,2.4,0500000US01071,"Jackson County, Alabama",2011,53357,01071
36,47.3,52.7,1.9,37.0,76.4,72.3,15.9,13.1,657486,54.6,42.3,0.6,1.6,0.0,1.8,3.6,0500000US01073,"Jefferson County, Alabama",2011,657486,01073
37,48.2,51.8,1.5,42.6,77.3,74.1,21.3,17.7,14644,87.9,12.6,0.3,0.1,0.0,0.1,1.2,0500000US01075,"Lamar County, Alabama",2011,14644,01075
38,47.9,52.1,2.0,40.3,78.4,73.4,19.8,16.6,92269,88.3,10.6,0.8,0.8,0.0,0.5,2.2,0500000US01077,"Lauderdale County, Alabama",2011,92269,01077
39,48.9,51.1,1.3,40.4,76.6,72.5,17.5,14.0,34250,82.0,12.3,9.2,0.7,0.0,0.8,1.8,0500000US01079,"Lawrence County, Alabama",2011,34250,01079
40,49.5,50.5,1.0,28.9,77.6,68.1,11.1,8.9,137855,73.3,23.5,1.0,3.0,0.1,0.4,3.2,0500000US01081,"Lee County, Alabama",2011,137855,01081
41,50.8,49.2,1.3,38.7,76.0,72.5,15.8,12.1,80966,83.7,13.4,1.2,1.3,0.0,1.6,5.2,0500000US01083,"Limestone County, Alabama",2011,80966,01083
42,46.7,53.3,1.4,40.2,75.0,69.6,17.1,14.3,11538,25.6,73.8,0.4,0.0,0.0,0.3,0.7,0500000US01085,"Lowndes County, Alabama",2011,11538,01085
43,45.5,54.5,2.0,35.8,79.3,67.4,17.3,13.9,21489,16.3,83.7,1.3,0.1,0.0,0.1,1.1,0500000US01087,"Macon County, Alabama",2011,21489,01087
44,49.1,50.9,1.3,37.1,76.1,71.4,15.1,12.1,329299,71.8,25.0,1.8,3.2,0.2,1.1,4.3,0500000US01089,"Madison County, Alabama",2011,329299,01089
45,47.1,52.9,1.8,40.2,74.8,70.6,20.2,16.1,21130,46.6,53.9,0.3,0.2,0.0,0.0,0.4,0500000US01091,"Marengo County, Alabama",2011,21130,01091
46,49.6,50.4,2.0,42.0,78.3,75.1,22.5,18.4,30771,94.6,4.4,0.8,0.3,0.0,1.1,2.0,0500000US01093,"Marion County, Alabama",2011,30771,01093
47,49.3,50.7,1.7,38.2,74.8,71.0,17.7,14.6,92052,94.8,2.3,1.4,0.7,0.1,2.3,11.5,0500000US01095,"Marshall County, Alabama",2011,92052,01095
48,48.0,52.0,1.5,36.4,74.7,70.5,15.8,12.8,410520,62.1,35.1,1.4,2.1,0.0,0.7,2.3,0500000US01097,"Mobile County, Alabama",2011,410520,01097
49,48.6,51.4,2.4,40.0,74.6,70.4,18.4,15.2,23159,56.7,41.8,1.7,0.5,0.0,0.7,1.0,0500000US01099,"Monroe County, Alabama",2011,23159,01099
50,47.6,52.4,1.5,34.6,75.2,70.1,14.5,11.8,228939,42.4,54.9,0.8,2.3,0.1,0.8,3.4,0500000US01101,"Montgomery County, Alabama",2011,228939,01101
