,pct_sex_age_under_5,pct_sex_age_5_to_9,pct_sex_age_10_to_14,pct_sex_age_15_to_19,pct_sex_age_20_to_24,pct_sex_age_25_to_34,pct_sex_age_35_to_44,pct_sex_age_45_to_54,pct_sex_age_55_to_59,pct_sex_age_60_to_64,pct_sex_age_65_to_74,pct_sex_age_75_to_84,pct_sex_age_85+,median_age,pct_sex_age_18+,pct_sex_age_21+,pct_sex_age_62+,pct_sex_age_65+,pct_sex_age_18+_male,pct_sex_age_18+_female,pct_sex_age_65+_male,pct_sex_age_65+_female,pct_one_or_more_race,pct_one_or_more_race_white,pct_one_or_more_race_black,pct_one_or_more_race_native_american,pct_one_or_more_race_asian,pct_one_or_more_race_native_hawaiian_pacific_islander,pct_one_or_more_race_other_race,pct_ethnicity_hispanic,id,Geographic Area Name,year,total_pop,fips
0,6.2,7.5,7.5,7.2,6.0,12.1,14.3,15.0,5.8,5.2,8.3,3.8,1.2,37.9,74.2,70.3,16.3,13.3,47.9,52.1,42.3,57.7,55136,79.2,19.1,0.9,1.3,0.0,0.8,2.5,0500000US01001,"Autauga County, Alabama",2014,55136,01001
1,6.0,6.4,6.4,6.2,5.3,11.4,12.7,14.1,6.7,7.0,10.4,5.4,1.9,41.8,77.4,74.2,21.9,17.7,48.2,51.8,46.4,53.6,191205,88.2,10.0,1.3,1.1,0.0,1.3,4.5,0500000US01003,"Baldwin County, Alabama",2014,191205,01003
2,5.9,6.2,5.9,5.7,6.8,14.2,12.6,14.3,6.9,6.0,9.2,4.5,1.7,38.3,78.4,75.0,18.9,15.4,54.1,45.9,43.1,56.9,27119,48.7,47.3,1.4,1.2,0.0,3.7,4.7,0500000US01005,"Barbour County, Alabama",2014,27119,01005
3,5.1,5.8,6.2,7.1,6.5,13.7,13.5,16.0,5.8,6.1,8.5,4.3,1.4,40.0,78.4,74.8,17.5,14.2,53.7,46.3,45.0,55.0,22653,77.9,22.0,1.2,0.1,0.0,0.0,2.0,0500000US01007,"Bibb County, Alabama",2014,22653,01007
4,6.2,6.3,7.2,7.0,5.4,11.7,13.1,14.2,6.0,6.8,9.7,4.8,1.4,40.2,75.9,72.1,20.1,15.9,49.0,51.0,44.5,55.5,57645,96.8,2.1,1.2,0.4,0.1,1.0,8.5,0500000US01009,"Blount County, Alabama",2014,57645,01009
5,6.6,6.4,5.0,5.3,8.6,12.6,14.0,13.8,5.8,7.6,7.8,4.6,1.9,38.5,78.6,74.8,18.5,14.3,54.4,45.6,41.8,58.2,10693,27.1,72.0,1.7,0.1,0.6,0.0,4.0,0500000US01011,"Bullock County, Alabama",2014,10693,01011
6,6.2,6.6,6.9,5.6,6.2,12.0,11.4,13.3,7.2,7.0,9.4,6.2,1.9,40.5,76.4,73.8,21.3,17.5,44.8,55.2,40.2,59.8,20523,55.0,44.2,0.4,0.7,0.0,0.4,1.1,0500000US01013,"Butler County, Alabama",2014,20523,01013
7,5.9,6.3,6.5,6.7,7.5,12.6,12.3,13.8,6.8,6.5,8.6,5.0,1.5,38.8,77.5,72.7,18.8,15.2,47.3,52.7,41.9,58.1,117186,76.9,21.6,1.0,1.1,0.1,1.3,3.4,0500000US01015,"Calhoun County, Alabama",2014,117186,01015
8,5.9,5.9,6.0,6.2,6.1,11.3,12.4,14.5,7.6,6.4,10.0,5.5,2.3,43.1,78.3,74.9,21.0,17.7,46.8,53.2,41.0,59.0,34091,58.7,40.7,0.5,0.7,0.0,0.1,0.5,0500000US01017,"Chambers County, Alabama",2014,34091,01017
9,4.9,5.6,6.1,5.8,5.4,9.7,12.1,15.0,8.2,8.0,12.1,5.5,1.6,45.2,79.7,76.6,24.0,19.2,49.3,50.7,45.1,54.9,26042,94.1,5.3,1.2,0.4,0.0,0.2,1.4,0500000US01019,"Cherokee County, Alabama",2014,26042,01019
