,pct_one_or_more_race,pct_one_or_more_race_white,pct_one_or_more_race_black,pct_one_or_more_race_native_american,pct_one_or_more_race_asian,pct_one_or_more_race_native_hawaiian_pacific_islander,pct_one_or_more_race_other_race,pct_ethnicity_hispanic,id,pct_sex_age_under_5,pct_sex_age_5_to_9,pct_sex_age_10_to_14,pct_sex_age_15_to_19,pct_sex_age_20_to_24,pct_sex_age_25_to_34,pct_sex_age_35_to_44,pct_sex_age_45_to_54,pct_sex_age_55_to_59,pct_sex_age_60_to_64,pct_sex_age_65_to_74,pct_sex_age_75_to_84,pct_sex_age_85+,median_age,pct_sex_age_16+,pct_sex_age_18+,pct_sex_age_21+,pct_sex_age_62+,pct_sex_age_65+,pct_sex_age_18+_male,pct_sex_age_18+_female,pct_sex_age_65+_male,pct_sex_age_65+_female,Geographic Area Name,year,total_pop
0,55200,78.6,19.9,0.8,1.6,0.2,0.8,2.8,0500000US01001,5.9,7.3,6.5,7.0,6.0,12.8,13.4,14.2,7.5,4.9,8.5,4.6,1.5,(X),78.6,75.8,71.8,17.0,14.6,47.9,52.1,43.3,56.7,"Autauga County, Alabama",2018,55200
1,208107,87.8,9.8,1.5,1.4,0.0,1.3,4.5,0500000US01003,5.6,5.6,6.9,6.1,5.2,11.2,12.2,13.6,6.9,7.1,11.8,5.8,1.9,(X),80.6,78.1,74.7,23.9,19.5,48.1,51.9,46.4,53.6,"Baldwin County, Alabama",2018,208107
2,25782,48.3,48.5,1.2,0.6,0.0,3.1,4.3,0500000US01005,5.4,5.6,6.5,5.6,6.4,14.3,12.0,13.4,6.4,6.4,10.9,5.4,1.6,(X),81.3,78.9,75.2,21.9,18.0,53.7,46.3,43.2,56.8,"Barbour County, Alabama",2018,25782
3,22527,77.4,22.7,0.4,0.2,0.0,0.0,2.4,0500000US01007,5.7,5.2,5.7,6.7,6.6,13.7,12.9,15.3,6.6,5.4,9.4,4.9,1.9,(X),82.0,79.3,74.9,19.2,16.3,53.6,46.4,44.6,55.4,"Bibb County, Alabama",2018,22527
4,57645,97.1,1.9,1.2,0.5,0.1,0.8,9.1,0500000US01009,6.0,6.3,6.9,6.4,5.5,11.8,12.4,13.8,6.8,6.3,10.6,5.6,1.5,(X),79.7,76.6,73.3,21.5,17.8,48.9,51.1,44.4,55.6,"Blount County, Alabama",2018,57645
5,10352,22.0,76.2,1.2,0.5,0.0,0.0,0.5,0500000US01011,5.8,6.1,5.2,7.5,6.8,10.8,15.4,12.8,5.7,8.2,9.8,4.2,1.7,(X),81.3,79.2,74.5,19.6,15.6,55.2,44.8,42.4,57.6,"Bullock County, Alabama",2018,10352
6,20025,53.5,46.0,0.6,1.4,0.0,0.0,0.3,0500000US01013,6.0,6.5,6.4,6.5,5.4,12.1,12.0,12.1,7.3,6.8,10.4,5.8,2.8,(X),79.8,77.2,73.1,23.0,19.0,45.1,54.9,40.9,59.1,"Butler County, Alabama",2018,20025
7,115098,76.5,21.8,1.2,1.4,0.1,1.7,3.7,0500000US01015,5.7,5.9,6.2,6.8,6.6,13.0,12.0,13.0,6.8,7.0,10.0,5.1,1.8,(X),80.8,78.1,74.1,20.7,16.8,47.3,52.7,42.4,57.6,"Calhoun County, Alabama",2018,115098
8,33826,58.6,40.1,0.5,1.3,0.0,0.5,2.3,0500000US01017,5.8,5.1,6.2,5.8,7.5,10.9,11.7,13.7,7.8,6.5,11.2,5.7,2.1,(X),81.8,79.3,75.6,22.9,18.9,47.3,52.7,42.3,57.7,"Chambers County, Alabama",2018,33826
9,25853,93.5,5.2,1.5,0.2,0.1,0.3,1.5,0500000US01019,4.7,5.7,5.9,6.2,5.3,9.8,11.3,14.1,7.9,7.4,13.3,6.6,1.9,(X),82.6,79.6,76.4,25.9,21.7,49.4,50.6,46.5,53.5,"Cherokee County, Alabama",2018,25853
