,pct_sex_age_under_5,pct_sex_age_5_to_9,pct_sex_age_10_to_14,pct_sex_age_15_to_19,pct_sex_age_20_to_24,pct_sex_age_25_to_34,pct_sex_age_35_to_44,pct_sex_age_45_to_54,pct_sex_age_55_to_59,pct_sex_age_60_to_64,pct_sex_age_65_to_74,pct_sex_age_75_to_84,pct_sex_age_85+,median_age,pct_sex_age_16+,pct_sex_age_18+,pct_sex_age_21+,pct_sex_age_62+,pct_sex_age_65+,pct_sex_age_18+_male,pct_sex_age_18+_female,pct_sex_age_65+_male,pct_sex_age_65+_female,pct_one_or_more_race,pct_one_or_more_race_white,pct_one_or_more_race_black,pct_one_or_more_race_native_american,pct_one_or_more_race_asian,pct_one_or_more_race_native_hawaiian_pacific_islander,pct_one_or_more_race_other_race,pct_ethnicity_hispanic,id,Geographic Area Name,year,total_pop
0,5.8,6.9,6.5,6.9,6.4,12.7,13.2,14.0,7.7,4.9,8.7,4.7,1.6,38.2,79.4,76.2,72.5,17.4,15.0,47.8,52.2,43.4,56.6,55380,78.8,20.0,0.8,1.7,0.2,0.7,2.8,0500000US01001,"Autauga County, Alabama",2019,55380
1,5.5,5.7,6.7,6.0,5.1,11.2,12.1,13.3,7.1,7.2,12.1,6.0,1.9,43.0,81.0,78.3,75.0,24.4,20.0,48.0,52.0,46.4,53.6,212830,87.8,9.7,1.6,1.4,0.0,1.3,4.6,0500000US01003,"Baldwin County, Alabama",2019,212830
2,5.3,6.4,5.6,5.6,6.3,14.4,12.0,13.1,6.4,6.5,11.2,5.8,1.6,40.4,81.4,79.1,75.3,22.4,18.6,53.7,46.3,43.0,57.0,25361,47.6,48.4,1.1,0.7,0.1,3.7,4.4,0500000US01005,"Barbour County, Alabama",2019,25361
3,5.8,5.4,5.0,6.2,5.6,14.6,12.9,15.6,6.3,6.5,9.3,4.6,2.0,40.9,82.2,79.4,76.6,19.9,15.9,53.4,46.6,44.5,55.5,22493,77.4,22.7,0.3,0.2,0.0,0.0,2.6,0500000US01007,"Bibb County, Alabama",2019,22493
4,5.9,6.2,7.0,6.3,5.6,11.9,12.6,13.3,6.7,6.6,10.6,5.5,1.8,40.7,79.6,76.8,73.5,21.7,17.9,48.9,51.1,44.6,55.4,57681,97.0,1.9,1.2,0.5,0.1,0.9,9.3,0500000US01009,"Blount County, Alabama",2019,57681
5,5.3,6.2,5.4,7.9,5.8,12.4,13.5,13.3,6.6,7.5,10.0,4.4,1.7,40.2,81.7,79.2,74.9,19.6,16.0,55.2,44.8,42.9,57.1,10248,21.9,75.6,0.0,1.2,0.0,2.0,2.6,0500000US01011,"Bullock County, Alabama",2019,10248
6,5.8,6.5,6.1,6.4,5.5,11.8,12.8,11.2,7.1,7.1,11.5,5.5,2.6,40.8,80.0,77.5,73.8,23.7,19.7,44.7,55.3,40.9,59.1,19828,53.9,46.4,0.7,0.4,0.0,0.7,1.4,0500000US01013,"Butler County, Alabama",2019,19828
7,5.8,5.8,6.2,6.8,6.4,13.2,11.9,12.7,7.0,6.9,10.2,5.2,1.8,39.6,81.0,78.2,74.2,21.2,17.2,47.2,52.8,42.4,57.6,114618,75.8,22.0,1.2,1.4,0.1,2.1,3.8,0500000US01015,"Calhoun County, Alabama",2019,114618
8,6.1,5.3,6.0,5.4,6.5,12.3,11.4,13.5,7.8,6.5,11.8,5.5,1.9,42.0,81.4,79.0,75.8,23.1,19.2,47.3,52.7,42.8,57.2,33660,58.7,40.2,0.5,1.3,0.0,0.3,2.4,0500000US01017,"Chambers County, Alabama",2019,33660
9,4.6,5.6,5.7,6.2,5.0,9.6,11.1,14.2,7.8,7.7,13.6,6.9,2.0,46.5,82.6,79.8,76.8,27.0,22.4,49.2,50.8,46.5,53.5,25903,93.6,5.1,1.5,0.3,0.1,0.4,1.6,0500000US01019,"Cherokee County, Alabama",2019,25903
10,6.3,7.3,6.0,6.6,5.6,13.1,13.3,12.7,6.7,6.4,9.4,5.2,1.4,38.7,79.1,75.9,72.0,19.0,16.0,48.5,51.5,45.4,54.6,44055,85.7,10.8,1.9,0.6,0.1,3.7,7.8,0500000US01021,"Chilton County, Alabama",2019,44055
11,5.3,4.9,6.2,6.5,5.0,9.9,11.0,13.5,7.9,7.4,12.8,7.4,2.3,46.3,82.7,79.9,75.9,27.8,22.6,46.3,53.7,43.6,56.4,12925,57.0,42.8,0.3,0.2,0.0,0.1,0.4,0500000US01023,"Choctaw County, Alabama",2019,12925
12,5.7,5.5,6.5,6.6,6.2,10.8,11.8,13.3,7.6,6.6,10.7,6.3,2.4,42.5,81.0,78.1,74.6,23.3,19.4,46.5,53.5,43.7,56.3,24128,53.7,46.2,0.3,0.5,0.0,0.0,0.3,0500000US01025,"Clarke County, Alabama",2019,24128
13,5.1,5.1,7.3,6.4,5.2,11.3,11.6,13.1,8.4,6.4,11.5,6.5,2.1,43.3,81.3,79.2,74.4,24.7,20.2,47.5,52.5,44.8,55.2,13337,83.8,16.2,0.4,0.2,0.0,0.1,3.1,0500000US01027,"Clay County, Alabama",2019,13337
14,5.7,7.5,5.6,5.9,5.1,11.8,11.6,14.3,6.6,6.5,11.4,5.0,3.0,43.1,80.1,77.3,74.7,23.5,19.4,48.5,51.5,45.3,54.7,14916,95.7,4.0,0.7,0.2,0.0,1.4,2.5,0500000US01029,"Cleburne County, Alabama",2019,14916
15,6.2,6.4,7.0,6.2,5.8,12.8,12.9,13.4,7.0,5.7,9.6,5.2,1.7,39.3,78.9,76.3,73.0,19.6,16.5,48.6,51.4,43.9,56.1,51662,78.6,18.6,2.7,2.2,0.1,1.4,7.3,0500000US01031,"Coffee County, Alabama",2019,51662
16,5.7,6.0,5.6,5.7,5.8,12.0,12.1,13.4,6.9,7.3,11.1,6.2,2.2,42.4,81.3,78.9,76.0,24.0,19.4,47.1,52.9,42.7,57.3,54771,81.0,17.0,1.3,0.9,0.1,1.9,2.8,0500000US01033,"Colbert County, Alabama",2019,54771
17,5.6,6.4,5.2,7.0,4.5,10.8,10.6,12.4,6.4,8.8,13.8,5.8,2.5,44.8,81.4,79.0,74.5,27.4,22.2,47.4,52.6,45.6,54.4,12394,51.6,47.8,0.3,1.1,0.0,0.0,0.7,0500000US01035,"Conecuh County, Alabama",2019,12394
18,3.4,4.1,6.2,5.3,4.2,10.1,12.0,14.4,10.6,7.0,12.8,7.6,2.3,48.4,85.0,83.3,79.6,26.3,22.6,50.0,50.0,46.6,53.4,10757,65.8,33.6,0.1,0.0,0.0,0.5,1.0,0500000US01037,"Coosa County, Alabama",2019,10757
19,5.8,6.5,5.8,5.8,5.4,11.7,10.9,12.8,7.0,7.6,11.5,7.1,2.2,43.3,80.6,78.1,74.9,25.9,20.8,47.4,52.6,43.4,56.6,37200,85.6,14.1,0.4,0.7,0.1,0.2,1.7,0500000US01039,"Covington County, Alabama",2019,37200
20,5.7,6.2,6.6,6.0,5.5,12.1,11.4,13.0,7.2,7.5,11.5,5.4,1.9,41.7,80.3,77.6,74.7,23.9,18.8,47.7,52.3,43.2,56.8,13844,74.2,26.0,1.3,1.4,0.1,0.2,0.8,0500000US01041,"Crenshaw County, Alabama",2019,13844
21,6.2,5.6,6.8,6.0,5.7,12.5,12.2,13.2,6.8,6.6,10.8,6.0,1.5,40.8,80.1,77.4,73.8,21.9,18.2,48.9,51.1,44.6,55.4,82853,97.0,1.7,1.3,0.8,0.1,1.1,4.4,0500000US01043,"Cullman County, Alabama",2019,82853
