,total_pop,pct_female,pct_white,pct_black,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_hispanic,fips
0,55639,51.4,75.8,19.5,0.3,1.2,0.0,2.6,2.9,01001
1,218289,51.5,85.4,8.8,0.7,0.9,0.0,2.6,4.6,01003
2,25026,47.4,46.3,47.7,0.4,0.5,0.0,2.1,4.4,01005
3,22374,46.3,76.6,22.5,0.1,0.3,0.0,0.5,2.7,01007
4,57755,50.3,94.0,1.4,0.1,0.4,0.1,2.2,9.3,01009
5,10173,45.2,26.2,68.6,0.0,1.3,0.0,0.7,8.1,01011
6,19726,54.1,51.6,44.6,0.3,1.3,0.0,1.6,1.5,01013
7,114324,52.0,73.3,21.2,0.3,0.8,0.3,2.5,3.9,01015
8,33427,52.3,56.9,40.0,0.2,1.1,0.0,1.0,2.5,01017
9,26035,50.5,92.1,4.8,0.6,0.1,0.0,1.6,1.7,01019
10,44147,51.3,82.1,9.7,1.1,0.4,0.0,3.1,7.8,01021
11,12755,52.7,56.9,42.3,0.1,0.2,0.0,0.5,0.5,01023
12,23866,52.4,52.5,45.7,0.1,0.5,0.0,1.1,0.6,01025
13,13285,51.8,83.3,15.3,0.2,0.2,0.0,0.9,3.1,01027
14,14952,51.4,93.3,2.6,0.1,0.0,0.0,2.0,2.5,01029
15,52238,50.6,74.7,17.0,1.0,1.6,0.0,4.4,7.7,01031
16,54957,51.9,78.8,16.2,0.6,0.5,0.1,2.1,2.9,01033
17,12219,51.3,50.5,48.1,0.2,0.6,0.0,0.7,0.5,01035
18,10696,48.6,65.9,32.3,0.3,0.0,0.0,0.9,1.3,01037
19,37096,51.4,84.3,12.7,0.2,0.7,0.1,1.7,1.8,01039
20,13826,52.3,71.5,23.6,0.8,1.3,0.1,2.3,2.2,01041
21,83345,50.7,93.9,1.1,0.4,0.4,0.0,3.3,4.4,01043
22,49293,50.8,71.6,20.7,0.8,1.4,0.0,3.3,6.7,01045
23,38184,53.9,27.2,71.5,0.1,0.7,0.0,0.5,0.3,01047
24,71430,50.6,84.8,1.5,1.2,0.1,0.1,3.5,14.7,01049
25,81526,51.7,74.9,21.1,0.3,0.9,0.0,2.0,3.0,01051
26,36775,49.2,61.9,32.0,3.8,0.3,0.1,1.5,2.4,01053
27,102721,51.8,79.1,16.1,0.5,0.8,0.0,2.2,4.1,01055
28,16406,50.9,84.6,12.2,0.0,0.7,0.0,2.5,0.5,01057
29,31587,50.5,82.4,3.9,1.0,0.9,0.0,1.7,17.7,01059
30,26383,51.5,86.0,10.2,1.2,0.2,0.0,1.5,4.1,01061
31,8221,52.6,17.4,78.9,0.5,0.0,0.0,2.7,2.7,01063
32,14754,52.5,38.4,59.1,0.0,0.2,0.0,2.1,0.1,01065
33,17123,51.8,70.0,26.6,0.2,0.4,0.2,1.7,2.6,01067
34,105319,52.1,68.2,27.2,0.3,0.9,0.0,2.7,3.4,01069
35,51765,51.1,91.2,3.7,1.1,0.4,0.1,2.7,3.0,01071
36,658615,52.7,51.4,42.9,0.2,1.6,0.0,2.2,3.9,01073
37,13854,50.6,87.4,11.0,0.1,0.2,0.0,1.0,1.7,01075
38,92870,52.0,85.9,10.2,0.4,0.6,0.1,2.4,2.8,01077
39,32969,52.1,78.2,10.7,6.0,0.1,0.1,4.4,2.3,01079
40,163461,50.8,69.7,22.7,0.2,4.4,0.0,2.3,3.7,01081
41,96921,50.1,78.9,13.5,0.9,1.5,0.0,3.0,6.0,01083
42,9936,52.3,24.8,74.9,0.1,0.0,0.0,0.2,0.4,01085
43,18437,54.5,16.3,82.2,0.1,0.2,0.0,1.1,0.4,01087
44,367686,51.2,67.3,24.6,0.6,2.6,0.1,3.3,5.0,01089
45,19138,53.0,46.6,51.8,0.1,0.0,0.0,1.3,2.6,01091
46,29818,50.5,92.3,3.8,0.5,0.1,0.0,1.8,2.6,01093
47,96137,50.6,90.3,2.9,0.4,0.6,0.0,3.7,14.1,01095
48,413977,52.4,58.0,36.1,0.7,1.9,0.0,2.2,2.9,01097
49,21006,51.9,54.4,42.5,1.4,0.6,0.1,1.0,0.4,01099
50,226451,52.9,34.7,57.9,0.2,3.1,0.0,2.8,3.5,01101
51,119352,50.7,78.6,12.7,0.4,0.6,0.2,3.5,8.4,01103
52,9104,52.3,29.6,69.1,0.0,0.1,0.0,0.0,2.0,01105
53,20049,52.2,56.8,40.3,0.2,0.0,0.0,1.4,4.9,01107
54,33274,51.9,57.8,37.3,0.4,2.1,0.0,2.3,2.3,01109
55,22732,51.5,77.3,19.0,0.4,0.2,0.0,2.3,2.9,01111
56,57938,52.0,47.8,44.9,0.1,1.2,0.1,3.3,5.6,01113
57,88929,50.2,87.0,9.4,0.5,0.8,0.0,1.4,2.4,01115
58,216350,51.7,79.8,12.1,0.4,2.0,0.0,3.1,5.7,01117
59,12595,54.4,25.3,71.4,0.1,2.0,0.0,1.0,1.2,01119
