,year,geography,fips,cases_13-24_HIV diagnoses,cases_13-24_HIV prevalence,cases_13-24_HIV viral suppression,cases_13-24_Linkage to HIV care,cases_13-24_PrEP coverage and number of persons prescribed,cases_13-24_Receipt of HIV medical care,cases_25-34_HIV diagnoses,cases_25-34_HIV prevalence,cases_25-34_HIV viral suppression,cases_25-34_Linkage to HIV care,cases_25-34_PrEP coverage and number of persons prescribed,cases_25-34_Receipt of HIV medical care,cases_35-44_HIV diagnoses,cases_35-44_HIV prevalence,cases_35-44_HIV viral suppression,cases_35-44_Linkage to HIV care,cases_35-44_PrEP coverage and number of persons prescribed,cases_35-44_Receipt of HIV medical care,cases_45-54_HIV diagnoses,cases_45-54_HIV prevalence,cases_45-54_HIV viral suppression,cases_45-54_Linkage to HIV care,cases_45-54_PrEP coverage and number of persons prescribed,cases_45-54_Receipt of HIV medical care,cases_55+_HIV diagnoses,cases_55+_HIV prevalence,cases_55+_HIV viral suppression,cases_55+_Linkage to HIV care,cases_55+_PrEP coverage and number of persons prescribed,cases_55+_Receipt of HIV medical care,percent_13-24_HIV viral suppression,percent_13-24_Linkage to HIV care,percent_13-24_PrEP coverage and number of persons prescribed,percent_13-24_Receipt of HIV medical care,percent_25-34_HIV viral suppression,percent_25-34_Linkage to HIV care,percent_25-34_PrEP coverage and number of persons prescribed,percent_25-34_Receipt of HIV medical care,percent_35-44_HIV viral suppression,percent_35-44_Linkage to HIV care,percent_35-44_PrEP coverage and number of persons prescribed,percent_35-44_Receipt of HIV medical care,percent_45-54_HIV viral suppression,percent_45-54_Linkage to HIV care,percent_45-54_PrEP coverage and number of persons prescribed,percent_45-54_Receipt of HIV medical care,percent_55+_HIV viral suppression,percent_55+_Linkage to HIV care,percent_55+_PrEP coverage and number of persons prescribed,percent_55+_Receipt of HIV medical care,ratePer100000_13-24_HIV diagnoses,ratePer100000_13-24_HIV prevalence,ratePer100000_25-34_HIV diagnoses,ratePer100000_25-34_HIV prevalence,ratePer100000_35-44_HIV diagnoses,ratePer100000_35-44_HIV prevalence,ratePer100000_45-54_HIV diagnoses,ratePer100000_45-54_HIV prevalence,ratePer100000_55+_HIV diagnoses,ratePer100000_55+_HIV prevalence
0,2017,"Abbeville County, SC",45001,0.0,,,,,,0.0,10.0,,,,,0.0,7.0,,,,,0.0,16.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,375.9,0.0,274.9,0.0,495.4,0.0,
1,2017,"Acadia Parish, LA",22001,,12.0,,,,,,26.0,,,,,,29.0,,,,,,34.0,,,,,0.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,122.4,,311.5,,392.8,,433.5,0.0,240.7
2,2017,"Accomack County, VA",51001,,0.0,,,,,,8.0,,,,,,20.0,,,,,,28.0,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,224.7,,603.5,,685.9,,318.2
3,2017,"Ada County, ID",16001,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017,"Adair County, IA",19001,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,
5,2017,"Adair County, MO",29001,,0.0,,,,,,,,,,,,12.0,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,557.9,,480.8,,
6,2017,"Adams County, CO",8001,22.0,56.0,,,,,21.0,177.0,,,163.0,,11.0,224.0,,,87.0,,,302.0,,,52.0,,,296.0,,,,,,,,,,,17.3,,,,17.8,,,,16.8,,,,,,27.1,69.1,25.5,215.2,14.9,303.9,,479.2,,281.2
7,2017,"Adams County, IA",19003,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,
8,2017,"Adams County, IN",18001,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,
9,2017,"Adams County, MS",28001,,,,,,,,11.0,,,,,,30.0,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.7,,732.6,,827.5,,
10,2017,"Adams County, NE",31001,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0
11,2017,"Adams County, OH",39001,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,7.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,183.1,0.0,
12,2017,"Adams County, PA",42001,,,,,,,,14.0,,,,,,33.0,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.1,,304.3,,322.6,,
13,2017,"Adams County, WA",53001,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,5.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,253.9,0.0,
14,2017,"Adams County, WI",55001,,0.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,145.4
15,2017,"Adjuntas Municipio, PR",72001,,0.0,,,,,,,,,,,,,,,,,,9.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,377.2,,170.3
16,2017,"Aguada Municipio, PR",72003,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4,,,,
17,2017,"Aguadilla Municipio, PR",72005,0.0,,,,,,0.0,5.0,,,,,,17.0,,,,,,39.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,80.0,,260.4,,573.0,27.9,
18,2017,"Aguas Buenas Municipio, PR",72007,,,,,,,,8.0,,,,,,9.0,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.1,,271.0,,618.2,,
19,2017,"Aibonito Municipio, PR",72009,,,,,,,,,,,,,,9.0,,,,,,20.0,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.4,,645.6,,323.9
20,2017,"Aiken County, SC",45003,,30.0,,,,,6.0,65.0,,,,,,66.0,,,,,,112.0,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,124.5,27.9,302.5,,342.1,,521.2,,277.5
21,2017,"Aitkin County, MN",27001,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
22,2017,"Alachua County, FL",12001,27.0,70.0,,,,,9.0,183.0,,,,,6.0,182.0,,,,,,245.0,,,,,,319.0,,,,,,,,,,,,,,,,,,,,,,,,,39.4,102.3,21.6,439.5,20.8,630.8,,923.1,,485.9
23,2017,"Alamance County, NC",37001,8.0,19.0,,,,,,51.0,,,,,,73.0,,,,,8.0,128.0,,,,,,135.0,,,,,,,,,,,,,,,,,,,,,,,,,28.9,68.6,,253.1,,388.5,35.5,567.7,,279.4
24,2017,"Alameda County, CA",6001,25.0,131.0,104.0,23.0,163.0,122.0,74.0,772.0,511.0,65.0,621.0,627.0,49.0,1039.0,730.0,43.0,333.0,836.0,30.0,1757.0,1331.0,26.0,198.0,1495.0,24.0,2178.0,1499.0,18.0,97.0,1637.0,70.3,88.5,17.5,82.4,67.5,86.7,23.3,82.8,70.8,87.8,19.1,81.1,74.1,86.7,18.5,83.2,77.0,75.0,11.4,84.1,10.8,56.4,26.6,277.6,19.8,419.1,13.4,786.3,5.6,511.4
25,2017,"Alamosa County, CO",8003,,,,,,,,6.0,,,,,,8.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.7,,461.4,,313.3,,
