,year,geography,fips,cases_Female_Chlamydia_0-14,cases_Female_Chlamydia_15-19,cases_Female_Chlamydia_20-24,cases_Female_Chlamydia_25-29,cases_Female_Chlamydia_30-34,cases_Female_Chlamydia_35-39,cases_Female_Chlamydia_40-44,"cases_Female_Early Non-Primary, Non-Secondary Syphilis_0-14","cases_Female_Early Non-Primary, Non-Secondary Syphilis_15-19","cases_Female_Early Non-Primary, Non-Secondary Syphilis_20-24","cases_Female_Early Non-Primary, Non-Secondary Syphilis_25-29","cases_Female_Early Non-Primary, Non-Secondary Syphilis_30-34","cases_Female_Early Non-Primary, Non-Secondary Syphilis_35-39","cases_Female_Early Non-Primary, Non-Secondary Syphilis_40-44",cases_Female_Gonorrhea_0-14,cases_Female_Gonorrhea_15-19,cases_Female_Gonorrhea_20-24,cases_Female_Gonorrhea_25-29,cases_Female_Gonorrhea_30-34,cases_Female_Gonorrhea_35-39,cases_Female_Gonorrhea_40-44,cases_Female_Primary and Secondary Syphilis_0-14,cases_Female_Primary and Secondary Syphilis_15-19,cases_Female_Primary and Secondary Syphilis_20-24,cases_Female_Primary and Secondary Syphilis_25-29,cases_Female_Primary and Secondary Syphilis_30-34,cases_Female_Primary and Secondary Syphilis_35-39,cases_Female_Primary and Secondary Syphilis_40-44,cases_Male_Chlamydia_0-14,cases_Male_Chlamydia_15-19,cases_Male_Chlamydia_20-24,cases_Male_Chlamydia_25-29,cases_Male_Chlamydia_30-34,cases_Male_Chlamydia_35-39,cases_Male_Chlamydia_40-44,"cases_Male_Early Non-Primary, Non-Secondary Syphilis_0-14","cases_Male_Early Non-Primary, Non-Secondary Syphilis_15-19","cases_Male_Early Non-Primary, Non-Secondary Syphilis_20-24","cases_Male_Early Non-Primary, Non-Secondary Syphilis_25-29","cases_Male_Early Non-Primary, Non-Secondary Syphilis_30-34","cases_Male_Early Non-Primary, Non-Secondary Syphilis_35-39","cases_Male_Early Non-Primary, Non-Secondary Syphilis_40-44",cases_Male_Gonorrhea_0-14,cases_Male_Gonorrhea_15-19,cases_Male_Gonorrhea_20-24,cases_Male_Gonorrhea_25-29,cases_Male_Gonorrhea_30-34,cases_Male_Gonorrhea_35-39,cases_Male_Gonorrhea_40-44,cases_Male_Primary and Secondary Syphilis_0-14,cases_Male_Primary and Secondary Syphilis_15-19,cases_Male_Primary and Secondary Syphilis_20-24,cases_Male_Primary and Secondary Syphilis_25-29,cases_Male_Primary and Secondary Syphilis_30-34,cases_Male_Primary and Secondary Syphilis_35-39,cases_Male_Primary and Secondary Syphilis_40-44,ratePer100000_Female_Chlamydia_0-14,ratePer100000_Female_Chlamydia_15-19,ratePer100000_Female_Chlamydia_20-24,ratePer100000_Female_Chlamydia_25-29,ratePer100000_Female_Chlamydia_30-34,ratePer100000_Female_Chlamydia_35-39,ratePer100000_Female_Chlamydia_40-44,"ratePer100000_Female_Early Non-Primary, Non-Secondary Syphilis_0-14","ratePer100000_Female_Early Non-Primary, Non-Secondary Syphilis_15-19","ratePer100000_Female_Early Non-Primary, Non-Secondary Syphilis_20-24","ratePer100000_Female_Early Non-Primary, Non-Secondary Syphilis_25-29","ratePer100000_Female_Early Non-Primary, Non-Secondary Syphilis_30-34","ratePer100000_Female_Early Non-Primary, Non-Secondary Syphilis_35-39","ratePer100000_Female_Early Non-Primary, Non-Secondary Syphilis_40-44",ratePer100000_Female_Gonorrhea_0-14,ratePer100000_Female_Gonorrhea_15-19,ratePer100000_Female_Gonorrhea_20-24,ratePer100000_Female_Gonorrhea_25-29,ratePer100000_Female_Gonorrhea_30-34,ratePer100000_Female_Gonorrhea_35-39,ratePer100000_Female_Gonorrhea_40-44,ratePer100000_Female_Primary and Secondary Syphilis_0-14,ratePer100000_Female_Primary and Secondary Syphilis_15-19,ratePer100000_Female_Primary and Secondary Syphilis_20-24,ratePer100000_Female_Primary and Secondary Syphilis_25-29,ratePer100000_Female_Primary and Secondary Syphilis_30-34,ratePer100000_Female_Primary and Secondary Syphilis_35-39,ratePer100000_Female_Primary and Secondary Syphilis_40-44,ratePer100000_Male_Chlamydia_0-14,ratePer100000_Male_Chlamydia_15-19,ratePer100000_Male_Chlamydia_20-24,ratePer100000_Male_Chlamydia_25-29,ratePer100000_Male_Chlamydia_30-34,ratePer100000_Male_Chlamydia_35-39,ratePer100000_Male_Chlamydia_40-44,"ratePer100000_Male_Early Non-Primary, Non-Secondary Syphilis_0-14","ratePer100000_Male_Early Non-Primary, Non-Secondary Syphilis_15-19","ratePer100000_Male_Early Non-Primary, Non-Secondary Syphilis_20-24","ratePer100000_Male_Early Non-Primary, Non-Secondary Syphilis_25-29","ratePer100000_Male_Early Non-Primary, Non-Secondary Syphilis_30-34","ratePer100000_Male_Early Non-Primary, Non-Secondary Syphilis_35-39","ratePer100000_Male_Early Non-Primary, Non-Secondary Syphilis_40-44",ratePer100000_Male_Gonorrhea_0-14,ratePer100000_Male_Gonorrhea_15-19,ratePer100000_Male_Gonorrhea_20-24,ratePer100000_Male_Gonorrhea_25-29,ratePer100000_Male_Gonorrhea_30-34,ratePer100000_Male_Gonorrhea_35-39,ratePer100000_Male_Gonorrhea_40-44,ratePer100000_Male_Primary and Secondary Syphilis_0-14,ratePer100000_Male_Primary and Secondary Syphilis_15-19,ratePer100000_Male_Primary and Secondary Syphilis_20-24,ratePer100000_Male_Primary and Secondary Syphilis_25-29,ratePer100000_Male_Primary and Secondary Syphilis_30-34,ratePer100000_Male_Primary and Secondary Syphilis_35-39,ratePer100000_Male_Primary and Secondary Syphilis_40-44
0,2020 (COVID-19 Pandemic),"Abbeville County, SC",45001,2.0,27.0,24.0,6.0,7.0,0.0,0.0,,,,,,,,1.0,15.0,13.0,6.0,4.0,1.0,0.0,,,,,,,,0.0,12.0,9.0,5.0,3.0,3.0,1.0,,,,,,,,0.0,10.0,10.0,4.0,2.0,2.0,0.0,,,,,,,,103.1,3383.5,3084.8,843.9,1107.6,0.0,0.0,,,,,,,,51.6,1879.7,1671.0,843.9,632.9,151.5,0.0,,,,,,,,0.0,1463.4,1179.6,709.2,483.9,490.2,159.2,,,,,,,,0.0,1219.5,1310.6,567.4,322.6,326.8,0.0,,,,,,,
1,2020 (COVID-19 Pandemic),"Acadia Parish, LA",22001,6.0,112.0,87.0,20.0,18.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,24.0,13.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,35.0,40.0,18.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,24.0,14.0,11.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,93.6,5588.8,4857.6,951.0,902.7,348.6,382.1,0.0,0.0,0.0,0.0,0.0,49.8,0.0,0.0,998.0,1340.0,618.2,250.8,298.8,109.2,0.0,0.0,0.0,0.0,100.3,0.0,109.2,14.6,1637.0,2151.7,840.7,408.8,157.3,116.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,374.2,1291.0,653.9,562.1,104.9,58.2,0.0,46.8,53.8,93.4,0.0,0.0,116.3
2,2020 (COVID-19 Pandemic),"Accomack County, VA",51001,0.0,30.0,59.0,21.0,13.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,20.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,7.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3690.0,8779.8,2370.2,1490.8,1564.4,480.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.0,2827.4,451.5,229.4,361.0,360.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1523.4,2748.7,2364.1,590.3,596.7,131.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.8,1308.9,827.4,826.4,119.3,131.9,0.0,0.0,130.9,118.2,0.0,0.0,0.0
3,2020 (COVID-19 Pandemic),"Adair County, IA",19001,0.0,5.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.3,675.7,2094.2,454.5,529.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1435.4,0.0,1047.1,0.0,0.0,552.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.2,2976.2,1382.5,921.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020 (COVID-19 Pandemic),"Adair County, KY",21001,0.0,8.0,7.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.4,991.5,517.2,377.4,195.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,708.2,344.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.1,664.9,626.0,0.0,201.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,939.0,398.4,403.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020 (COVID-19 Pandemic),"Adair County, MO",29001,4.0,18.0,20.0,8.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.8,1096.2,753.3,1062.4,340.1,177.9,390.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.6,150.7,664.0,340.1,177.9,195.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.9,383.6,753.8,0.0,174.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.5,127.9,376.9,507.6,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020 (COVID-19 Pandemic),"Adair County, OK",40001,1.0,16.0,21.0,14.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,10.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.5,2116.4,3381.6,1891.9,483.9,590.8,487.8,0.0,0.0,0.0,0.0,0.0,0.0,162.6,0.0,132.3,805.2,270.3,483.9,147.7,487.8,0.0,132.3,0.0,0.0,0.0,0.0,0.0,38.9,638.6,1510.6,275.1,172.7,299.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.7,906.3,0.0,345.4,299.9,146.8,0.0,0.0,151.1,0.0,0.0,0.0,0.0
7,2020 (COVID-19 Pandemic),"Adams County, CO",8001,11.0,586.0,643.0,266.0,107.0,63.0,39.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,5.0,106.0,98.0,61.0,53.0,33.0,16.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,176.0,278.0,172.0,111.0,64.0,38.0,0.0,1.0,4.0,8.0,9.0,11.0,6.0,0.0,71.0,95.0,107.0,89.0,65.0,38.0,0.0,4.0,12.0,11.0,7.0,13.0,2.0,20.0,3390.2,4074.8,1319.0,518.0,313.8,227.2,0.0,0.0,12.7,5.0,9.7,0.0,5.8,9.1,613.2,621.0,302.5,256.6,164.4,93.2,0.0,11.6,12.7,14.9,9.7,0.0,0.0,0.0,956.1,1643.1,796.0,493.1,300.8,206.1,0.0,5.4,23.6,37.0,40.0,51.7,32.5,0.0,385.7,561.5,495.2,395.3,305.5,206.1,0.0,21.7,70.9,50.9,31.1,61.1,10.8
8,2020 (COVID-19 Pandemic),"Adams County, IA",19003,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020 (COVID-19 Pandemic),"Adams County, IL",17001,3.0,51.0,58.0,26.0,11.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,25.0,10.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,25.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,19.0,15.0,14.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.5,2739.0,3284.3,1296.1,564.1,446.7,400.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.6,1415.6,1246.3,512.8,744.4,229.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.9,946.0,1277.5,658.2,50.9,165.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.8,500.8,970.9,759.5,712.1,220.1,0.0,0.0,0.0,51.1,50.6,0.0,0.0
