,year,geography,fips,cases_HIV diagnoses,cases_HIV prevalence,ratePer100000_HIV diagnoses,ratePer100000_HIV prevalence
0,2008,"Abbeville County, SC",45001,,44.0,,207.4
1,2008,"Acadia Parish, LA",22001,5.0,74.0,10.4,154.1
2,2008,"Accomack County, VA",51001,,103.0,,318.1
3,2008,"Ada County, ID",16001,9.0,277.0,2.9,90.3
4,2008,"Adair County, IA",19001,0.0,0.0,0.0,0.0
5,2008,"Adair County, KY",21001,0.0,,0.0,
6,2008,"Adair County, MO",29001,0.0,12.0,0.0,55.7
7,2008,"Adair County, OK",40001,,7.0,,40.5
8,2008,"Adams County, CO",8001,64.0,551.0,18.9,163.1
9,2008,"Adams County, IA",19003,0.0,0.0,0.0,0.0
10,2008,"Adams County, ID",16003,0.0,,0.0,
11,2008,"Adams County, IL",17001,,30.0,,53.5
12,2008,"Adams County, IN",18001,,6.0,,22.7
13,2008,"Adams County, MS",28001,5.0,85.0,19.4,329.5
14,2008,"Adams County, ND",38001,0.0,,0.0,
15,2008,"Adams County, NE",31001,0.0,13.0,0.0,47.2
16,2008,"Adams County, OH",39001,0.0,11.0,0.0,47.3
17,2008,"Adams County, PA",42001,,61.0,,71.0
18,2008,"Adams County, WA",53001,0.0,6.0,0.0,47.7
19,2008,"Adams County, WI",55001,0.0,22.0,0.0,122.3
20,2008,"Addison County, VT",50001,,12.0,,38.0
21,2008,"Adjuntas Municipio, PR",72001,0.0,33.0,0.0,218.6
22,2008,"Aguada Municipio, PR",72003,5.0,64.0,13.0,166.8
23,2008,"Aguadilla Municipio, PR",72005,14.0,260.0,24.8,459.7
24,2008,"Aguas Buenas Municipio, PR",72007,8.0,73.0,30.6,278.9
25,2008,"Aibonito Municipio, PR",72009,8.0,78.0,35.8,349.0
26,2008,"Aiken County, SC",45003,13.0,329.0,10.1,255.1
27,2008,"Aitkin County, MN",27001,0.0,,0.0,
28,2008,"Alachua County, FL",12001,69.0,742.0,32.9,353.4
29,2008,"Alamance County, NC",37001,33.0,279.0,27.1,229.1
30,2008,"Alameda County, CA",6001,231.0,4426.0,18.9,362.5
31,2008,"Alamosa County, CO",8003,0.0,6.0,0.0,47.8
32,2008,"Albany County, NY",36001,52.0,1038.0,20.3,405.4
33,2008,"Albany County, WY",56001,,19.0,,65.3
34,2008,"Albemarle County, VA",51003,9.0,82.0,11.3,102.6
35,2008,"Alcona County, MI",26001,0.0,,0.0,
36,2008,"Alcorn County, MS",28003,,29.0,,97.6
37,2008,"Alexander County, IL",17003,,20.0,,297.5
38,2008,"Alexander County, NC",37003,,28.0,,91.2
39,2008,"Alexandria City, VA",51510,43.0,1184.0,35.0,963.4
40,2008,"Alfalfa County, OK",40003,0.0,,0.0,
41,2008,"Alger County, MI",26003,0.0,,0.0,
42,2008,"Allegan County, MI",26005,,64.0,,68.9
43,2008,"Allegany County, MD",24001,7.0,89.0,11.0,140.3
44,2008,"Allegany County, NY",36003,,21.0,,49.7
45,2008,"Alleghany County, NC",37005,0.0,,0.0,
46,2008,"Alleghany County, VA",51005,0.0,12.0,0.0,86.7
47,2008,"Allegheny County, PA",42003,150.0,2064.0,14.3,197.0
48,2008,"Allen County, IN",18003,16.0,368.0,5.7,130.1
49,2008,"Allen County, KS",20001,0.0,5.0,0.0,44.9
50,2008,"Allen County, KY",21003,,8.0,,50.5
51,2008,"Allen County, OH",39003,8.0,145.0,9.3,167.8
52,2008,"Allen Parish, LA",22003,6.0,112.0,28.1,523.8
53,2008,"Allendale County, SC",45005,,53.0,,610.8
54,2008,"Alpena County, MI",26007,0.0,,0.0,
55,2008,"Alpine County, CA",6003,0.0,0.0,0.0,0.0
56,2008,"Amador County, CA",6005,,27.0,,80.0
57,2008,"Amelia County, VA",51007,0.0,6.0,0.0,55.7
58,2008,"Amherst County, VA",51009,,32.0,,115.0
59,2008,"Amite County, MS",28005,,14.0,,125.4
60,2008,"Anderson County, KY",21005,,8.0,,45.0
61,2008,"Anderson County, SC",45007,15.0,244.0,9.9,161.3
62,2008,"Anderson County, TN",47001,,51.0,,81.9
63,2008,"Anderson County, TX",48001,25.0,154.0,51.8,319.2
64,2008,"Andrew County, MO",29003,0.0,,0.0,
65,2008,"Androscoggin County, ME",23001,7.0,93.0,7.8,103.3
66,2008,"Angelina County, TX",48005,6.0,100.0,9.0,150.4
67,2008,"Anne Arundel County, MD",24003,96.0,1106.0,22.4,257.6
68,2008,"Anoka County, MN",27003,6.0,194.0,2.2,72.0
69,2008,"Anson County, NC",37007,,82.0,,387.9
70,2008,"Antelope County, NE",31003,0.0,,0.0,
71,2008,"Antrim County, MI",26009,0.0,5.0,0.0,24.3
72,2008,"Apache County, AZ",4001,5.0,43.0,9.3,79.6
73,2008,"Appanoose County, IA",19007,0.0,,0.0,
74,2008,"Appling County, GA",13001,,19.0,,130.1
75,2008,"Appomattox County, VA",51011,0.0,12.0,0.0,98.2
76,2008,"Aransas County, TX",48007,,18.0,,85.6
77,2008,"Arapahoe County, CO",8005,68.0,915.0,15.1,203.2
78,2008,"Archer County, TX",48009,0.0,,0.0,
79,2008,"Archuleta County, CO",8007,0.0,,0.0,
80,2008,"Arecibo Municipio, PR",72013,16.0,332.0,18.5,384.6
81,2008,"Arenac County, MI",26011,0.0,5.0,0.0,35.3
82,2008,"Arkansas County, AR",5001,,20.0,,126.3
83,2008,"Arlington County, VA",51013,47.0,1251.0,25.7,683.4
84,2008,"Armstrong County, PA",42005,0.0,28.0,0.0,47.7
85,2008,"Armstrong County, TX",48011,0.0,0.0,0.0,0.0
86,2008,"Aroostook County, ME",23003,0.0,24.0,0.0,38.7
87,2008,"Arroyo Municipio, PR",72015,,57.0,,369.6
88,2008,"Arthur County, NE",31005,0.0,0.0,0.0,0.0
89,2008,"Ascension Parish, LA",22005,9.0,133.0,11.1,164.5
90,2008,"Ashe County, NC",37009,0.0,7.0,0.0,31.8
91,2008,"Ashland County, OH",39005,,12.0,,26.3
92,2008,"Ashland County, WI",55003,,6.0,,44.2
93,2008,"Ashley County, AR",5003,0.0,16.0,0.0,87.3
94,2008,"Ashtabula County, OH",39007,,48.0,,57.0
95,2008,"Asotin County, WA",53003,,9.0,,49.8
96,2008,"Assumption Parish, LA",22007,0.0,17.0,0.0,88.3
97,2008,"Atascosa County, TX",48013,,29.0,,83.1
98,2008,"Atchison County, KS",20005,,8.0,,59.1
99,2008,"Atchison County, MO",29005,0.0,,0.0,
100,2008,"Athens County, OH",39009,,30.0,,53.8
101,2008,"Atkinson County, GA",13003,,14.0,,223.6
102,2008,"Atlantic County, NJ",34001,49.0,1414.0,21.7,626.3
103,2008,"Atoka County, OK",40005,0.0,6.0,0.0,48.9
104,2008,"Attala County, MS",28007,8.0,36.0,49.9,224.5
105,2008,"Audrain County, MO",29007,,28.0,,133.0
106,2008,"Auglaize County, OH",39011,,13.0,,33.7
107,2008,"Augusta County, VA",51015,,55.0,,90.5
108,2008,"Aurora County, SD",46003,0.0,,0.0,
109,2008,"Austin County, TX",48015,,29.0,,131.2
110,2008,"Autauga County, AL",1001,8.0,75.0,19.8,185.3
111,2008,"Avery County, NC",37011,0.0,5.0,0.0,32.0
112,2008,"Avoyelles Parish, LA",22009,6.0,127.0,17.3,365.8
113,2008,"Añasco Municipio, PR",72011,8.0,76.0,31.6,300.6
114,2008,"Bacon County, GA",13005,7.0,35.0,82.0,410.2
115,2008,"Bailey County, TX",48017,0.0,,0.0,
116,2008,"Baker County, FL",12003,,74.0,,349.9
117,2008,"Baker County, GA",13007,8.0,37.0,250.8,1159.9
118,2008,"Baker County, OR",41001,0.0,,0.0,
119,2008,"Baldwin County, AL",1003,18.0,250.0,12.2,169.9
120,2008,"Baldwin County, GA",13009,24.0,200.0,59.5,495.8
121,2008,"Baltimore City, MD",24510,803.0,11384.0,150.6,2135.2
122,2008,"Baltimore County, MD",24005,180.0,2463.0,27.0,369.9
123,2008,"Bamberg County, SC",45009,5.0,111.0,39.3,872.3
124,2008,"Bandera County, TX",48019,,13.0,,73.4
125,2008,"Banks County, GA",13011,7.0,40.0,51.2,292.4
126,2008,"Banner County, NE",31007,0.0,0.0,0.0,0.0
127,2008,"Bannock County, ID",16005,12.0,57.0,18.5,88.0
128,2008,"Baraga County, MI",26013,0.0,,0.0,
129,2008,"Barber County, KS",20007,0.0,,0.0,
130,2008,"Barbour County, AL",1005,5.0,79.0,19.9,315.0
131,2008,"Barbour County, WV",54001,,7.0,,52.5
132,2008,"Barceloneta Municipio, PR",72017,,68.0,,367.9
133,2008,"Barnes County, ND",38003,0.0,,0.0,
134,2008,"Barnstable County, MA",25001,22.0,534.0,11.3,273.9
135,2008,"Barnwell County, SC",45011,6.0,100.0,32.0,533.4
136,2008,"Barranquitas Municipio, PR",72019,,69.0,,279.3
137,2008,"Barren County, KY",21009,,12.0,,34.9
138,2008,"Barron County, WI",55005,,13.0,,33.6
139,2008,"Barrow County, GA",13013,7.0,74.0,12.7,133.8
140,2008,"Barry County, MI",26015,,19.0,,38.8
141,2008,"Barry County, MO",29009,0.0,10.0,0.0,34.0
142,2008,"Bartholomew County, IN",18005,,41.0,,66.3
143,2008,"Barton County, KS",20009,,22.0,,96.7
144,2008,"Barton County, MO",29011,0.0,,0.0,
145,2008,"Bartow County, GA",13015,23.0,158.0,30.5,209.4
146,2008,"Bastrop County, TX",48021,9.0,77.0,15.1,128.9
147,2008,"Bates County, MO",29013,0.0,9.0,0.0,64.5
148,2008,"Bath County, KY",21011,0.0,,0.0,
149,2008,"Bath County, VA",51017,0.0,,0.0,
150,2008,"Baxter County, AR",5005,,24.0,,65.7
151,2008,"Bay County, FL",12005,27.0,314.0,19.7,229.5
152,2008,"Bay County, MI",26017,6.0,55.0,6.6,60.5
153,2008,"Bayamón Municipio, PR",72021,78.0,1386.0,42.4,753.1
154,2008,"Bayfield County, WI",55007,0.0,8.0,0.0,61.5
155,2008,"Baylor County, TX",48023,0.0,,0.0,
156,2008,"Beadle County, SD",46005,0.0,7.0,0.0,52.5
157,2008,"Bear Lake County, ID",16007,0.0,0.0,0.0,0.0
158,2008,"Beaufort County, NC",37013,9.0,97.0,23.2,250.1
159,2008,"Beaufort County, SC",45013,23.0,296.0,18.1,233.1
160,2008,"Beauregard Parish, LA",22011,,33.0,,115.2
161,2008,"Beaver County, OK",40007,0.0,,0.0,
162,2008,"Beaver County, PA",42007,,84.0,,56.7
163,2008,"Beaver County, UT",49001,0.0,,0.0,
164,2008,"Beaverhead County, MT",30001,0.0,0.0,0.0,0.0
165,2008,"Becker County, MN",27005,0.0,,0.0,
166,2008,"Beckham County, OK",40009,,9.0,,51.4
167,2008,"Bedford County, PA",42009,0.0,17.0,0.0,40.1
168,2008,"Bedford County, TN",47003,,24.0,,65.8
169,2008,"Bedford County, VA",51019,,38.0,,61.5
170,2008,"Bee County, TX",48025,14.0,175.0,51.2,639.6
171,2008,"Belknap County, NH",33001,,34.0,,64.4
172,2008,"Bell County, KY",21013,,13.0,,53.4
173,2008,"Bell County, TX",48027,38.0,314.0,17.2,142.2
174,2008,"Belmont County, OH",39013,,35.0,,59.6
175,2008,"Beltrami County, MN",27007,0.0,6.0,0.0,16.8
176,2008,"Ben Hill County, GA",13017,7.0,32.0,50.3,230.2
177,2008,"Benewah County, ID",16009,0.0,,0.0,
178,2008,"Bennett County, SD",46007,0.0,0.0,0.0,0.0
179,2008,"Bennington County, VT",50003,,15.0,,47.7
