,year,geography,fips,cases_female_hiv_diagnoses,cases_female_hiv_prevalence,cases_female_hiv_viral_suppression,cases_female_linkage_to_hiv_care,cases_female_prep_coverage_and_number_of_persons_prescribed,cases_female_receipt_of_hiv_medical_care,cases_male_hiv_diagnoses,cases_male_hiv_prevalence,cases_male_hiv_viral_suppression,cases_male_linkage_to_hiv_care,cases_male_prep_coverage_and_number_of_persons_prescribed,cases_male_receipt_of_hiv_medical_care,percent_female_hiv_viral_suppression,percent_female_linkage_to_hiv_care,percent_female_prep_coverage_and_number_of_persons_prescribed,percent_female_receipt_of_hiv_medical_care,percent_male_hiv_viral_suppression,percent_male_linkage_to_hiv_care,percent_male_prep_coverage_and_number_of_persons_prescribed,percent_male_receipt_of_hiv_medical_care,rate_per_100000_female_hiv_diagnoses,rate_per_100000_female_hiv_prevalence,rate_per_100000_male_hiv_diagnoses,rate_per_100000_male_hiv_prevalence
0,2017,"Abbeville County, SC",45001,0.0,12.0,,,,,0.0,36.0,,,,,,,,,,,,,0.0,109.5,0.0,356.1
1,2017,"Acadia Parish, LA",22001,0.0,42.0,,,,,6.0,101.0,,,,,,,,,,,,,0.0,159.2,24.5,413.2
2,2017,"Accomack County, VA",51001,,34.0,,,,,,63.0,,,,,,,,,,,,,,236.0,,470.6
3,2017,"Adair County, IA",19001,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,
4,2017,"Adair County, MO",29001,,8.0,,,,,,29.0,,,,,,,,,,,,,,68.7,,274.4
5,2017,"Adams County, CO",8001,6.0,166.0,,,,,59.0,889.0,,,,,,,,,,,,,3.0,82.4,28.9,435.8
6,2017,"Adams County, IA",19003,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,
7,2017,"Adams County, MS",28001,,29.0,,,,,,79.0,,,,,,,,,,,,,,224.3,,559.6
8,2017,"Adams County, OH",39001,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,
9,2017,"Adams County, PA",42001,,48.0,,,,,,81.0,,,,,,,,,,,,,,106.7,,188.2
10,2017,"Adams County, WA",53001,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,
11,2017,"Adams County, WI",55001,,6.0,,,,,,15.0,,,,,,,,,,,,,,72.2,,155.5
12,2017,"Aguadilla Municipio, PR",72005,,23.0,,,,,,85.0,,,,,,,,,,,,,,96.1,,385.8
13,2017,"Aguas Buenas Municipio, PR",72007,,12.0,,,,,,48.0,,,,,,,,,,,,,,103.2,,444.2
14,2017,"Aibonito Municipio, PR",72009,,16.0,,,,,,44.0,,,,,,,,,,,,,,152.7,,463.1
15,2017,"Aiken County, SC",45003,,141.0,,,,,,287.0,,,,,,,,,,,,,,190.0,,422.2
16,2017,"Aitkin County, MN",27001,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,
17,2017,"Alachua County, FL",12001,6.0,292.0,,,,,43.0,707.0,,,,,,,,,,,,,5.0,242.9,38.8,637.5
18,2017,"Alamance County, NC",37001,,116.0,,,,,,290.0,,,,,,,,,,,,,,158.6,,450.4
19,2017,"Alameda County, CA",6001,23.0,963.0,665.0,15.0,109.0,768.0,179.0,4914.0,3510.0,160.0,1303.0,3949.0,70.7,65.2,13.3,81.7,74.1,88.4,20.2,83.3,3.2,133.6,26.1,715.6
20,2017,"Albany County, NY",36001,5.0,375.0,,,,,30.0,774.0,,,,,,,,,,,,,3.6,269.6,23.4,603.7
21,2017,"Albany County, WY",56001,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,
22,2017,"Albemarle County, VA",51003,,35.0,,,,,,128.0,,,,,,,,,,,,,,71.9,,292.7
23,2017,"Alcona County, MI",26001,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,
24,2017,"Alcorn County, MS",28003,,12.0,,,,,,32.0,,,,,,,,,,,,,,75.0,,211.2
25,2017,"Alexander County, NC",37003,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,
26,2017,"Alexandria City, VA",51510,12.0,289.0,,,,,18.0,780.0,,,,,,,,,,,,,16.9,407.2,27.8,1205.7
