,year,fips,county_name,state,statefips,cases
0,2020,0,Statewide Unallocated,AL,1,1074
1,2021,0,Statewide Unallocated,AL,1,0
2,2022,0,Statewide Unallocated,AL,1,0
3,2020,1001,Autauga County ,AL,1,370468
4,2021,1001,Autauga County ,AL,1,2870305
5,2022,1001,Autauga County ,AL,1,2744769
6,2020,1003,Baldwin County ,AL,1,1126681
7,2021,1003,Baldwin County ,AL,1,9744986
8,2022,1003,Baldwin County ,AL,1,9781779
9,2020,1005,Barbour County ,AL,1,174790
10,2021,1005,Barbour County ,AL,1,983065
11,2022,1005,Barbour County ,AL,1,981752
12,2020,1007,Bibb County ,AL,1,148098
13,2021,1007,Bibb County ,AL,1,1143949
14,2022,1007,Bibb County ,AL,1,1128041
15,2020,1009,Blount County ,AL,1,349200
16,2021,1009,Blount County ,AL,1,2849861
17,2022,1009,Blount County ,AL,1,2622632
18,2020,1011,Bullock County ,AL,1,119660
19,2021,1011,Bullock County ,AL,1,475160
20,2022,1011,Bullock County ,AL,1,407570
21,2020,1013,Butler County ,AL,1,201707
22,2021,1013,Butler County ,AL,1,921683
23,2022,1013,Butler County ,AL,1,888089
24,2020,1015,Calhoun County ,AL,1,740383
25,2021,1015,Calhoun County ,AL,1,6080407
26,2022,1015,Calhoun County ,AL,1,5644163
27,2020,1017,Chambers County ,AL,1,266573
28,2021,1017,Chambers County ,AL,1,1549666
29,2022,1017,Chambers County ,AL,1,1496874
30,2020,1019,Cherokee County ,AL,1,120705
31,2021,1019,Cherokee County ,AL,1,817738
32,2022,1019,Cherokee County ,AL,1,889637
33,2020,1021,Chilton County ,AL,1,291023
34,2021,1021,Chilton County ,AL,1,1841012
35,2022,1021,Chilton County ,AL,1,1904482
36,2020,1023,Choctaw County ,AL,1,73739
37,2021,1023,Choctaw County ,AL,1,249343
38,2022,1023,Choctaw County ,AL,1,345794
39,2020,1025,Clarke County ,AL,1,222579
40,2021,1025,Clarke County ,AL,1,1417176
41,2022,1025,Clarke County ,AL,1,1244455
42,2020,1027,Clay County ,AL,1,108449
43,2021,1027,Clay County ,AL,1,663442
44,2022,1027,Clay County ,AL,1,711695
45,2020,1029,Cleburne County ,AL,1,81424
46,2021,1029,Cleburne County ,AL,1,650214
47,2022,1029,Cleburne County ,AL,1,622609
48,2020,1031,Coffee County ,AL,1,305018
