,poverty_rate,per_capita_income_2006,fips,year
2,12.5,46491.0,1001.0,2006
3,11.0,45493.0,1003.0,2006
4,28.7,28692.0,1005.0,2006
5,18.8,36794.0,1007.0,2006
6,12.8,41494.0,1009.0,2006
7,32.9,23095.0,1011.0,2006
8,22.8,29158.0,1013.0,2006
9,17.6,36684.0,1015.0,2006
10,18.3,32014.0,1017.0,2006
11,18.1,37097.0,1019.0,2006
12,19.0,36717.0,1021.0,2006
13,23.5,28730.0,1023.0,2006
14,25.6,29659.0,1025.0,2006
15,15.6,32512.0,1027.0,2006
16,15.9,35119.0,1029.0,2006
17,14.2,41417.0,1031.0,2006
18,14.4,36690.0,1033.0,2006
19,26.3,25992.0,1035.0,2006
20,16.7,32424.0,1037.0,2006
21,16.9,30293.0,1039.0,2006
22,20.0,30576.0,1041.0,2006
23,15.7,35774.0,1043.0,2006
24,16.9,36969.0,1045.0,2006
25,28.2,26135.0,1047.0,2006
26,17.1,31613.0,1049.0,2006
27,13.0,50006.0,1051.0,2006
28,22.4,32844.0,1053.0,2006
29,16.7,32448.0,1055.0,2006
30,16.7,34465.0,1057.0,2006
31,17.0,30911.0,1059.0,2006
32,19.5,30230.0,1061.0,2006
33,33.2,23404.0,1063.0,2006
34,24.9,29268.0,1065.0,2006
35,17.8,35398.0,1067.0,2006
36,16.3,37415.0,1069.0,2006
37,15.5,37545.0,1071.0,2006
38,14.3,41731.0,1073.0,2006
39,18.4,31891.0,1075.0,2006
40,17.1,37801.0,1077.0,2006
41,14.6,37501.0,1079.0,2006
42,18.7,37568.0,1081.0,2006
43,14.0,44253.0,1083.0,2006
44,28.0,26390.0,1085.0,2006
45,30.2,24467.0,1087.0,2006
46,11.2,51434.0,1089.0,2006
47,26.2,30515.0,1091.0,2006
48,17.1,32792.0,1093.0,2006
49,17.5,37142.0,1095.0,2006
50,19.1,38188.0,1097.0,2006
51,22.0,32163.0,1099.0,2006
52,18.6,40922.0,1101.0,2006
53,16.0,40681.0,1103.0,2006
54,32.3,22637.0,1105.0,2006
55,23.0,29737.0,1107.0,2006
56,28.1,29269.0,1109.0,2006
57,17.5,32984.0,1111.0,2006
58,23.9,30627.0,1113.0,2006
59,10.4,45549.0,1115.0,2006
60,7.2,66476.0,1117.0,2006
61,30.8,23130.0,1119.0,2006
62,18.4,35524.0,1121.0,2006
63,18.9,32939.0,1123.0,2006
64,19.7,37952.0,1125.0,2006
65,17.0,35123.0,1127.0,2006
66,20.1,33896.0,1129.0,2006
67,35.5,19949.0,1131.0,2006
68,18.7,31869.0,1133.0,2006
70,15.2,46164.0,2013.0,2006
71,9.6,64142.0,2016.0,2006
72,9.4,63392.0,2020.0,2006
73,21.2,41156.0,2050.0,2006
74,8.5,61445.0,2060.0,2006
75,6.3,60832.0,2068.0,2006
76,21.1,47179.0,2070.0,2006
77,9.1,57914.0,2090.0,2006
78,13.3,43893.0,2100.0,2006
79,7.0,67791.0,2110.0,2006
80,11.0,54281.0,2122.0,2006
81,9.6,58720.0,2130.0,2006
82,8.7,59814.0,2150.0,2006
83,21.1,37632.0,2164.0,2006
84,11.0,59733.0,2170.0,2006
85,23.1,44737.0,2180.0,2006
86,13.7,65081.0,2185.0,2006
87,22.2,48642.0,2188.0,2006
88,15.4,42667.0,2201.0,2006
89,8.2,54050.0,2220.0,2006
90,13.7,45027.0,2232.0,2006
91,14.3,50477.0,2240.0,2006
92,10.1,56508.0,2261.0,2006
93,32.5,29608.0,2270.0,2006
94,9.9,54054.0,2280.0,2006
95,14.2,47723.0,2282.0,2006
96,24.1,31093.0,2290.0,2006
98,34.5,27600.0,4001.0,2006
99,18.0,38825.0,4003.0,2006
100,16.8,43683.0,4005.0,2006
101,20.0,35716.0,4007.0,2006
102,23.4,34618.0,4009.0,2006
103,10.9,46728.0,4011.0,2006
104,21.0,29534.0,4012.0,2006
105,12.5,52522.0,4013.0,2006
106,16.0,36320.0,4015.0,2006
107,24.4,35824.0,4017.0,2006
108,15.3,43002.0,4019.0,2006
109,15.2,43627.0,4021.0,2006
110,21.8,34620.0,4023.0,2006
111,12.4,40923.0,4025.0,2006
112,19.0,37154.0,4027.0,2006
114,20.1,33926.0,5001.0,2006
115,19.5,33595.0,5003.0,2006
116,14.5,33474.0,5005.0,2006
117,10.5,46447.0,5007.0,2006
118,14.9,35968.0,5009.0,2006
119,26.1,28478.0,5011.0,2006
120,18.1,33385.0,5013.0,2006
121,18.6,30763.0,5015.0,2006
122,33.4,23599.0,5017.0,2006
123,24.5,32491.0,5019.0,2006
124,21.0,27861.0,5021.0,2006
125,15.8,36420.0,5023.0,2006
126,15.1,40135.0,5025.0,2006
127,25.4,30743.0,5027.0,2006
128,16.1,35697.0,5029.0,2006
129,16.7,38239.0,5031.0,2006
130,16.8,38129.0,5033.0,2006
131,24.9,33331.0,5035.0,2006
132,19.0,32486.0,5037.0,2006
133,21.9,30228.0,5039.0,2006
134,31.4,26881.0,5041.0,2006
135,19.1,32826.0,5043.0,2006
136,13.4,42757.0,5045.0,2006
137,16.4,34838.0,5047.0,2006
138,20.0,29018.0,5049.0,2006
139,16.9,34434.0,5051.0,2006
140,11.8,46627.0,5053.0,2006
141,16.0,35151.0,5055.0,2006
142,23.0,30292.0,5057.0,2006
143,14.8,35237.0,5059.0,2006
144,18.6,32299.0,5061.0,2006
145,14.5,34620.0,5063.0,2006
146,20.3,30541.0,5065.0,2006
147,26.1,27271.0,5067.0,2006
148,23.8,33989.0,5069.0,2006
149,19.0,29915.0,5071.0,2006
150,23.2,27437.0,5073.0,2006
151,21.7,28437.0,5075.0,2006
152,36.5,22725.0,5077.0,2006
153,25.1,34024.0,5079.0,2006
154,19.1,32688.0,5081.0,2006
155,17.2,32257.0,5083.0,2006
156,12.2,48798.0,5085.0,2006
157,18.7,32932.0,5087.0,2006
158,16.8,31697.0,5089.0,2006
159,17.3,38860.0,5091.0,2006
160,27.8,29984.0,5093.0,2006
161,26.5,25592.0,5095.0,2006
162,19.4,31069.0,5097.0,2006
163,19.8,30646.0,5099.0,2006
164,23.0,28356.0,5101.0,2006
165,21.2,31770.0,5103.0,2006
166,18.2,35430.0,5105.0,2006
167,35.4,24102.0,5107.0,2006
168,19.1,30434.0,5109.0,2006
169,22.8,29943.0,5111.0,2006
170,20.3,30194.0,5113.0,2006
171,17.5,37644.0,5115.0,2006
172,18.0,31732.0,5117.0,2006
173,14.2,43338.0,5119.0,2006
174,19.6,28497.0,5121.0,2006
175,29.8,30125.0,5123.0,2006
176,10.6,48287.0,5125.0,2006
177,20.6,30543.0,5127.0,2006
178,26.7,24142.0,5129.0,2006
179,15.2,37862.0,5131.0,2006
180,20.5,31363.0,5133.0,2006
181,19.7,29436.0,5135.0,2006
182,21.6,25687.0,5137.0,2006
183,20.5,34152.0,5139.0,2006
184,18.6,29766.0,5141.0,2006
185,15.1,41505.0,5143.0,2006
186,15.6,36864.0,5145.0,2006
187,28.1,24147.0,5147.0,2006
188,17.1,32302.0,5149.0,2006
190,11.1,64285.0,6001.0,2006
191,16.4,47515.0,6003.0,2006
192,9.0,50528.0,6005.0,2006
193,16.7,40023.0,6007.0,2006
194,10.8,52745.0,6009.0,2006
195,13.7,40240.0,6011.0,2006
196,7.9,74058.0,6013.0,2006
197,21.8,33765.0,6015.0,2006
198,7.6,67605.0,6017.0,2006
199,20.8,42433.0,6019.0,2006
200,17.8,38093.0,6021.0,2006
201,18.0,38796.0,6023.0,2006
202,19.4,36275.0,6025.0,2006
203,11.5,41366.0,6027.0,2006
204,20.5,42709.0,6029.0,2006
205,21.3,42070.0,6031.0,2006
206,17.1,36174.0,6033.0,2006
207,15.6,45668.0,6035.0,2006
208,15.4,51279.0,6037.0,2006
209,21.1,39919.0,6039.0,2006
210,8.3,81305.0,6041.0,2006
211,13.4,40930.0,6043.0,2006
212,16.8,39847.0,6045.0,2006
213,20.7,40447.0,6047.0,2006
214,18.7,31610.0,6049.0,2006
215,9.7,51135.0,6051.0,2006
216,11.6,54273.0,6053.0,2006
217,10.3,63586.0,6055.0,2006
218,7.9,52141.0,6057.0,2006
219,9.8,70109.0,6059.0,2006
220,5.7,69982.0,6061.0,2006
221,10.8,46527.0,6063.0,2006
222,12.2,53269.0,6065.0,2006
223,12.1,53689.0,6067.0,2006
224,9.6,66941.0,6069.0,2006
225,13.8,52686.0,6071.0,2006
226,11.7,59279.0,6073.0,2006
227,12.1,64648.0,6075.0,2006
228,14.4,51691.0,6077.0,2006
229,13.1,50202.0,6079.0,2006
230,7.2,77717.0,6081.0,2006
231,15.8,53382.0,6083.0,2006
232,9.0,80775.0,6085.0,2006
233,11.9,60863.0,6087.0,2006
234,16.7,42813.0,6089.0,2006
235,11.4,43405.0,6091.0,2006
236,17.6,34329.0,6093.0,2006
237,10.4,61529.0,6095.0,2006
238,9.6,60656.0,6097.0,2006
239,14.4,48252.0,6099.0,2006
240,13.3,47174.0,6101.0,2006
241,17.6,35639.0,6103.0,2006
242,16.6,33070.0,6105.0,2006
243,21.6,41117.0,6107.0,2006
244,11.4,44991.0,6109.0,2006
245,9.0,71807.0,6111.0,2006
246,16.9,50027.0,6113.0,2006
247,19.0,37558.0,6115.0,2006
249,12.5,50930.0,8001.0,2006
250,22.8,33726.0,8003.0,2006
251,10.3,55804.0,8005.0,2006
252,10.5,46904.0,8007.0,2006
253,17.8,29443.0,8009.0,2006
254,24.3,30475.0,8011.0,2006
255,11.1,62322.0,8013.0,2006
256,5.8,71714.0,8014.0,2006
257,13.1,39263.0,8015.0,2006
258,13.4,37794.0,8017.0,2006
259,7.3,61744.0,8019.0,2006
260,24.0,28591.0,8021.0,2006
261,29.5,23000.0,8023.0,2006
262,35.6,28375.0,8025.0,2006
263,13.0,41811.0,8027.0,2006
264,13.7,37343.0,8029.0,2006
265,19.7,41357.0,8031.0,2006
266,13.9,35877.0,8033.0,2006
267,2.5,93273.0,8035.0,2006
268,7.3,65923.0,8037.0,2006
269,5.3,75374.0,8039.0,2006
270,9.3,53234.0,8041.0,2006
271,16.9,37831.0,8043.0,2006
272,7.6,59503.0,8045.0,2006
273,5.6,60235.0,8047.0,2006
274,7.8,54619.0,8049.0,2006
275,13.7,41434.0,8051.0,2006
276,9.1,42406.0,8053.0,2006
277,25.5,28778.0,8055.0,2006
278,16.1,36073.0,8057.0,2006
279,7.0,60784.0,8059.0,2006
280,13.2,33032.0,8061.0,2006
281,13.7,38751.0,8063.0,2006
282,13.9,40443.0,8065.0,2006
283,11.5,50561.0,8067.0,2006
284,12.1,54241.0,8069.0,2006
285,16.4,35008.0,8071.0,2006
286,17.9,35524.0,8073.0,2006
287,12.7,37885.0,8075.0,2006
288,12.4,42791.0,8077.0,2006
289,10.0,42228.0,8079.0,2006
290,10.1,50285.0,8081.0,2006
291,18.0,37389.0,8083.0,2006
292,12.5,42016.0,8085.0,2006
293,13.8,40266.0,8087.0,2006
294,19.4,33310.0,8089.0,2006
295,8.0,51747.0,8091.0,2006
296,7.6,60208.0,8093.0,2006
297,11.2,36380.0,8095.0,2006
298,5.6,67950.0,8097.0,2006
299,20.4,32003.0,8099.0,2006
300,17.0,36999.0,8101.0,2006
301,9.8,47150.0,8103.0,2006
302,16.6,35842.0,8105.0,2006
303,6.5,61128.0,8107.0,2006
304,26.4,28213.0,8109.0,2006
305,16.9,34987.0,8111.0,2006
306,9.4,54850.0,8113.0,2006
307,12.8,30763.0,8115.0,2006
308,7.1,60332.0,8117.0,2006
309,8.1,57686.0,8119.0,2006
310,13.0,34115.0,8121.0,2006
311,14.3,52037.0,8123.0,2006
312,13.5,38067.0,8125.0,2006
