,poverty_rate,per_capita_income_2005,fips,year
2,10.4,45019,1001.0,2005
3,11.4,42804,1003.0,2005
4,22.4,29534,1005.0,2005
5,16.6,34212,1007.0,2005
6,11.4,40588,1009.0,2005
7,38.2,21728,1011.0,2005
8,23.1,28058,1013.0,2005
9,16.9,35937,1015.0,2005
10,16.2,31538,1017.0,2005
11,16.2,33858,1019.0,2005
12,16.1,36098,1021.0,2005
13,24.4,27512,1023.0,2005
14,20.9,29531,1025.0,2005
15,15.8,33512,1027.0,2005
16,15.5,34287,1029.0,2005
17,15.1,37025,1031.0,2005
18,15.7,35590,1033.0,2005
19,27.7,24587,1035.0,2005
20,18.7,31142,1037.0,2005
21,18.4,30847,1039.0,2005
22,23.5,29410,1041.0,2005
23,14.7,36693,1043.0,2005
24,16,36422,1045.0,2005
25,34.9,24936,1047.0,2005
26,19.4,31501,1049.0,2005
27,13.1,45474,1051.0,2005
28,22.2,30600,1053.0,2005
29,15.8,32973,1055.0,2005
30,17.9,31720,1057.0,2005
31,19.5,29698,1059.0,2005
32,20.3,29492,1061.0,2005
33,33.9,22436,1063.0,2005
34,30.4,27535,1065.0,2005
35,17.6,33191,1067.0,2005
36,14.9,37947,1069.0,2005
37,18.8,32208,1071.0,2005
38,15.7,41821,1073.0,2005
39,17,30373,1075.0,2005
40,18.5,33448,1077.0,2005
41,16,37871,1079.0,2005
42,20.6,35320,1081.0,2005
43,13,40745,1083.0,2005
44,29.5,25590,1085.0,2005
45,32,23500,1087.0,2005
46,10.3,50522,1089.0,2005
47,25.2,29635,1091.0,2005
48,18.4,29800,1093.0,2005
49,18.7,34668,1095.0,2005
50,20,36143,1097.0,2005
51,22.3,30964,1099.0,2005
52,17.4,39749,1101.0,2005
53,14,41339,1103.0,2005
54,34.9,22109,1105.0,2005
55,23.3,28578,1107.0,2005
56,28.6,27581,1109.0,2005
57,19.2,32974,1111.0,2005
58,20,30155,1113.0,2005
59,13.2,45416,1115.0,2005
60,6.3,61563,1117.0,2005
61,36.6,21252,1119.0,2005
62,19.3,33986,1121.0,2005
63,18.2,32672,1123.0,2005
64,20.4,34459,1125.0,2005
65,15.6,33666,1127.0,2005
66,20.2,33001,1129.0,2005
67,37.8,19407,1131.0,2005
68,21.8,29320,1133.0,2005
70,16.8,47177,2013.0,2005
71,9.2,60138,2016.0,2005
72,9.2,61018,2020.0,2005
73,20,45504,2050.0,2005
74,9.1,58017,2060.0,2005
75,6.6,58019,2068.0,2005
76,22.7,43991,2070.0,2005
77,8.9,55408,2090.0,2005
78,11.9,41981,2100.0,2005
79,7.3,67614,2110.0,2005
80,11.2,48373,2122.0,2005
81,9.3,53152,2130.0,2005
82,8.6,54933,2150.0,2005
83,20.6,34806,2164.0,2005
84,11.3,57134,2170.0,2005
85,21.7,42623,2180.0,2005
86,12.7,62760,2185.0,2005
87,20.6,48280,2188.0,2005
88,15.6,39247,2201.0,2005
89,8.2,54499,2220.0,2005
90,12.9,42591,2232.0,2005
91,15.5,46292,2240.0,2005
92,10.6,52864,2261.0,2005
93,34,29213,2270.0,2005
94,9.9,48183,2280.0,2005
95,15.2,46505,2282.0,2005
96,26.1,30907,2290.0,2005
98,41.7,26308,4001.0,2005
99,16.9,36296,4003.0,2005
100,18,41446,4005.0,2005
101,19.9,33862,4007.0,2005
102,23.7,33558,4009.0,2005
103,12.8,43338,4011.0,2005
104,21.6,29015,4012.0,2005
105,12.6,48752,4013.0,2005
106,15.6,35320,4015.0,2005
107,28.8,31532,4017.0,2005
108,14.9,41484,4019.0,2005
109,15.7,41177,4021.0,2005
110,20.4,33491,4023.0,2005
111,12.8,40382,4025.0,2005
112,19.1,35739,4027.0,2005
114,17.6,34821,5001.0,2005
115,21,32800,5003.0,2005
116,14.3,31278,5005.0,2005
117,9.1,48162,5007.0,2005
118,15.9,33563,5009.0,2005
119,25.8,27543,5011.0,2005
120,18,31783,5013.0,2005
121,16.2,30789,5015.0,2005
122,36.2,23546,5017.0,2005
123,21.1,31437,5019.0,2005
124,19.9,28039,5021.0,2005
125,14.7,34240,5023.0,2005
126,15.5,36535,5025.0,2005
127,21.4,30337,5027.0,2005
128,18.4,33890,5029.0,2005
129,17.3,34109,5031.0,2005
130,17.3,35191,5033.0,2005
131,26.3,31414,5035.0,2005
132,19.5,31737,5037.0,2005
133,21.5,28631,5039.0,2005
134,31.2,25681,5041.0,2005
135,20.3,31165,5043.0,2005
136,13.2,42738,5045.0,2005
137,16.7,32978,5047.0,2005
138,17.6,28449,5049.0,2005
139,16.6,32722,5051.0,2005
140,11.3,41215,5053.0,2005
141,18.2,34549,5055.0,2005
142,21.5,30391,5057.0,2005
143,16.9,34210,5059.0,2005
144,17.6,30281,5061.0,2005
145,16.5,32671,5063.0,2005
146,18.5,27339,5065.0,2005
147,25.4,27454,5067.0,2005
148,21.2,32105,5069.0,2005
149,18.7,30545,5071.0,2005
150,25.7,26321,5073.0,2005
151,22.3,29534,5075.0,2005
152,39.4,22454,5077.0,2005
