,fips,year,total_pop
1,1001,2000,44021
2,1003,2000,141342
3,1005,2000,29015
4,1007,2000,19913
5,1009,2000,51107
6,1011,2000,11581
7,1013,2000,21325
8,1015,2000,111081
9,1017,2000,36571
10,1019,2000,24006
11,1021,2000,39897
12,1023,2000,15875
13,1025,2000,27819
14,1027,2000,14263
15,1029,2000,14172
16,1031,2000,43580
17,1033,2000,54997
18,1035,2000,14035
19,1037,2000,11844
20,1039,2000,37514
21,1041,2000,13692
22,1043,2000,77473
23,1045,2000,49124
24,1047,2000,46198
25,1049,2000,64650
26,1051,2000,66160
27,1053,2000,38325
28,1055,2000,103286
29,1057,2000,18512
30,1059,2000,31242
31,1061,2000,25740
32,1063,2000,9902
33,1065,2000,18194
34,1067,2000,16341
35,1069,2000,88943
36,1071,2000,53979
37,1073,2000,662033
38,1075,2000,15923
39,1077,2000,88039
40,1079,2000,34874
41,1081,2000,115430
42,1083,2000,65966
43,1085,2000,13471
44,1087,2000,24047
45,1089,2000,278006
46,1091,2000,22564
47,1093,2000,31137
48,1095,2000,82429
49,1097,2000,400073
50,1099,2000,24319
51,1101,2000,223428
52,1103,2000,111221
53,1105,2000,11809
54,1107,2000,20881
55,1109,2000,29748
56,1111,2000,22377
57,1113,2000,49805
58,1115,2000,65080
59,1117,2000,144674
60,1119,2000,14746
61,1121,2000,80772
62,1123,2000,41689
63,1125,2000,165414
64,1127,2000,70602
65,1129,2000,18101
66,1131,2000,12939
67,1133,2000,24857
3195,1001,2001,44889
3196,1003,2001,144875
3197,1005,2001,28863
3198,1007,2001,21028
3199,1009,2001,51845
3200,1011,2001,11358
3201,1013,2001,21139
3202,1015,2001,111266
3203,1017,2001,36274
3204,1019,2001,24182
3205,1021,2001,40197
3206,1023,2001,15677
3207,1025,2001,27624
3208,1027,2001,14298
3209,1029,2001,14222
3210,1031,2001,43716
3211,1033,2001,54793
3212,1035,2001,13940
3213,1037,2001,11848
3214,1039,2001,37069
3215,1041,2001,13724
3216,1043,2001,77415
3217,1045,2001,49254
3218,1047,2001,46132
3219,1049,2001,65678
3220,1051,2001,67459
3221,1053,2001,38197
3222,1055,2001,102976
3223,1057,2001,18384
3224,1059,2001,31190
3225,1061,2001,25565
3226,1063,2001,9866
3227,1065,2001,17868
3228,1067,2001,16358
3229,1069,2001,89490
3230,1071,2001,53997
3231,1073,2001,660197
3232,1075,2001,15632
3233,1077,2001,87791
3234,1079,2001,34870
3235,1081,2001,116819
3236,1083,2001,66936
3237,1085,2001,13329
3238,1087,2001,23925
3239,1089,2001,281517
3240,1091,2001,22203
3241,1093,2001,30777
3242,1095,2001,82477
3243,1097,2001,400129
3244,1099,2001,24120
3245,1101,2001,223048
3246,1103,2001,111682
3247,1105,2001,11645
3248,1107,2001,20873
3249,1109,2001,29844
3250,1111,2001,22465
3251,1113,2001,49622
3252,1115,2001,66093
3253,1117,2001,149358
3254,1119,2001,14630
3255,1121,2001,80939
3256,1123,2001,41406
3257,1125,2001,166951
3258,1127,2001,70364
3259,1129,2001,17933
3260,1131,2001,12806
3261,1133,2001,24597
6389,1001,2002,45909
6390,1003,2002,147957
6391,1005,2002,28653
6392,1007,2002,21199
6393,1009,2002,52551
6394,1011,2002,11256
6395,1013,2002,20803
6396,1015,2002,111625
6397,1017,2002,35965
6398,1019,2002,24403
6399,1021,2002,40683
6400,1023,2002,15367
6401,1025,2002,27267
6402,1027,2002,14257
6403,1029,2002,14416
6404,1031,2002,43930
6405,1033,2002,54536
6406,1035,2002,13793
6407,1037,2002,11740
6408,1039,2002,36901
6409,1041,2002,13635
6410,1043,2002,77443
6411,1045,2002,49373
6412,1047,2002,45377
6413,1049,2002,65861
6414,1051,2002,68659
6415,1053,2002,38035
6416,1055,2002,102988
6417,1057,2002,18278
6418,1059,2002,30891
6419,1061,2002,25580
6420,1063,2002,9893
6421,1065,2002,17376
6422,1067,2002,16447
6423,1069,2002,89940
6424,1071,2002,53758
6425,1073,2002,657518
6426,1075,2002,15446
6427,1077,2002,87627
6428,1079,2002,34698
6429,1081,2002,118392
6430,1083,2002,67677
6431,1085,2002,13231
6432,1087,2002,23563
6433,1089,2002,286439
6434,1091,2002,22217
6435,1093,2002,30608
6436,1095,2002,83417
6437,1097,2002,398549
