,fips,year,employed_persons,unemployment_rate
2,1001,2000,20971.0,4.1
3,1003,2000,67370.0,3.7
4,1005,2000,10812.0,5.6
5,1007,2000,8160.0,5.4
6,1009,2000,24375.0,3.5
7,1011,2000,3656.0,8.5
8,1013,2000,8496.0,7.9
9,1015,2000,50522.0,5.1
10,1017,2000,16709.0,4.4
11,1019,2000,10862.0,4.5
12,1021,2000,18752.0,4.3
13,1023,2000,5815.0,6.6
14,1025,2000,10814.0,7.4
15,1027,2000,6199.0,6.2
16,1029,2000,6715.0,4.1
17,1031,2000,18861.0,5.9
18,1033,2000,24657.0,5.6
19,1035,2000,5158.0,6.6
20,1037,2000,5038.0,5.5
21,1039,2000,16221.0,7.0
22,1041,2000,5800.0,5.8
23,1043,2000,37274.0,4.2
24,1045,2000,19820.0,5.3
25,1047,2000,16487.0,8.1
26,1049,2000,31194.0,4.1
27,1051,2000,29944.0,4.0
28,1053,2000,15348.0,5.3
29,1055,2000,45652.0,5.9
30,1057,2000,7839.0,5.9
31,1059,2000,13756.0,6.6
32,1061,2000,11631.0,5.1
33,1063,2000,3291.0,6.9
34,1065,2000,6596.0,6.1
35,1067,2000,7302.0,5.0
36,1069,2000,43444.0,4.4
37,1071,2000,26612.0,5.2
38,1073,2000,317868.0,4.0
39,1075,2000,6970.0,7.0
40,1077,2000,41531.0,5.0
41,1079,2000,15843.0,5.0
42,1081,2000,56042.0,4.0
43,1083,2000,31770.0,3.8
44,1085,2000,4732.0,7.0
45,1087,2000,8606.0,5.8
46,1089,2000,144268.0,3.6
47,1091,2000,8594.0,5.3
48,1093,2000,13339.0,6.7
49,1095,2000,38836.0,4.8
50,1097,2000,176895.0,5.0
51,1099,2000,9669.0,6.5
52,1101,2000,101919.0,4.2
53,1103,2000,54205.0,4.3
54,1105,2000,3747.0,9.3
55,1107,2000,8000.0,7.6
56,1109,2000,13364.0,5.6
57,1111,2000,9534.0,4.9
58,1113,2000,21109.0,4.7
59,1115,2000,30359.0,3.8
60,1117,2000,80512.0,2.8
61,1119,2000,4922.0,9.2
62,1121,2000,33954.0,5.2
63,1123,2000,18522.0,4.9
64,1125,2000,78918.0,4.0
65,1127,2000,29851.0,5.9
66,1129,2000,7243.0,6.9
67,1131,2000,3617.0,8.8
68,1133,2000,10841.0,7.9
3279,1001,2001,21166.0,4.1
3280,1003,2001,66545.0,4.3
3281,1005,2001,10468.0,7.6
3282,1007,2001,8513.0,6.8
3283,1009,2001,24521.0,3.7
3284,1011,2001,3543.0,10.0
3285,1013,2001,8372.0,7.6
3286,1015,2001,49001.0,5.6
3287,1017,2001,16568.0,5.5
3288,1019,2001,10881.0,4.6
3289,1021,2001,18631.0,4.8
3290,1023,2001,5481.0,7.2
3291,1025,2001,9998.0,9.9
3292,1027,2001,6012.0,6.1
3293,1029,2001,6594.0,5.3
3294,1031,2001,18179.0,6.3
3295,1033,2001,23982.0,6.9
3296,1035,2001,4916.0,7.4
3297,1037,2001,4969.0,6.8
3298,1039,2001,15866.0,6.4
3299,1041,2001,5671.0,6.1
3300,1043,2001,36421.0,4.7
3301,1045,2001,19112.0,5.6
3302,1047,2001,15965.0,9.3
3303,1049,2001,30852.0,4.9
3304,1051,2001,30297.0,4.3
3305,1053,2001,14663.0,6.2
3306,1055,2001,43918.0,6.7
3307,1057,2001,7672.0,6.4
3308,1059,2001,12971.0,7.7
3309,1061,2001,11336.0,6.5
3310,1063,2001,3262.0,7.2
3311,1065,2001,6547.0,7.3
3312,1067,2001,7174.0,5.4
3313,1069,2001,43058.0,4.3
3314,1071,2001,25391.0,6.6
3315,1073,2001,313445.0,4.4
3316,1075,2001,6676.0,8.1
3317,1077,2001,40237.0,6.6
3318,1079,2001,15622.0,6.0
3319,1081,2001,56125.0,4.1
3320,1083,2001,31976.0,4.4
3321,1085,2001,4675.0,7.3
3322,1087,2001,8433.0,5.9
3323,1089,2001,144676.0,3.9
3324,1091,2001,8409.0,6.0
3325,1093,2001,11855.0,8.8
3326,1095,2001,37895.0,5.6
3327,1097,2001,174354.0,5.7
3328,1099,2001,9229.0,7.3
3329,1101,2001,100729.0,4.6
3330,1103,2001,53654.0,5.2
3331,1105,2001,3466.0,11.1
3332,1107,2001,7774.0,8.5
3333,1109,2001,12873.0,5.4
3334,1111,2001,9356.0,6.3
3335,1113,2001,20384.0,5.6
3336,1115,2001,30507.0,4.2
3337,1117,2001,82074.0,3.0
3338,1119,2001,4715.0,8.5
3339,1121,2001,33666.0,6.6
3340,1123,2001,18213.0,6.0
3341,1125,2001,78363.0,4.2
3342,1127,2001,29513.0,6.1
3343,1129,2001,6812.0,9.0
3344,1131,2001,3466.0,10.2
3345,1133,2001,9783.0,9.5
6556,1001,2002,21096.0,4.8
6557,1003,2002,65881.0,5.0
6558,1005,2002,10154.0,7.7
6559,1007,2002,8333.0,7.0
6560,1009,2002,24436.0,5.4
6561,1011,2002,3493.0,10.2
6562,1013,2002,8448.0,7.9
6563,1015,2002,48991.0,6.0
6564,1017,2002,16056.0,6.7
6565,1019,2002,11039.0,4.8
6566,1021,2002,18456.0,5.1
6567,1023,2002,5239.0,8.9
6568,1025,2002,9775.0,9.1
6569,1027,2002,5780.0,6.2
6570,1029,2002,6454.0,5.0
6571,1031,2002,18354.0,5.2
6572,1033,2002,22957.0,8.4
6573,1035,2002,4754.0,8.2
6574,1037,2002,4712.0,9.3
6575,1039,2002,16128.0,5.9
6576,1041,2002,5489.0,6.1
6577,1043,2002,35757.0,6.0
6578,1045,2002,19162.0,5.7
6579,1047,2002,15224.0,11.4
6580,1049,2002,30806.0,5.2
6581,1051,2002,30247.0,4.8
6582,1053,2002,13659.0,8.7
6583,1055,2002,44025.0,6.4
6584,1057,2002,7230.0,8.6
6585,1059,2002,12190.0,11.2
6586,1061,2002,11163.0,4.9
6587,1063,2002,3234.0,8.5
6588,1065,2002,6481.0,8.4
6589,1067,2002,7096.0,6.1
6590,1069,2002,42753.0,4.8
6591,1071,2002,24984.0,7.1
6592,1073,2002,306259.0,5.2
6593,1075,2002,6393.0,8.4
6594,1077,2002,38470.0,8.6
6595,1079,2002,15044.0,6.8
6596,1081,2002,56661.0,4.6
6597,1083,2002,31448.0,5.4
6598,1085,2002,4597.0,8.9
