,pct_sex_age_under_5,pct_sex_age_5_to_9,pct_sex_age_10_to_14,pct_sex_age_15_to_19,pct_sex_age_20_to_24,pct_sex_age_25_to_34,pct_sex_age_35_to_44,pct_sex_age_45_to_54,pct_sex_age_55_to_59,pct_sex_age_60_to_64,pct_sex_age_65_to_74,pct_sex_age_75_to_84,pct_sex_age_85+,median_age,pct_sex_age_18+,pct_sex_age_21+,pct_sex_age_62+,pct_sex_age_65+,pct_sex_age_18+_male,pct_sex_age_18+_female,pct_sex_age_65+_male,pct_sex_age_65+_female,pct_one_or_more_race,pct_one_or_more_race_white,pct_one_or_more_race_black,pct_one_or_more_race_native_american,pct_one_or_more_race_asian,pct_one_or_more_race_native_hawaiian_pacific_islander,pct_one_or_more_race_other_race,pct_ethnicity_hispanic,year,total_pop,fips,pct_sex_age_16+
0,5.8,6.9,7.7,7.2,6.2,12.2,13.8,14.6,6.5,5.2,8.4,4.4,1.2,37.8,74.8,71.1,16.8,14.0,48.0,52.0,43.3,56.7,55049,78.7,19.3,0.9,1.4,0.2,1.5,2.6,2016,55049,1001,
1,5.7,6.3,6.3,6.1,5.5,11.4,12.4,13.8,6.7,7.1,11.2,5.6,1.9,42.3,77.8,74.6,23.2,18.7,48.2,51.8,46.7,53.3,199510,88.1,9.9,1.4,1.3,0.0,1.3,4.4,2016,199510,1003,
2,5.5,6.4,6.0,5.7,7.3,13.7,12.4,13.8,6.6,6.1,10.0,4.9,1.6,38.7,78.5,74.7,20.2,16.5,54.1,45.9,43.2,56.8,26614,47.2,48.2,0.4,0.6,0.0,4.2,4.3,2016,26614,1005,
3,5.1,5.2,6.7,6.8,6.4,13.8,13.5,15.4,6.5,5.7,9.1,4.9,0.9,40.2,78.9,74.8,18.0,14.9,53.8,46.2,43.0,57.0,22572,78.3,22.3,0.7,0.1,0.0,0.0,2.2,2016,22572,1007,
4,6.1,6.6,6.8,6.8,5.4,11.6,12.7,14.1,6.3,6.6,10.5,5.3,1.4,40.8,76.4,72.8,21.2,17.2,49.1,50.9,44.6,55.4,57704,97.0,2.0,1.2,0.5,0.1,0.9,8.7,2016,57704,1009,
5,6.0,6.3,5.7,5.9,6.6,12.4,14.8,13.7,5.4,8.0,9.6,3.8,1.7,39.2,78.4,74.8,20.0,15.1,55.1,44.9,41.8,58.2,10552,22.9,75.5,1.9,0.8,0.0,0.0,0.1,2016,10552,1011,
6,6.0,6.6,6.6,6.3,5.7,12.0,12.0,12.6,6.8,7.2,9.9,5.9,2.3,40.6,76.7,73.3,22.0,18.1,45.3,54.7,41.1,58.9,20280,54.8,44.5,0.6,1.2,0.0,0.2,1.2,2016,20280,1013,
7,5.6,6.4,6.1,6.7,7.2,12.7,12.1,13.4,7.0,6.7,9.3,4.9,1.7,39.1,77.9,73.5,19.7,15.9,47.3,52.7,42.3,57.7,115883,77.0,21.8,1.2,1.3,0.1,1.2,3.4,2016,115883,1015,
8,6.0,5.6,5.9,5.8,6.5,11.6,12.0,14.1,7.7,6.4,10.6,5.0,2.8,43.1,78.6,75.7,22.0,18.4,47.1,52.9,41.9,58.1,34018,58.2,41.3,0.5,1.0,0.0,0.2,0.4,2016,34018,1017,
9,4.9,5.4,6.5,5.7,5.3,9.5,11.8,14.7,8.2,7.6,12.7,6.2,1.4,45.7,79.4,76.6,24.8,20.3,49.3,50.7,45.6,54.4,25897,94.3,5.0,1.3,0.4,0.0,0.0,1.6,2016,25897,1019,
10,6.5,6.7,6.9,6.0,6.0,13.3,13.4,12.9,7.3,5.6,9.2,4.8,1.3,38.7,75.8,72.7,18.6,15.2,48.7,51.3,45.1,54.9,43817,84.8,10.6,0.9,0.5,0.0,4.3,7.6,2016,43817,1021,
11,4.9,5.1,6.8,6.2,5.9,9.7,11.4,14.5,8.1,6.7,12.1,6.5,2.2,45.1,79.2,76.0,25.2,20.7,46.8,53.2,43.9,56.1,13287,57.2,43.2,0.7,0.1,0.0,0.0,0.6,2016,13287,1023,
12,5.5,5.9,6.7,6.8,6.5,10.6,12.1,14.2,6.5,7.0,10.3,5.6,2.2,42.0,77.4,73.1,22.7,18.1,46.6,53.4,43.4,56.6,24847,53.7,46.0,0.2,0.5,0.1,0.0,0.2,2016,24847,1025,
13,5.0,5.8,6.6,7.7,4.8,9.4,12.7,14.3,7.5,6.8,11.1,6.2,2.1,43.7,78.4,73.1,23.8,19.4,47.7,52.3,45.6,54.4,13483,83.7,15.4,1.1,0.1,0.0,0.6,3.1,2016,13483,1027,
14,6.1,6.5,7.1,5.8,5.4,10.7,13.0,14.1,7.0,6.2,10.8,5.3,2.1,41.5,76.5,73.8,21.9,18.2,48.7,51.3,44.5,55.5,14991,96.3,3.6,0.9,0.6,0.0,0.6,2.3,2016,14991,1029,
15,6.2,6.5,6.8,6.6,6.0,12.6,13.5,13.6,6.8,5.6,9.0,5.2,1.6,39.3,76.2,72.8,18.8,15.8,48.9,51.1,43.8,56.2,50991,79.3,18.5,2.4,2.1,0.1,1.1,6.6,2016,50991,1031,
16,5.7,6.0,6.0,6.1,5.8,11.9,12.1,13.8,7.3,6.8,10.5,5.9,2.0,42.4,78.4,75.1,22.3,18.5,47.3,52.7,42.8,57.2,54377,81.9,17.0,1.3,0.8,0.1,1.4,2.4,2016,54377,1033,
17,6.2,7.2,5.0,5.9,6.3,9.9,10.9,13.4,8.0,6.9,12.2,5.9,2.1,44.0,77.8,74.0,23.9,20.3,47.7,52.3,45.1,54.9,12697,52.6,47.2,1.3,0.1,0.3,0.0,1.8,2016,12697,1035,
18,4.5,4.5,5.7,6.3,6.2,9.0,14.0,14.0,9.2,7.9,11.5,5.0,2.2,44.9,81.7,77.5,23.2,18.7,50.5,49.5,45.2,54.8,10864,67.6,33.5,0.2,0.0,0.0,0.0,1.3,2016,10864,1037,
