year,fips,covid_cases
2020,1001,4164
2021,1001,10953
2022,1001,16536
2020,1003,13392
2021,1003,39583
2022,1003,58905
2020,1005,1492
2021,1005,3819
2022,1005,5891
2020,1007,1817
2021,1007,4514
2022,1007,6704
2020,1009,4584
2021,1009,11193
2022,1009,15370
2020,1011,846
2021,1011,1652
2022,1011,2439
2020,1013,1493
2021,1013,3591
2022,1013,5251
2020,1015,9428
2021,1015,23242
2022,1015,33275
2020,1017,2310
2021,1017,6121
2022,1017,8815
2020,1019,1403
2021,1019,3364
2022,1019,5258
2020,1021,2913
2021,1021,7370
2022,1021,11339
2020,1023,488
2021,1023,1017
2022,1023,2101
2020,1025,2357
2021,1025,4930
2022,1025,7308
2020,1027,1131
2021,1027,2633
2022,1027,4222
2020,1029,1011
2021,1029,2634
2022,1029,3609
2020,1031,3536
2021,1031,9737
2022,1031,14190
2020,1033,4573
2021,1033,9759
2022,1033,17010
2020,1035,835
2021,1035,1975
2022,1035,2970
2020,1037,501
2021,1037,1926
2022,1037,3061
2020,1039,2868
2021,1039,7122
2022,1039,9677
2020,1041,939
2021,1041,2712
2022,1041,3966
2020,1043,6989
2021,1043,16891
2022,1043,25554
2020,1045,3283
2021,1045,9342
2022,1045,13493
2020,1047,2744
2021,1047,5487
2022,1047,8731
2020,1049,6812
2021,1049,13460
2022,1049,19136
2020,1051,6321
2021,1051,16638
2022,1051,24422
2020,1053,2637
2021,1053,7193
2022,1053,10413
2020,1055,9937
2021,1055,20584
2022,1055,29292
2020,1057,1416
2021,1057,3407
2022,1057,5060
2020,1059,3233
2021,1059,6548
2022,1059,10106
2020,1061,1648
2021,1061,4750
2022,1061,6699
2020,1063,662
2021,1063,1357
2022,1063,1963
2020,1065,1437
2021,1065,3295
2022,1065,4961
2020,1067,1222
2021,1067,3306
2022,1067,4788
2020,1069,7157
2021,1069,18379
2022,1069,26925
2020,1071,5028
2021,1071,10577
2022,1071,15391
2020,1073,51676
2021,1073,124773
2022,1073,195597
2020,1075,1037
2021,1075,2603
2022,1075,3861
2020,1077,6371
2021,1077,15768
2022,1077,25057
2020,1079,2005
2021,1079,5046
2022,1079,7879
2020,1081,10159
2021,1081,26789
2022,1081,39363
2020,1083,6724
2021,1083,16928
2022,1083,26175
2020,1085,936
2021,1085,1855
2022,1085,2721
2020,1087,989
2021,1087,2581
2022,1087,4085
2020,1089,21884
2021,1089,56985
2022,1089,95272
2020,1091,1776
2021,1091,3487
2022,1091,5388
2020,1093,2049
2021,1093,5547
2022,1093,8442
2020,1095,8996
2021,1095,19431
2022,1095,28071
2020,1097,25635
2021,1097,77995
2022,1097,116928
2020,1099,1195
2021,1099,3499
2022,1099,5442
2020,1101,15986
2021,1101,37329
2022,1101,58329
2020,1103,10482
2021,1103,23661
2022,1103,37447
2020,1105,853
2021,1105,1443
2022,1105,2184
2020,1107,1720
2021,1107,3437
2022,1107,5412
2020,1109,1990
2021,1109,5386
2022,1109,7755
2020,1111,1235
2021,1111,3565
2022,1111,5196
2020,1113,2775
2021,1113,7411
2022,1113,10577
2020,1115,6416
2021,1115,17766
2022,1115,26529
2020,1117,15501
2021,1117,40799
2022,1117,63927
2020,1119,834
2021,1119,1460
2022,1119,2697
2020,1121,5111
2021,1121,14844
2022,1121,23097
2020,1123,2354
2021,1123,7679
2022,1123,11799
2020,1125,18341
2021,1125,37476
2022,1125,59266
2020,1127,5185
2021,1127,12588
2022,1127,19320
2020,1129,1176
2021,1129,2607
2022,1129,3866
2020,1131,870
2021,1131,1838
2022,1131,2974
2020,1133,1952
2021,1133,4926
2022,1133,7779
2020,2013,28
2021,2013,138
2022,2013,653
2020,2016,190
2021,2016,365
2022,2016,968
2020,2020,22628
2021,2020,62889
2022,2020,108968
2020,2050,2411
2021,2050,6940
2022,2050,10757
2020,2060,0
2021,2060,608
2022,2060,608
2020,2068,55
2021,2068,238
2022,2068,424
2020,2070,117
2021,2070,974
2022,2070,1915
2020,2090,4832
2021,2090,17188
2022,2090,28692
2020,2100,20
2021,2100,264
2022,2100,679
2020,2105,0
2021,2105,0
2022,2105,0
2020,2110,1029
2021,2110,4244
2022,2110,9545
2020,2122,3583
2021,2122,11783
2022,2122,18601
2020,2130,237
2021,2130,2230
2022,2130,4525
2020,2150,891
2021,2150,2639
2022,2150,5040
2020,2158,695
2021,2158,1508
2022,2158,1508
2020,2164,0
2021,2164,121
2022,2164,121
2020,2170,6341
2021,2170,24942
2022,2170,35971
2020,2180,273
2021,2180,2370
2022,2180,6271
2020,2185,783
2021,2185,2685
2022,2185,4254
2020,2188,398
2021,2188,2364
2022,2188,4869
2020,2195,20
2021,2195,179
2022,2195,179
2020,2198,63
2021,2198,251
2022,2198,251
2020,2220,265
2021,2220,1258
2022,2220,2729
2020,2230,16
2021,2230,30
