,fips,year,employed_persons,unemployment_rate,total_pop,poverty_rate,per_capita_income_2007,per_capita_income_2006,per_capita_income_2005,per_capita_income_2008,per_capita_income_2003,per_capita_income_2004,per_capita_income_2009,per_capita_income_2002
0,1001,2000,20971.0,4.1,44021.0,,,,,,,,,
1,1003,2000,67370.0,3.7,141342.0,,,,,,,,,
2,1005,2000,10812.0,5.6,29015.0,,,,,,,,,
3,1007,2000,8160.0,5.4,19913.0,,,,,,,,,
4,1009,2000,24375.0,3.5,51107.0,,,,,,,,,
5,1011,2000,3656.0,8.5,11581.0,,,,,,,,,
6,1013,2000,8496.0,7.9,21325.0,,,,,,,,,
7,1015,2000,50522.0,5.1,111081.0,,,,,,,,,
8,1017,2000,16709.0,4.4,36571.0,,,,,,,,,
9,1019,2000,10862.0,4.5,24006.0,,,,,,,,,
10,1021,2000,18752.0,4.3,39897.0,,,,,,,,,
11,1023,2000,5815.0,6.6,15875.0,,,,,,,,,
12,1025,2000,10814.0,7.4,27819.0,,,,,,,,,
13,1027,2000,6199.0,6.2,14263.0,,,,,,,,,
14,1029,2000,6715.0,4.1,14172.0,,,,,,,,,
15,1031,2000,18861.0,5.9,43580.0,,,,,,,,,
16,1033,2000,24657.0,5.6,54997.0,,,,,,,,,
17,1035,2000,5158.0,6.6,14035.0,,,,,,,,,
18,1037,2000,5038.0,5.5,11844.0,,,,,,,,,
19,1039,2000,16221.0,7.0,37514.0,,,,,,,,,
20,1041,2000,5800.0,5.8,13692.0,,,,,,,,,
21,1043,2000,37274.0,4.2,77473.0,,,,,,,,,
22,1045,2000,19820.0,5.3,49124.0,,,,,,,,,
23,1047,2000,16487.0,8.1,46198.0,,,,,,,,,
24,1049,2000,31194.0,4.1,64650.0,,,,,,,,,
25,1051,2000,29944.0,4.0,66160.0,,,,,,,,,
26,1053,2000,15348.0,5.3,38325.0,,,,,,,,,
27,1055,2000,45652.0,5.9,103286.0,,,,,,,,,
28,1057,2000,7839.0,5.9,18512.0,,,,,,,,,
29,1059,2000,13756.0,6.6,31242.0,,,,,,,,,
30,1061,2000,11631.0,5.1,25740.0,,,,,,,,,
31,1063,2000,3291.0,6.9,9902.0,,,,,,,,,
32,1065,2000,6596.0,6.1,18194.0,,,,,,,,,
33,1067,2000,7302.0,5.0,16341.0,,,,,,,,,
34,1069,2000,43444.0,4.4,88943.0,,,,,,,,,
35,1071,2000,26612.0,5.2,53979.0,,,,,,,,,
36,1073,2000,317868.0,4.0,662033.0,,,,,,,,,
37,1075,2000,6970.0,7.0,15923.0,,,,,,,,,
38,1077,2000,41531.0,5.0,88039.0,,,,,,,,,
39,1079,2000,15843.0,5.0,34874.0,,,,,,,,,
40,1081,2000,56042.0,4.0,115430.0,,,,,,,,,
41,1083,2000,31770.0,3.8,65966.0,,,,,,,,,
42,1085,2000,4732.0,7.0,13471.0,,,,,,,,,
43,1087,2000,8606.0,5.8,24047.0,,,,,,,,,
44,1089,2000,144268.0,3.6,278006.0,,,,,,,,,
45,1091,2000,8594.0,5.3,22564.0,,,,,,,,,
46,1093,2000,13339.0,6.7,31137.0,,,,,,,,,
47,1095,2000,38836.0,4.8,82429.0,,,,,,,,,
48,1097,2000,176895.0,5.0,400073.0,,,,,,,,,
49,1099,2000,9669.0,6.5,24319.0,,,,,,,,,
50,1101,2000,101919.0,4.2,223428.0,,,,,,,,,
51,1103,2000,54205.0,4.3,111221.0,,,,,,,,,
52,1105,2000,3747.0,9.3,11809.0,,,,,,,,,
53,1107,2000,8000.0,7.6,20881.0,,,,,,,,,
54,1109,2000,13364.0,5.6,29748.0,,,,,,,,,
55,1111,2000,9534.0,4.9,22377.0,,,,,,,,,
56,1113,2000,21109.0,4.7,49805.0,,,,,,,,,
57,1115,2000,30359.0,3.8,65080.0,,,,,,,,,
58,1117,2000,80512.0,2.8,144674.0,,,,,,,,,
59,1119,2000,4922.0,9.2,14746.0,,,,,,,,,
60,1121,2000,33954.0,5.2,80772.0,,,,,,,,,
61,1123,2000,18522.0,4.9,41689.0,,,,,,,,,
62,1125,2000,78918.0,4.0,165414.0,,,,,,,,,
63,1127,2000,29851.0,5.9,70602.0,,,,,,,,,
64,1129,2000,7243.0,6.9,18101.0,,,,,,,,,
65,1131,2000,3617.0,8.8,12939.0,,,,,,,,,
66,1133,2000,10841.0,7.9,24857.0,,,,,,,,,
67,2013,2000,860.0,8.7,2693.0,,,,,,,,,
68,2016,2000,2597.0,5.1,5470.0,,,,,,,,,
69,2020,2000,133661.0,5.0,260816.0,,,,,,,,,
70,2050,2000,5833.0,8.9,16080.0,,,,,,,,,
71,2060,2000,866.0,6.4,1232.0,,,,,,,,,
72,2063,2000,,,,,,,,,,,,
73,2066,2000,,,,,,,,,,,,
74,2068,2000,1244.0,7.2,1890.0,,,,,,,,,
75,2070,2000,1820.0,7.3,4916.0,,,,,,,,,
76,2090,2000,38543.0,6.1,83005.0,,,,,,,,,
77,2100,2000,1285.0,8.0,2399.0,,,,,,,,,
78,2105,2000,,,2562.0,,,,,,,,,
79,2110,2000,17203.0,4.6,30668.0,,,,,,,,,
80,2122,2000,22597.0,8.2,49618.0,,,,,,,,,
81,2130,2000,7782.0,6.2,14000.0,,,,,,,,,
82,2150,2000,6004.0,8.3,13983.0,,,,,,,,,
83,2158,2000,1897.0,15.2,,,,,,,,,,
84,2164,2000,982.0,5.2,1814.0,,,,,,,,,
85,2170,2000,26793.0,7.3,59802.0,,,,,,,,,
86,2180,2000,3348.0,9.6,9152.0,,,,,,,,,
87,2185,2000,3121.0,8.4,7420.0,,,,,,,,,
88,2188,2000,2682.0,9.0,7226.0,,,,,,,,,
89,2195,2000,,,4249.0,,,,,,,,,
90,2198,2000,,,6098.0,,,,,,,,,
91,2201,2000,2289.0,14.1,,,,,,,,,,
92,2220,2000,4245.0,4.8,8845.0,,,,,,,,,
93,2230,2000,,,868.0,,,,,,,,,
94,2232,2000,1650.0,9.8,,,,,,,,,,
95,2240,2000,1991.0,12.3,6177.0,,,,,,,,,
96,2261,2000,4830.0,7.6,10210.0,,,,,,,,,
97,2275,2000,,,2452.0,,,,,,,,,
98,2280,2000,2780.0,9.7,,,,,,,,,,
99,2282,2000,345.0,6.8,796.0,,,,,,,,,
100,2290,2000,2342.0,11.5,6489.0,,,,,,,,,
101,4001,2000,17320.0,9.0,69507.0,,,,,,,,,
102,4003,2000,46466.0,4.5,118132.0,,,,,,,,,
103,4005,2000,59889.0,4.4,116773.0,,,,,,,,,
104,4007,2000,19269.0,5.3,51332.0,,,,,,,,,
105,4009,2000,11605.0,5.5,33511.0,,,,,,,,,
106,4011,2000,3756.0,4.2,8547.0,,,,,,,,,
107,4012,2000,7141.0,6.4,19611.0,,,,,,,,,
108,4013,2000,1546575.0,3.2,3092197.0,,,,,,,,,
109,4015,2000,65752.0,4.5,156215.0,,,,,,,,,
110,4017,2000,31794.0,7.3,97689.0,,,,,,,,,
111,4019,2000,394670.0,3.7,848019.0,,,,,,,,,
112,4021,2000,66458.0,4.6,181280.0,,,,,,,,,
113,4023,2000,13539.0,8.2,38589.0,,,,,,,,,
114,4025,2000,72773.0,4.0,168608.0,,,,,,,,,
115,4027,2000,53819.0,16.4,160576.0,,,,,,,,,
116,5001,2000,9704.0,4.5,20776.0,,,,,,,,,
