,year,fips,covid_cases,county_name
0,2020,1001,4164.0,Autauga County 
1,2021,1001,10953.0,Autauga County 
2,2022,1001,16536.0,Autauga County 
3,2020,1003,13392.0,Baldwin County 
4,2021,1003,39583.0,Baldwin County 
5,2022,1003,58905.0,Baldwin County 
6,2020,1005,1492.0,Barbour County 
7,2021,1005,3819.0,Barbour County 
8,2022,1005,5891.0,Barbour County 
9,2020,1007,1817.0,Bibb County 
10,2021,1007,4514.0,Bibb County 
11,2022,1007,6704.0,Bibb County 
12,2020,1009,4584.0,Blount County 
13,2021,1009,11193.0,Blount County 
14,2022,1009,15370.0,Blount County 
15,2020,1011,846.0,Bullock County 
16,2021,1011,1652.0,Bullock County 
17,2022,1011,2439.0,Bullock County 
18,2020,1013,1493.0,Butler County 
19,2021,1013,3591.0,Butler County 
20,2022,1013,5251.0,Butler County 
21,2020,1015,9428.0,Calhoun County 
22,2021,1015,23242.0,Calhoun County 
23,2022,1015,33275.0,Calhoun County 
24,2020,1017,2310.0,Chambers County 
25,2021,1017,6121.0,Chambers County 
26,2022,1017,8815.0,Chambers County 
27,2020,1019,1403.0,Cherokee County 
28,2021,1019,3364.0,Cherokee County 
29,2022,1019,5258.0,Cherokee County 
30,2020,1021,2913.0,Chilton County 
31,2021,1021,7370.0,Chilton County 
32,2022,1021,11339.0,Chilton County 
33,2020,1023,488.0,Choctaw County 
34,2021,1023,1017.0,Choctaw County 
35,2022,1023,2101.0,Choctaw County 
36,2020,1025,2357.0,Clarke County 
37,2021,1025,4930.0,Clarke County 
38,2022,1025,7308.0,Clarke County 
39,2020,1027,1131.0,Clay County 
40,2021,1027,2633.0,Clay County 
41,2022,1027,4222.0,Clay County 
42,2020,1029,1011.0,Cleburne County 
43,2021,1029,2634.0,Cleburne County 
44,2022,1029,3609.0,Cleburne County 
45,2020,1031,3536.0,Coffee County 
46,2021,1031,9737.0,Coffee County 
47,2022,1031,14190.0,Coffee County 
48,2020,1033,4573.0,Colbert County 
49,2021,1033,9759.0,Colbert County 
50,2022,1033,17010.0,Colbert County 
51,2020,1035,835.0,Conecuh County 
52,2021,1035,1975.0,Conecuh County 
53,2022,1035,2970.0,Conecuh County 
54,2020,1037,501.0,Coosa County 
55,2021,1037,1926.0,Coosa County 
56,2022,1037,3061.0,Coosa County 
57,2020,1039,2868.0,Covington County 
58,2021,1039,7122.0,Covington County 
59,2022,1039,9677.0,Covington County 
60,2020,1041,939.0,Crenshaw County 
61,2021,1041,2712.0,Crenshaw County 
62,2022,1041,3966.0,Crenshaw County 
63,2020,1043,6989.0,Cullman County 
64,2021,1043,16891.0,Cullman County 
65,2022,1043,25554.0,Cullman County 
66,2020,1045,3283.0,Dale County 
67,2021,1045,9342.0,Dale County 
68,2022,1045,13493.0,Dale County 
69,2020,1047,2744.0,Dallas County 
70,2021,1047,5487.0,Dallas County 
71,2022,1047,8731.0,Dallas County 
72,2020,1049,6812.0,DeKalb County 
73,2021,1049,13460.0,DeKalb County 
74,2022,1049,19136.0,DeKalb County 
75,2020,1051,6321.0,Elmore County 
76,2021,1051,16638.0,Elmore County 
77,2022,1051,24422.0,Elmore County 
78,2020,1053,2637.0,Escambia County 
79,2021,1053,7193.0,Escambia County 
80,2022,1053,10413.0,Escambia County 
81,2020,1055,9937.0,Etowah County 
82,2021,1055,20584.0,Etowah County 
83,2022,1055,29292.0,Etowah County 
84,2020,1057,1416.0,Fayette County 
85,2021,1057,3407.0,Fayette County 
86,2022,1057,5060.0,Fayette County 
87,2020,1059,3233.0,Franklin County 
88,2021,1059,6548.0,Franklin County 
89,2022,1059,10106.0,Franklin County 
90,2020,1061,1648.0,Geneva County 
91,2021,1061,4750.0,Geneva County 
92,2022,1061,6699.0,Geneva County 
93,2020,1063,662.0,Greene County 
94,2021,1063,1357.0,Greene County 
95,2022,1063,1963.0,Greene County 
96,2020,1065,1437.0,Hale County 
97,2021,1065,3295.0,Hale County 
98,2022,1065,4961.0,Hale County 
99,2020,1067,1222.0,Henry County 
100,2021,1067,3306.0,Henry County 
101,2022,1067,4788.0,Henry County 
102,2020,1069,7157.0,Houston County 
103,2021,1069,18379.0,Houston County 
104,2022,1069,26925.0,Houston County 
105,2020,1071,5028.0,Jackson County 
106,2021,1071,10577.0,Jackson County 
107,2022,1071,15391.0,Jackson County 
108,2020,1073,51676.0,Jefferson County 
109,2021,1073,124773.0,Jefferson County 
110,2022,1073,195597.0,Jefferson County 
111,2020,1075,1037.0,Lamar County 
112,2021,1075,2603.0,Lamar County 
113,2022,1075,3861.0,Lamar County 
114,2020,1077,6371.0,Lauderdale County 
115,2021,1077,15768.0,Lauderdale County 
116,2022,1077,25057.0,Lauderdale County 
117,2020,1079,2005.0,Lawrence County 
118,2021,1079,5046.0,Lawrence County 
119,2022,1079,7879.0,Lawrence County 
120,2020,1081,10159.0,Lee County 
121,2021,1081,26789.0,Lee County 
122,2022,1081,39363.0,Lee County 
123,2020,1083,6724.0,Limestone County 
124,2021,1083,16928.0,Limestone County 
125,2022,1083,26175.0,Limestone County 
126,2020,1085,936.0,Lowndes County 
127,2021,1085,1855.0,Lowndes County 
128,2022,1085,2721.0,Lowndes County 
129,2020,1087,989.0,Macon County 
130,2021,1087,2581.0,Macon County 
131,2022,1087,4085.0,Macon County 
132,2020,1089,21884.0,Madison County 
133,2021,1089,56985.0,Madison County 
134,2022,1089,95272.0,Madison County 
135,2020,1091,1776.0,Marengo County 
136,2021,1091,3487.0,Marengo County 
137,2022,1091,5388.0,Marengo County 
138,2020,1093,2049.0,Marion County 
139,2021,1093,5547.0,Marion County 
140,2022,1093,8442.0,Marion County 
141,2020,1095,8996.0,Marshall County 
142,2021,1095,19431.0,Marshall County 
143,2022,1095,28071.0,Marshall County 
144,2020,1097,25635.0,Mobile County 
145,2021,1097,77995.0,Mobile County 
146,2022,1097,116928.0,Mobile County 
147,2020,1099,1195.0,Monroe County 
148,2021,1099,3499.0,Monroe County 
149,2022,1099,5442.0,Monroe County 
150,2020,1101,15986.0,Montgomery County 
151,2021,1101,37329.0,Montgomery County 
152,2022,1101,58329.0,Montgomery County 
153,2020,1103,10482.0,Morgan County 
154,2021,1103,23661.0,Morgan County 
155,2022,1103,37447.0,Morgan County 
156,2020,1105,853.0,Perry County 
157,2021,1105,1443.0,Perry County 
158,2022,1105,2184.0,Perry County 
159,2020,1107,1720.0,Pickens County 
160,2021,1107,3437.0,Pickens County 
161,2022,1107,5412.0,Pickens County 
162,2020,1109,1990.0,Pike County 
163,2021,1109,5386.0,Pike County 
164,2022,1109,7755.0,Pike County 
165,2020,1111,1235.0,Randolph County 
166,2021,1111,3565.0,Randolph County 
167,2022,1111,5196.0,Randolph County 
168,2020,1113,2775.0,Russell County 
169,2021,1113,7411.0,Russell County 
170,2022,1113,10577.0,Russell County 
171,2020,1115,6416.0,St. Clair County 
172,2021,1115,17766.0,St. Clair County 
173,2022,1115,26529.0,St. Clair County 
174,2020,1117,15501.0,Shelby County 
175,2021,1117,40799.0,Shelby County 
176,2022,1117,63927.0,Shelby County 
177,2020,1119,834.0,Sumter County 
178,2021,1119,1460.0,Sumter County 
179,2022,1119,2697.0,Sumter County 
180,2020,1121,5111.0,Talladega County 
181,2021,1121,14844.0,Talladega County 
182,2022,1121,23097.0,Talladega County 
183,2020,1123,2354.0,Tallapoosa County 
184,2021,1123,7679.0,Tallapoosa County 
185,2022,1123,11799.0,Tallapoosa County 
186,2020,1125,18341.0,Tuscaloosa County 
187,2021,1125,37476.0,Tuscaloosa County 
188,2022,1125,59266.0,Tuscaloosa County 
189,2020,1127,5185.0,Walker County 
190,2021,1127,12588.0,Walker County 
191,2022,1127,19320.0,Walker County 
192,2020,1129,1176.0,Washington County 
193,2021,1129,2607.0,Washington County 
194,2022,1129,3866.0,Washington County 
195,2020,1131,870.0,Wilcox County 
196,2021,1131,1838.0,Wilcox County 
197,2022,1131,2974.0,Wilcox County 
198,2020,1133,1952.0,Winston County 
199,2021,1133,4926.0,Winston County 
200,2022,1133,7779.0,Winston County 
201,2020,2013,28.0,Aleutians East Borough 
202,2021,2013,138.0,Aleutians East Borough 
203,2022,2013,653.0,Aleutians East Borough 
204,2020,2016,190.0,Aleutians West Census Area 
205,2021,2016,365.0,Aleutians West Census Area 
206,2022,2016,968.0,Aleutians West Census Area 
207,2020,2020,22628.0,Municipality of Anchorage
208,2021,2020,62889.0,Municipality of Anchorage
209,2022,2020,108968.0,Municipality of Anchorage
210,2020,2050,2411.0,Bethel Census Area 
211,2021,2050,6940.0,Bethel Census Area 
212,2022,2050,10757.0,Bethel Census Area 
213,2020,2060,0.0,Bristol Bay Borough 
214,2021,2060,608.0,Bristol Bay Borough 
215,2022,2060,608.0,Bristol Bay Borough 
216,2020,2068,55.0,Denali Borough 
217,2021,2068,238.0,Denali Borough 
218,2022,2068,424.0,Denali Borough 
219,2020,2070,117.0,Dillingham Census Area 
220,2021,2070,974.0,Dillingham Census Area 
221,2022,2070,1915.0,Dillingham Census Area 
222,2020,2090,4832.0,Fairbanks North Star Borough 
223,2021,2090,17188.0,Fairbanks North Star Borough 
224,2022,2090,28692.0,Fairbanks North Star Borough 
225,2020,2100,20.0,Haines Borough 
226,2021,2100,264.0,Haines Borough 
227,2022,2100,679.0,Haines Borough 
228,2020,2105,0.0,Hoonah-Angoon Census Area 
229,2021,2105,0.0,Hoonah-Angoon Census Area 
230,2022,2105,0.0,Hoonah-Angoon Census Area 
231,2020,2110,1029.0,City and Borough of Juneau
232,2021,2110,4244.0,City and Borough of Juneau
233,2022,2110,9545.0,City and Borough of Juneau
234,2020,2122,3583.0,Kenai Peninsula Borough 
235,2021,2122,11783.0,Kenai Peninsula Borough 
236,2022,2122,18601.0,Kenai Peninsula Borough 
237,2020,2130,237.0,Ketchikan Gateway Borough 
238,2021,2130,2230.0,Ketchikan Gateway Borough 
239,2022,2130,4525.0,Ketchikan Gateway Borough 
240,2020,2150,891.0,Kodiak Island Borough 
241,2021,2150,2639.0,Kodiak Island Borough 
242,2022,2150,5040.0,Kodiak Island Borough 
243,2020,2158,695.0,Kusilvak Census Area 
244,2021,2158,1508.0,Kusilvak Census Area 
245,2022,2158,1508.0,Kusilvak Census Area 
246,2020,2164,0.0,Lake and Peninsula Borough 
247,2021,2164,121.0,Lake and Peninsula Borough 
248,2022,2164,121.0,Lake and Peninsula Borough 
249,2020,2170,6341.0,Matanuska-Susitna Borough 
250,2021,2170,24942.0,Matanuska-Susitna Borough 
251,2022,2170,35971.0,Matanuska-Susitna Borough 
252,2020,2180,273.0,Nome Census Area 
253,2021,2180,2370.0,Nome Census Area 
254,2022,2180,6271.0,Nome Census Area 
255,2020,2185,783.0,North Slope Borough 
256,2021,2185,2685.0,North Slope Borough 
257,2022,2185,4254.0,North Slope Borough 
258,2020,2188,398.0,Northwest Arctic Borough 
259,2021,2188,2364.0,Northwest Arctic Borough 
260,2022,2188,4869.0,Northwest Arctic Borough 
261,2020,2195,20.0,Petersburg Borough 
262,2021,2195,179.0,Petersburg Borough 
263,2022,2195,179.0,Petersburg Borough 
264,2020,2198,63.0,Prince of Wales - Hyder Census Area 
265,2021,2198,251.0,Prince of Wales - Hyder Census Area 
266,2022,2198,251.0,Prince of Wales - Hyder Census Area 
267,2020,2220,265.0,City and Borough of Sitka
268,2021,2220,1258.0,City and Borough of Sitka
269,2022,2220,2729.0,City and Borough of Sitka
270,2020,2230,16.0,Municipality of Skagway
271,2021,2230,30.0,Municipality of Skagway
272,2022,2230,30.0,Municipality of Skagway
273,2020,2240,420.0,Southeast Fairbanks Census Area 
274,2021,2240,1318.0,Southeast Fairbanks Census Area 
275,2022,2240,1983.0,Southeast Fairbanks Census Area 
276,2020,2261,342.0,Valdez-Cordova Census Area 
277,2021,2261,1141.0,Valdez-Cordova Census Area 
278,2022,2261,1974.0,Valdez-Cordova Census Area 
279,2020,2275,18.0,City and Borough of Wrangell
280,2021,2275,71.0,City and Borough of Wrangell
281,2022,2275,71.0,City and Borough of Wrangell
282,2020,2282,0.0,City and Borough of Yakutat
283,2021,2282,63.0,City and Borough of Yakutat
284,2022,2282,63.0,City and Borough of Yakutat
285,2020,2290,216.0,Yukon-Koyukuk Census Area 
286,2021,2290,823.0,Yukon-Koyukuk Census Area 
287,2022,2290,1524.0,Yukon-Koyukuk Census Area 
288,2020,4001,7336.0,Apache County 
289,2021,4001,16196.0,Apache County 
290,2022,4001,23720.0,Apache County 
291,2020,4003,7324.0,Cochise County 
292,2021,4003,19985.0,Cochise County 
293,2022,4003,33235.0,Cochise County 
294,2020,4005,10982.0,Coconino County 
295,2021,4005,27717.0,Coconino County 
296,2022,4005,46312.0,Coconino County 
297,2020,4007,4419.0,Gila County 
298,2021,4007,12172.0,Gila County 
299,2022,4007,17943.0,Gila County 
300,2020,4009,3180.0,Graham County 
301,2021,4009,8955.0,Graham County 
302,2022,4009,12288.0,Graham County 
303,2020,4011,392.0,Greenlee County 
304,2021,4011,1483.0,Greenlee County 
