,year,fips,covid_cases,county_name
0,2020,1001,4164,Autauga County 
3,2020,1003,13392,Baldwin County 
6,2020,1005,1492,Barbour County 
9,2020,1007,1817,Bibb County 
12,2020,1009,4584,Blount County 
15,2020,1011,846,Bullock County 
18,2020,1013,1493,Butler County 
21,2020,1015,9428,Calhoun County 
24,2020,1017,2310,Chambers County 
27,2020,1019,1403,Cherokee County 
30,2020,1021,2913,Chilton County 
33,2020,1023,488,Choctaw County 
36,2020,1025,2357,Clarke County 
39,2020,1027,1131,Clay County 
42,2020,1029,1011,Cleburne County 
45,2020,1031,3536,Coffee County 
48,2020,1033,4573,Colbert County 
51,2020,1035,835,Conecuh County 
54,2020,1037,501,Coosa County 
57,2020,1039,2868,Covington County 
60,2020,1041,939,Crenshaw County 
63,2020,1043,6989,Cullman County 
66,2020,1045,3283,Dale County 
69,2020,1047,2744,Dallas County 
72,2020,1049,6812,DeKalb County 
75,2020,1051,6321,Elmore County 
78,2020,1053,2637,Escambia County 
81,2020,1055,9937,Etowah County 
84,2020,1057,1416,Fayette County 
87,2020,1059,3233,Franklin County 
90,2020,1061,1648,Geneva County 
93,2020,1063,662,Greene County 
96,2020,1065,1437,Hale County 
99,2020,1067,1222,Henry County 
102,2020,1069,7157,Houston County 
105,2020,1071,5028,Jackson County 
108,2020,1073,51676,Jefferson County 
111,2020,1075,1037,Lamar County 
114,2020,1077,6371,Lauderdale County 
117,2020,1079,2005,Lawrence County 
120,2020,1081,10159,Lee County 
123,2020,1083,6724,Limestone County 
126,2020,1085,936,Lowndes County 
129,2020,1087,989,Macon County 
132,2020,1089,21884,Madison County 
135,2020,1091,1776,Marengo County 
138,2020,1093,2049,Marion County 
141,2020,1095,8996,Marshall County 
144,2020,1097,25635,Mobile County 
147,2020,1099,1195,Monroe County 
150,2020,1101,15986,Montgomery County 
153,2020,1103,10482,Morgan County 
156,2020,1105,853,Perry County 
159,2020,1107,1720,Pickens County 
162,2020,1109,1990,Pike County 
165,2020,1111,1235,Randolph County 
168,2020,1113,2775,Russell County 
171,2020,1115,6416,St. Clair County 
174,2020,1117,15501,Shelby County 
177,2020,1119,834,Sumter County 
180,2020,1121,5111,Talladega County 
183,2020,1123,2354,Tallapoosa County 
186,2020,1125,18341,Tuscaloosa County 
189,2020,1127,5185,Walker County 
192,2020,1129,1176,Washington County 
195,2020,1131,870,Wilcox County 
198,2020,1133,1952,Winston County 
201,2020,2013,28,Aleutians East Borough 
204,2020,2016,190,Aleutians West Census Area 
207,2020,2020,22628,Municipality of Anchorage
210,2020,2050,2411,Bethel Census Area 
213,2020,2060,0,Bristol Bay Borough 
216,2020,2068,55,Denali Borough 
219,2020,2070,117,Dillingham Census Area 
222,2020,2090,4832,Fairbanks North Star Borough 
225,2020,2100,20,Haines Borough 
228,2020,2105,0,Hoonah-Angoon Census Area 
231,2020,2110,1029,City and Borough of Juneau
234,2020,2122,3583,Kenai Peninsula Borough 
237,2020,2130,237,Ketchikan Gateway Borough 
240,2020,2150,891,Kodiak Island Borough 
243,2020,2158,695,Kusilvak Census Area 
246,2020,2164,0,Lake and Peninsula Borough 
249,2020,2170,6341,Matanuska-Susitna Borough 
252,2020,2180,273,Nome Census Area 
255,2020,2185,783,North Slope Borough 
258,2020,2188,398,Northwest Arctic Borough 
261,2020,2195,20,Petersburg Borough 
264,2020,2198,63,Prince of Wales - Hyder Census Area 
267,2020,2220,265,City and Borough of Sitka
270,2020,2230,16,Municipality of Skagway
273,2020,2240,420,Southeast Fairbanks Census Area 
276,2020,2261,342,Valdez-Cordova Census Area 
279,2020,2275,18,City and Borough of Wrangell
282,2020,2282,0,City and Borough of Yakutat
285,2020,2290,216,Yukon-Koyukuk Census Area 
288,2020,4001,7336,Apache County 
291,2020,4003,7324,Cochise County 
294,2020,4005,10982,Coconino County 
297,2020,4007,4419,Gila County 
300,2020,4009,3180,Graham County 
303,2020,4011,392,Greenlee County 
306,2020,4012,1387,La Paz County 
309,2020,4013,314464,Maricopa County 
312,2020,4015,12108,Mohave County 
315,2020,4017,11196,Navajo County 
318,2020,4019,68437,Pima County 
321,2020,4021,27191,Pinal County 
324,2020,4023,5857,Santa Cruz County 
327,2020,4025,11101,Yavapai County 
330,2020,4027,27115,Yuma County 
333,2020,5001,1297,Arkansas County 
336,2020,5003,1250,Ashley County 
339,2020,5005,2040,Baxter County 
342,2020,5007,17503,Benton County 
345,2020,5009,2547,Boone County 
348,2020,5011,918,Bradley County 
351,2020,5013,227,Calhoun County 
354,2020,5015,2054,Carroll County 
357,2020,5017,1398,Chicot County 
360,2020,5019,1353,Clark County 
363,2020,5021,1306,Clay County 
366,2020,5023,1208,Cleburne County 
369,2020,5025,555,Cleveland County 
372,2020,5027,1552,Columbia County 
375,2020,5029,1289,Conway County 
378,2020,5031,9960,Craighead County 
381,2020,5033,4402,Crawford County 
384,2020,5035,4293,Crittenden County 
387,2020,5037,1377,Cross County 
390,2020,5039,476,Dallas County 
393,2020,5041,943,Desha County 
396,2020,5043,1423,Drew County 
399,2020,5045,7516,Faulkner County 
402,2020,5047,1079,Franklin County 
405,2020,5049,864,Fulton County 
408,2020,5051,5739,Garland County 
411,2020,5053,1056,Grant County 
414,2020,5055,4398,Greene County 
417,2020,5057,1215,Hempstead County 
420,2020,5059,3615,Hot Spring County 
423,2020,5061,1097,Howard County 
426,2020,5063,2724,Independence County 
429,2020,5065,1271,Izard County 
432,2020,5067,2816,Jackson County 
435,2020,5069,6648,Jefferson County 
438,2020,5071,1817,Johnson County 
441,2020,5073,341,Lafayette County 
444,2020,5075,1568,Lawrence County 
447,2020,5077,1425,Lee County 
450,2020,5079,2810,Lincoln County 
453,2020,5081,806,Little River County 
456,2020,5083,1408,Logan County 
459,2020,5085,4093,Lonoke County 
462,2020,5087,1014,Madison County 
465,2020,5089,620,Marion County 
468,2020,5091,2733,Miller County 
471,2020,5093,4365,Mississippi County 
474,2020,5095,467,Monroe County 
477,2020,5097,489,Montgomery County 
480,2020,5099,590,Nevada County 
483,2020,5101,551,Newton County 
486,2020,5103,1345,Ouachita County 
489,2020,5105,428,Perry County 
492,2020,5107,1256,Phillips County 
495,2020,5109,680,Pike County 
498,2020,5111,2386,Poinsett County 
501,2020,5113,1243,Polk County 
504,2020,5115,5403,Pope County 
507,2020,5117,532,Prairie County 
510,2020,5119,24290,Pulaski County 
513,2020,5121,1440,Randolph County 
516,2020,5123,2714,St. Francis County 
519,2020,5125,7494,Saline County 
522,2020,5127,573,Scott County 
525,2020,5129,500,Searcy County 
528,2020,5131,9403,Sebastian County 
531,2020,5133,2063,Sevier County 
534,2020,5135,1122,Sharp County 
537,2020,5137,761,Stone County 
540,2020,5139,2384,Union County 
543,2020,5141,739,Van Buren County 
546,2020,5143,21108,Washington County 
549,2020,5145,4641,White County 
552,2020,5147,340,Woodruff County 
555,2020,5149,2363,Yell County 
558,2020,6001,54498,Alameda County 
561,2020,6003,70,Alpine County 
564,2020,6005,2642,Amador County 
567,2020,6007,7934,Butte County 
570,2020,6009,1176,Calaveras County 
573,2020,6011,1346,Colusa County 
576,2020,6013,42368,Contra Costa County 
579,2020,6015,762,Del Norte County 
582,2020,6017,6476,El Dorado County 
585,2020,6019,70255,Fresno County 
588,2020,6021,1616,Glenn County 
591,2020,6023,1847,Humboldt County 
594,2020,6025,23353,Imperial County 
597,2020,6027,706,Inyo County 
600,2020,6029,68187,Kern County 
603,2020,6031,16671,Kings County 
606,2020,6033,1993,Lake County 
609,2020,6035,4553,Lassen County 
612,2020,6037,808206,Los Angeles County 
615,2020,6039,11097,Madera County 
618,2020,6041,9961,Marin County 
621,2020,6043,262,Mariposa County 
624,2020,6045,2460,Mendocino County 
627,2020,6047,19514,Merced County 
630,2020,6049,263,Modoc County 
633,2020,6051,898,Mono County 
636,2020,6053,28808,Monterey County 
639,2020,6055,6145,Napa County 
642,2020,6057,2825,Nevada County 
645,2020,6059,169543,Orange County 
648,2020,6061,14966,Placer County 
651,2020,6063,478,Plumas County 
654,2020,6065,193722,Riverside County 
657,2020,6067,67762,Sacramento County 
660,2020,6069,3784,San Benito County 
663,2020,6071,208848,San Bernardino County 
666,2020,6073,168701,San Diego County 
669,2020,6075,24371,City and County of San Francisco
672,2020,6077,47521,San Joaquin County 
675,2020,6079,11685,San Luis Obispo County 
678,2020,6081,26496,San Mateo County 
681,2020,6083,18800,Santa Barbara County 
684,2020,6085,73591,Santa Clara County 
687,2020,6087,9804,Santa Cruz County 
690,2020,6089,8418,Shasta County 
693,2020,6091,31,Sierra County 
696,2020,6093,1034,Siskiyou County 
699,2020,6095,20163,Solano County 
702,2020,6097,19916,Sonoma County 
705,2020,6099,35782,Stanislaus County 
708,2020,6101,6639,Sutter County 
711,2020,6103,3154,Tehama County 
714,2020,6105,287,Trinity County 
717,2020,6107,34779,Tulare County 
720,2020,6109,2964,Tuolumne County 
723,2020,6111,42947,Ventura County 
726,2020,6113,8933,Yolo County 
729,2020,6115,3941,Yuba County 
732,2020,8001,39554,Adams County 
735,2020,8003,920,Alamosa County 
738,2020,8005,37562,Arapahoe County 
741,2020,8007,470,Archuleta County 
744,2020,8009,189,Baca County 
747,2020,8011,1027,Bent County 
750,2020,8013,14512,Boulder County 
753,2020,8014,2781,City and County of Broomfield
756,2020,8015,1016,Chaffee County 
759,2020,8017,88,Cheyenne County 
762,2020,8019,272,Clear Creek County 
765,2020,8021,309,Conejos County 
768,2020,8023,161,Costilla County 
771,2020,8025,1640,Crowley County 
774,2020,8027,147,Custer County 
777,2020,8029,1569,Delta County 
780,2020,8031,47167,City and County of Denver
783,2020,8033,52,Dolores County 
786,2020,8035,15488,Douglas County 
789,2020,8037,3323,Eagle County 
792,2020,8039,969,Elbert County 
795,2020,8041,40752,El Paso County 
798,2020,8043,4617,Fremont County 
801,2020,8045,3833,Garfield County 
804,2020,8047,122,Gilpin County 
807,2020,8049,648,Grand County 
810,2020,8051,693,Gunnison County 
813,2020,8053,12,Hinsdale County 
816,2020,8055,276,Huerfano County 
819,2020,8057,31,Jackson County 
822,2020,8059,29295,Jefferson County 
825,2020,8061,75,Kiowa County 
828,2020,8063,432,Kit Carson County 
831,2020,8065,419,Lake County 
834,2020,8067,2206,La Plata County 
837,2020,8069,14985,Larimer County 
840,2020,8071,502,Las Animas County 
843,2020,8073,780,Lincoln County 
846,2020,8075,3215,Logan County 
849,2020,8077,8941,Mesa County 
852,2020,8079,42,Mineral County 
855,2020,8081,538,Moffat County 
858,2020,8083,1219,Montezuma County 
861,2020,8085,2092,Montrose County 
864,2020,8087,2110,Morgan County 
867,2020,8089,1602,Otero County 
870,2020,8091,155,Ouray County 
873,2020,8093,382,Park County 
876,2020,8095,278,Phillips County 
879,2020,8097,1042,Pitkin County 
882,2020,8099,994,Prowers County 
885,2020,8101,13103,Pueblo County 
888,2020,8103,266,Rio Blanco County 
891,2020,8105,378,Rio Grande County 
894,2020,8107,1031,Routt County 
897,2020,8109,252,Saguache County 
900,2020,8111,28,San Juan County 
903,2020,8113,391,San Miguel County 
906,2020,8115,127,Sedgwick County 
909,2020,8117,2114,Summit County 
912,2020,8119,974,Teller County 
915,2020,8121,346,Washington County 
918,2020,8123,19777,Weld County 
921,2020,8125,542,Yuma County 
924,2020,9001,55645,Fairfield County 
927,2020,9003,46201,Hartford County 
930,2020,9005,7422,Litchfield County 
933,2020,9007,6479,Middlesex County 
936,2020,9009,46892,New Haven County 
939,2020,9011,10480,New London County 
942,2020,9013,4831,Tolland County 
945,2020,9015,5066,Windham County 
948,2020,10001,9019,Kent County 
951,2020,10003,32686,New Castle County 
954,2020,10005,14758,Sussex County 
957,2020,11001,28758,District of Columbia 
960,2020,12001,15674,Alachua County 
963,2020,12003,2453,Baker County 
966,2020,12005,11753,Bay County 
969,2020,12007,2163,Bradford County 
972,2020,12009,20778,Brevard County 
975,2020,12011,136038,Broward County 
978,2020,12013,1208,Calhoun County 
981,2020,12015,7282,Charlotte County 
984,2020,12017,6567,Citrus County 
987,2020,12019,11114,Clay County 
990,2020,12021,22267,Collier County 
993,2020,12023,5922,Columbia County 
996,2020,12027,2883,DeSoto County 
999,2020,12029,1099,Dixie County 
1002,2020,12031,60324,Duval County 
1005,2020,12033,22008,Escambia County 
1008,2020,12035,3637,Flagler County 
1011,2020,12037,892,Franklin County 
1014,2020,12039,3915,Gadsden County 
1017,2020,12041,994,Gilchrist County 
1020,2020,12043,769,Glades County 
1023,2020,12045,1317,Gulf County 
1026,2020,12047,1236,Hamilton County 
1029,2020,12049,2084,Hardee County 
1032,2020,12051,3274,Hendry County 
1035,2020,12053,7230,Hernando County 
1038,2020,12055,4918,Highlands County 
1041,2020,12057,76221,Hillsborough County 
1044,2020,12059,1628,Holmes County 
1047,2020,12061,6757,Indian River County 
1050,2020,12063,4596,Jackson County 
1053,2020,12065,981,Jefferson County 
1056,2020,12067,1418,Lafayette County 
1059,2020,12069,15201,Lake County 
1062,2020,12071,40169,Lee County 
1065,2020,12073,19291,Leon County 
1068,2020,12075,1815,Levy County 
1071,2020,12077,741,Liberty County 
1074,2020,12079,1532,Madison County 
1077,2020,12081,21980,Manatee County 
1080,2020,12083,17451,Marion County 
1083,2020,12085,7760,Martin County 
1086,2020,12086,295936,Miami-Dade County 
1089,2020,12087,4197,Monroe County 
1092,2020,12089,4665,Nassau County 
1095,2020,12091,12663,Okaloosa County 
1098,2020,12093,2387,Okeechobee County 
1101,2020,12095,75317,Orange County 
1104,2020,12097,24996,Osceola County 
1107,2020,12099,81899,Palm Beach County 
1110,2020,12101,21602,Pasco County 
1113,2020,12103,44243,Pinellas County 
1116,2020,12105,36766,Polk County 
1119,2020,12107,3906,Putnam County 
1122,2020,12109,12828,St. Johns County 
1125,2020,12111,14090,St. Lucie County 
1128,2020,12113,10936,Santa Rosa County 
1131,2020,12115,18371,Sarasota County 
1134,2020,12117,17814,Seminole County 
1137,2020,12119,4951,Sumter County 
1140,2020,12121,3964,Suwannee County 
1143,2020,12123,1948,Taylor County 
1146,2020,12125,1431,Union County 
1149,2020,12127,21971,Volusia County 
1152,2020,12129,2086,Wakulla County 
1155,2020,12131,4818,Walton County 
1158,2020,12133,1936,Washington County 
1161,2020,13001,1441,Appling County 
1164,2020,13003,634,Atkinson County 
1167,2020,13005,802,Bacon County 
1170,2020,13007,128,Baker County 
1173,2020,13009,2886,Baldwin County 
1176,2020,13011,1124,Banks County 
1179,2020,13013,4723,Barrow County 
1182,2020,13015,6454,Bartow County 
1185,2020,13017,1188,Ben Hill County 
1188,2020,13019,781,Berrien County 
1191,2020,13021,9255,Bibb County 
1194,2020,13023,637,Bleckley County 
1197,2020,13025,661,Brantley County 
