,year,fips,cases_chlamydia,cases_gonorrhea,total_pop
0,2000,45001,61.0,57.0,
1,2000,22001,0.0,0.0,
2,2000,51001,153.0,88.0,
3,2000,16001,644.0,33.0,
4,2000,19001,8.0,0.0,
5,2000,21001,25.0,6.0,
6,2000,29001,31.0,2.0,
7,2000,40001,74.0,7.0,
8,2000,8001,0.0,263.0,
9,2000,19003,1.0,0.0,
10,2000,16003,4.0,0.0,
11,2000,17001,74.0,31.0,
12,2000,18001,0.0,0.0,
13,2000,28001,128.0,118.0,
14,2000,38001,0.0,0.0,
15,2000,31001,65.0,1.0,
16,2000,39001,10.0,1.0,
17,2000,42001,0.0,0.0,
18,2000,53001,29.0,2.0,
19,2000,55001,0.0,0.0,
20,2000,50001,32.0,3.0,
21,2000,72001,0.0,0.0,
22,2000,72003,0.0,0.0,
23,2000,72005,0.0,0.0,
24,2000,72007,0.0,0.0,
25,2000,72009,0.0,0.0,
26,2000,45003,229.0,180.0,
27,2000,27001,7.0,1.0,
28,2000,12001,1064.0,712.0,
29,2000,37001,0.0,0.0,
30,2000,6001,0.0,0.0,
31,2000,8003,0.0,3.0,
32,2000,36001,0.0,0.0,
33,2000,56001,67.0,0.0,
34,2000,51003,38.0,6.0,
35,2000,26001,0.0,0.0,
36,2000,28003,39.0,28.0,
37,2000,2013,9.0,1.0,
38,2000,2016,12.0,1.0,
39,2000,17003,70.0,38.0,
40,2000,37003,0.0,0.0,
41,2000,51510,265.0,79.0,
42,2000,40003,5.0,0.0,
43,2000,26003,1.0,0.0,
44,2000,19005,6.0,1.0,
45,2000,26005,106.0,13.0,
46,2000,24001,0.0,0.0,
47,2000,36003,0.0,0.0,
48,2000,37005,0.0,0.0,
49,2000,51005,8.0,6.0,
50,2000,42003,0.0,0.0,
51,2000,18003,0.0,0.0,
52,2000,20001,18.0,1.0,
53,2000,21003,15.0,1.0,
54,2000,39003,335.0,192.0,
55,2000,22003,0.0,0.0,
56,2000,45005,87.0,65.0,
57,2000,26007,1.0,0.0,
58,2000,6003,0.0,0.0,
59,2000,6005,0.0,0.0,
60,2000,51007,25.0,7.0,
61,2000,51009,83.0,49.0,
62,2000,28005,61.0,58.0,
63,2000,2020,1296.0,150.0,
64,2000,20003,4.0,1.0,
65,2000,21005,10.0,5.0,
66,2000,45007,421.0,293.0,
67,2000,47001,0.0,0.0,
68,2000,48001,119.0,42.0,
69,2000,29003,7.0,1.0,
70,2000,48003,29.0,6.0,
71,2000,23001,257.0,15.0,
72,2000,48005,211.0,121.0,
73,2000,24003,0.0,0.0,
74,2000,27003,312.0,69.0,
75,2000,37007,0.0,0.0,
76,2000,31003,0.0,0.0,
77,2000,26009,20.0,0.0,
78,2000,4001,0.0,0.0,
79,2000,19007,16.0,1.0,
80,2000,13001,0.0,0.0,
81,2000,51011,39.0,22.0,
82,2000,48007,51.0,17.0,
83,2000,8005,0.0,385.0,
84,2000,48009,6.0,0.0,
85,2000,8007,0.0,0.0,
86,2000,72013,0.0,0.0,
87,2000,26011,4.0,0.0,
88,2000,5001,85.0,45.0,
89,2000,51013,226.0,112.0,
90,2000,42005,0.0,0.0,
91,2000,48011,2.0,1.0,
92,2000,23003,66.0,7.0,
93,2000,72015,0.0,0.0,
94,2000,31005,0.0,0.0,
95,2000,22005,0.0,0.0,
96,2000,37009,0.0,0.0,
97,2000,39005,42.0,5.0,
98,2000,55003,0.0,0.0,
99,2000,5003,83.0,22.0,
100,2000,39007,110.0,30.0,
101,2000,53003,20.0,0.0,
102,2000,22007,0.0,0.0,
103,2000,48013,69.0,15.0,
104,2000,20005,21.0,8.0,
105,2000,29005,2.0,0.0,
106,2000,39009,155.0,15.0,
107,2000,13003,0.0,0.0,
