,poverty_rate,per_capita_income_2002,fips,year
2,10.3,42841,1001,2002
3,10.7,40818,1003,2002
4,23.6,25279,1005,2002
5,17.7,31387,1007,2002
6,12.6,36386,1009,2002
7,31.4,20137,1011,2002
8,20.4,25826,1013,2002
9,15.8,32013,1015,2002
10,16.1,29993,1017,2002
11,16.3,31011,1019,2002
12,15.9,33129,1021,2002
13,18.7,25928,1023,2002
14,19.0,27987,1025,2002
15,14.2,28765,1027,2002
16,15.2,31359,1029,2002
17,14.4,34621,1031,2002
18,14.2,32206,1033,2002
19,22.6,23366,1035,2002
20,15.3,28979,1037,2002
21,17.8,27654,1039,2002
22,17.9,27425,1041,2002
23,14.0,32821,1043,2002
24,16.1,32103,1045,2002
25,25.0,23732,1047,2002
26,16.1,30331,1049,2002
27,13.0,41046,1051,2002
28,20.2,27711,1053,2002
29,16.5,30494,1055,2002
30,16.5,29309,1057,2002
31,18.0,27370,1059,2002
32,18.6,27180,1061,2002
33,27.3,20763,1063,2002
34,22.6,25121,1065,2002
35,16.3,30534,1067,2002
36,15.4,34605,1069,2002
37,14.9,32278,1071,2002
38,13.9,37375,1073,2002
39,16.6,28243,1075,2002
40,15.1,33231,1077,2002
41,14.4,32505,1079,2002
42,15.2,32460,1081,2002
43,12.4,38859,1083,2002
44,24.0,23300,1085,2002
45,28.0,21621,1087,2002
46,10.4,46937,1089,2002
47,19.8,28080,1091,2002
48,18.5,26774,1093,2002
49,15.6,32971,1095,2002
50,18.6,32393,1097,2002
51,18.3,28463,1099,2002
52,17.4,35406,1101,2002
53,12.3,38979,1103,2002
54,32.3,19876,1105,2002
55,19.7,26200,1107,2002
56,22.2,25630,1109,2002
57,17.2,28546,1111,2002
58,18.6,27981,1113,2002
59,13.7,37381,1115,2002
60,6.5,61393,1117,2002
61,27.9,19820,1119,2002
62,17.4,31367,1121,2002
63,16.3,29994,1123,2002
64,16.1,33598,1125,2002
65,15.4,29945,1127,2002
66,17.3,30541,1129,2002
67,29.9,18455,1131,2002
68,18.3,26918,1133,2002
70,11.2,38237,2013,2002
71,6.3,49834,2016,2002
72,7.7,55123,2020,2002
73,22.8,33544,2050,2002
74,8.2,54251,2060,2002
75,4.4,52900,2068,2002
76,19.1,38970,2070,2002
77,7.0,51553,2090,2002
78,11.6,38860,2100,2002
79,6.7,59105,2110,2002
80,9.5,48733,2122,2002
81,8.1,49536,2130,2002
82,8.3,50807,2150,2002
83,18.4,31634,2164,2002
84,9.7,52313,2170,2002
85,18.1,38236,2180,2002
86,10.6,57819,2185,2002
87,16.5,42904,2188,2002
88,16.6,34756,2201,2002
89,7.2,50171,2220,2002
90,9.4,39780,2232,2002
91,17.0,37232,2240,2002
92,8.6,49643,2261,2002
93,29.6,26622,2270,2002
94,8.4,44752,2280,2002
95,10.1,40637,2282,2002
96,18.4,29505,2290,2002
98,28.3,24232,4001,2002
99,16.7,33300,4003,2002
100,15.4,37923,4005,2002
101,17.4,30560,4007,2002
102,22.5,28683,4009,2002
