,poverty_rate,per_capita_income_2007,year,fips
2,10.4,50375.0,2007,1001.0
3,10.3,49163.0,2007,1003.0
4,26.1,30370.0,2007,1005.0
5,18.2,38907.0,2007,1007.0
6,13.1,43266.0,2007,1009.0
7,34.0,24969.0,2007,1011.0
8,23.2,30460.0,2007,1013.0
9,17.1,37478.0,2007,1015.0
10,15.6,33904.0,2007,1017.0
11,18.9,37376.0,2007,1019.0
12,16.7,39663.0,2007,1021.0
13,21.8,31508.0,2007,1023.0
14,21.8,32627.0,2007,1025.0
15,15.5,36009.0,2007,1027.0
16,15.4,38918.0,2007,1029.0
17,16.5,36819.0,2007,1031.0
18,16.5,37530.0,2007,1033.0
19,24.7,27555.0,2007,1035.0
20,15.1,34667.0,2007,1037.0
21,19.4,32490.0,2007,1039.0
22,18.3,33156.0,2007,1041.0
23,14.2,39194.0,2007,1043.0
24,16.7,41214.0,2007,1045.0
25,30.2,27647.0,2007,1047.0
26,18.4,35558.0,2007,1049.0
27,11.3,49193.0,2007,1051.0
28,22.4,34615.0,2007,1053.0
29,17.4,35420.0,2007,1055.0
30,17.2,35957.0,2007,1057.0
31,20.1,30765.0,2007,1059.0
32,19.5,33734.0,2007,1061.0
33,31.3,25137.0,2007,1063.0
34,24.0,31481.0,2007,1065.0
35,17.9,35076.0,2007,1067.0
36,15.7,40461.0,2007,1069.0
37,17.6,36178.0,2007,1071.0
38,15.1,44908.0,2007,1073.0
39,18.5,32893.0,2007,1075.0
40,18.1,37981.0,2007,1077.0
41,15.0,39248.0,2007,1079.0
42,17.3,39719.0,2007,1081.0
43,12.6,46753.0,2007,1083.0
44,30.0,28530.0,2007,1085.0
45,29.6,27011.0,2007,1087.0
46,11.3,52870.0,2007,1089.0
47,20.0,32747.0,2007,1091.0
48,19.7,32752.0,2007,1093.0
49,19.6,36931.0,2007,1095.0
50,20.8,37575.0,2007,1097.0
51,23.6,32367.0,2007,1099.0
52,18.1,41199.0,2007,1101.0
53,14.2,43619.0,2007,1103.0
54,32.7,24132.0,2007,1105.0
55,22.2,31497.0,2007,1107.0
56,27.0,25817.0,2007,1109.0
57,20.9,34352.0,2007,1111.0
58,21.2,33546.0,2007,1113.0
59,11.6,50046.0,2007,1115.0
60,6.9,67031.0,2007,1117.0
61,35.0,23439.0,2007,1119.0
62,18.0,38644.0,2007,1121.0
63,17.1,35801.0,2007,1123.0
64,18.6,41543.0,2007,1125.0
65,19.1,35497.0,2007,1127.0
66,18.7,35810.0,2007,1129.0
67,35.7,21325.0,2007,1131.0
68,16.0,32986.0,2007,1133.0
70,16.9,56111.0,2007,2013.0
71,10.2,61536.0,2007,2016.0
72,8.0,67856.0,2007,2020.0
73,21.4,39519.0,2007,2050.0
74,8.5,62945.0,2007,2060.0
75,6.4,64565.0,2007,2068.0
76,21.5,49319.0,2007,2070.0
77,7.8,62155.0,2007,2090.0
78,11.4,47005.0,2007,2100.0
79,7.1,75302.0,2007,2110.0
80,10.3,56648.0,2007,2122.0
81,8.8,57202.0,2007,2130.0
82,7.5,59010.0,2007,2150.0
83,18.9,40574.0,2007,2164.0
84,9.5,64969.0,2007,2170.0
85,23.1,46942.0,2007,2180.0
86,13.8,68589.0,2007,2185.0
87,21.2,50168.0,2007,2188.0
88,17.9,42798.0,2007,2201.0
89,8.4,58958.0,2007,2220.0
90,13.9,44506.0,2007,2232.0
91,13.5,52330.0,2007,2240.0
92,9.5,55428.0,2007,2261.0
93,27.3,30335.0,2007,2270.0
94,9.9,53048.0,2007,2280.0
95,15.1,49330.0,2007,2282.0
96,23.7,32097.0,2007,2290.0
98,33.4,29976.0,2007,4001.0
99,16.3,42995.0,2007,4003.0
100,16.2,48549.0,2007,4005.0
