,poverty_rate,fips,year,per_capita_income_2022
0,10.3,1001,2002,70687.65
1,10.4,1001,2003,71228.01000000001
2,11.6,1001,2004,70791.24
3,10.4,1001,2005,68428.88
4,12.5,1001,2006,67876.86
5,10.4,1001,2007,71532.5
6,10.7,1001,2008,69689.70000000001
7,11.2,1001,2009,72720.97
8,10.7,1003,2002,67349.7
9,10.1,1003,2003,67557.21
10,10,1003,2004,65874.12
11,11.4,1003,2005,65062.08
12,11.0,1003,2006,66419.78
13,10.3,1003,2007,69811.45999999999
14,9.9,1003,2008,70141.95000000001
15,13.3,1003,2009,66632.69
16,23.6,1005,2002,41710.35
17,22.2,1005,2003,41959.82
18,23.9,1005,2004,41332.200000000004
19,22.4,1005,2005,44891.68
20,28.7,1005,2006,41890.32
21,26.1,1005,2007,43125.4
22,24.5,1005,2008,41709.600000000006
23,32.8,1005,2009,39458.740000000005
24,17.7,1007,2002,51788.549999999996
25,16.8,1007,2003,53007.64000000001
26,17.1,1007,2004,53125.8
27,16.6,1007,2005,52002.24
28,18.8,1007,2006,53719.24
29,18.2,1007,2007,55247.939999999995
30,18.5,1007,2008,55452.600000000006
31,18.1,1007,2009,52462.780000000006
32,12.6,1009,2002,60036.899999999994
33,11.9,1009,2003,60790.380000000005
34,12.4,1009,2004,60283.08
35,11.4,1009,2005,61693.76
36,12.8,1009,2006,60581.24
37,13.1,1009,2007,61437.719999999994
38,13.1,1009,2008,62216.100000000006
39,14.6,1009,2009,56882.4
40,31.4,1011,2002,33226.049999999996
41,26.5,1011,2003,33653.83
42,30.3,1011,2004,31956.600000000002
43,38.2,1011,2005,33026.56
44,32.9,1011,2006,33718.7
45,34.0,1011,2007,35455.979999999996
46,33.6,1011,2008,36423.0
47,34.7,1011,2009,33162.22
48,20.4,1013,2002,42612.899999999994
49,20.0,1013,2003,43391.11
50,21,1013,2004,42500.64
51,23.1,1013,2005,42648.16
52,22.8,1013,2006,42570.68
53,23.2,1013,2007,43253.2
54,22.3,1013,2008,42456.15
55,29.4,1013,2009,38077.780000000006
56,15.8,1015,2002,52821.45
57,16.4,1015,2003,53350.57
58,16.9,1015,2004,54308.28
59,16.9,1015,2005,54624.24
60,17.6,1015,2006,53558.64
61,17.1,1015,2007,53218.759999999995
62,17.6,1015,2008,53995.950000000004
63,19.0,1015,2009,51155.8
64,16.1,1017,2002,49488.45
