,poverty_rate,fips,year,per_capita_income_2022,total_pop,employed_persons,unemployment_rate
0,10.3,1001,2002,70687.65,45909.0,21096.0,4.8
1,10.4,1001,2003,71228.01000000001,46800.0,21557.0,5.0
2,11.6,1001,2004,70791.24,48366.0,22146.0,4.7
3,10.4,1001,2005,68428.88,49676.0,22986.0,3.8
4,12.5,1001,2006,67876.86,51328.0,23619.0,3.3
5,10.4,1001,2007,71532.5,52405.0,23610.0,3.4
6,10.7,1001,2008,69689.70000000001,53277.0,23376.0,5.3
7,11.2,1001,2009,72720.97,54135.0,22464.0,8.9
8,10.7,1003,2002,67349.7,147957.0,65881.0,5.0
9,10.1,1003,2003,67557.21,151509.0,69010.0,4.9
10,10,1003,2004,65874.12,156266.0,71061.0,5.1
11,11.4,1003,2005,65062.08,162183.0,73581.0,4.0
12,11.0,1003,2006,66419.78,168121.0,77263.0,3.2
13,10.3,1003,2007,69811.45999999999,172404.0,80213.0,3.2
14,9.9,1003,2008,70141.95000000001,175827.0,79222.0,4.8
15,13.3,1003,2009,66632.69,179406.0,74950.0,8.9
16,23.6,1005,2002,41710.35,28653.0,10154.0,7.7
17,22.2,1005,2003,41959.82,28594.0,10241.0,7.1
18,23.9,1005,2004,41332.200000000004,28287.0,9884.0,7.1
19,22.4,1005,2005,44891.68,28027.0,10114.0,5.7
20,28.7,1005,2006,41890.32,27861.0,10110.0,5.6
21,26.1,1005,2007,43125.4,27757.0,9698.0,6.4
22,24.5,1005,2008,41709.600000000006,27808.0,9249.0,9.1
23,32.8,1005,2009,39458.740000000005,27657.0,8635.0,13.2
24,17.7,1007,2002,51788.549999999996,21199.0,8333.0,7.0
25,16.8,1007,2003,53007.64000000001,21399.0,8346.0,5.9
26,17.1,1007,2004,53125.8,21721.0,8375.0,5.4
27,16.6,1007,2005,52002.24,22042.0,8444.0,4.4
28,18.8,1007,2006,53719.24,22099.0,8489.0,4.2
29,18.2,1007,2007,55247.939999999995,22438.0,8443.0,4.2
30,18.5,1007,2008,55452.600000000006,22705.0,8225.0,6.0
31,18.1,1007,2009,52462.780000000006,22941.0,7637.0,12.2
32,12.6,1009,2002,60036.899999999994,52551.0,24436.0,5.4
33,11.9,1009,2003,60790.380000000005,53457.0,24812.0,4.6
34,12.4,1009,2004,60283.08,54124.0,25149.0,4.1
35,11.4,1009,2005,61693.76,54624.0,25434.0,3.6
36,12.8,1009,2006,60581.24,55485.0,25939.0,3.2
37,13.1,1009,2007,61437.719999999994,56240.0,25816.0,3.2
38,13.1,1009,2008,62216.100000000006,57055.0,25405.0,4.8
39,14.6,1009,2009,56882.4,57341.0,24005.0,9.2
40,31.4,1011,2002,33226.049999999996,11256.0,3493.0,10.2
41,26.5,1011,2003,33653.83,11316.0,3556.0,10.9
42,30.3,1011,2004,31956.600000000002,11056.0,3437.0,11.4
43,38.2,1011,2005,33026.56,11011.0,3383.0,9.4
44,32.9,1011,2006,33718.7,10776.0,3377.0,8.8
45,34.0,1011,2007,35455.979999999996,11011.0,3313.0,9.6
46,33.6,1011,2008,36423.0,10953.0,3244.0,10.9
47,34.7,1011,2009,33162.22,10987.0,3179.0,14.4
48,20.4,1013,2002,42612.899999999994,20803.0,8448.0,7.9
49,20.0,1013,2003,43391.11,20833.0,8423.0,8.6
50,21,1013,2004,42500.64,20870.0,8240.0,9.4
51,23.1,1013,2005,42648.16,20830.0,8528.0,6.4
52,22.8,1013,2006,42570.68,20815.0,8722.0,5.7
53,23.2,1013,2007,43253.2,20894.0,8551.0,6.3
54,22.3,1013,2008,42456.15,20949.0,8263.0,8.8
55,29.4,1013,2009,38077.780000000006,20867.0,7671.0,15.1
56,15.8,1015,2002,52821.45,111625.0,48991.0,6.0
57,16.4,1015,2003,53350.57,112705.0,49892.0,5.9
58,16.9,1015,2004,54308.28,113462.0,51164.0,5.4
59,16.9,1015,2005,54624.24,114477.0,51409.0,4.5
60,17.6,1015,2006,53558.64,115388.0,51946.0,4.0
61,17.1,1015,2007,53218.759999999995,116211.0,52782.0,4.0
62,17.6,1015,2008,53995.950000000004,117274.0,51371.0,5.9
63,19.0,1015,2009,51155.8,118363.0,48278.0,10.2
64,16.1,1017,2002,49488.45,35965.0,16056.0,6.7
