"Delayed Medical Care, Household Pulse Survey","","","","","","",""
"Adults in households who delayed getting medical care because of the COVID-19 pandemic in the last 4 weeks","","","","","","",""
"","","","","Total Delayed Medical Care","","Percent Delayed Medical Care",""
"Week","Area","Total Population age 18+","Measure Universe","Number","Margin of Error +/-","Percent","MOE +/-"
"7","United States","249170916","224970481","92323701","1642426","41","0.7"
"7","Alabama","3717378","3323406","1223796","184721","36.8","5.4"
"7","Alaska","524925","493824","243106","21798","49.2","4.2"
"7","Arizona","5597268","5149018","2198329","220607","42.7","4.4"
"7","Arkansas","2246527","1994627","908793","142153","45.6","6.5"
"7","California","29939021","27098544","11066677","747504","40.8","2.8"
"7","Colorado","4454718","4219756","1515479","151610","35.9","3.5"
"7","Connecticut","2732423","2475123","1211952","122464","49","5.3"
"7","Delaware","754637","690685","335090","29663","48.5","4"
"7","District of Columbia","542635","524833","249540","34742","47.5","6.6"
"7","Florida","17085385","15331130","6475508","632443","42.2","3.9"
"7","Georgia","7955983","7184403","2840138","276925","39.5","3.8"
"7","Hawaii","1073229","988113","372931","45595","37.7","4.6"
"7","Idaho","1343198","1242352","479375","57264","38.6","4.5"
"7","Illinois","9546424","8332601","3771788","310214","45.3","3.7"
"7","Indiana","5015550","4528418","1842121","241188","40.7","5.2"
"7","Iowa","2342905","2166963","784901","75286","36.2","3.5"
"7","Kansas","2140957","1914200","808814","91133","42.3","4.7"
"7","Kentucky","3344102","3018436","1194887","119505","39.6","3.9"
"7","Louisiana","3431432","3046703","1168924","159892","38.4","5.1"
"7","Maine","1065620","991916","500609","45674","50.5","4.6"
"7","Maryland","4586920","4179281","1596760","157300","38.2","3.7"
"7","Massachusetts","5324065","4871899","1966737","184266","40.4","3.6"
"7","Michigan","7644458","6727138","3116476","216209","46.3","3.1"
"7","Minnesota","4241624","3895980","1545528","170728","39.7","4.4"
"7","Mississippi","2189670","1816327","611525","110609","33.7","5.4"
"7","Missouri","4617880","4188659","1524864","141587","36.4","3.2"
"7","Montana","822204","766338","309456","37362","40.4","4.8"
"7","Nebraska","1418191","1318049","486531","65180","36.9","4.9"
"7","Nevada","2399457","2244272","848686","106062","37.8","4.7"
"7","New Hampshire","1073014","997851","439138","47799","44","4.9"
"7","New Jersey","6776822","6093997","2731683","263354","44.8","4.3"
"7","New Mexico","1589574","1475301","577090","66038","39.1","4.4"
"7","New York","14847080","13073011","5118042","506343","39.1","3.9"
"7","North Carolina","8017566","7224437","2854443","294477","39.5","4.2"
"7","North Dakota","561016","511332","181892","27141","35.6","5.5"
"7","Ohio","8822539","7823470","2902908","306419","37.1","3.9"
"7","Oklahoma","2916436","2745285","1106351","135483","40.3","5"
"7","Oregon","3302727","3101803","1368910","104064","44.1","3.6"
"7","Pennsylvania","9776154","8774195","3888490","387806","44.3","4.1"
"7","Rhode Island","817559","765039","272649","39475","35.6","5.1"
"7","South Carolina","3969123","3632119","1485177","186726","40.9","5"
"7","South Dakota","642658","577029","200090","39746","34.7","6.2"
"7","Tennessee","5221475","4862636","1918792","246806","39.5","5"
"7","Texas","21356906","18982573","7435480","639406","39.2","3.3"
"7","Utah","2281207","2144852","806483","93096","37.6","4.4"
"7","Vermont","485485","459885","192591","27119","41.9","5.7"
"7","Virginia","6472737","5941181","2449673","250278","41.2","4.2"
"7","Washington","5890357","5376638","2576748","195468","47.9","3.4"
"7","West Virginia","1379576","1312526","632483","71753","48.2","5.5"
"7","Wisconsin","4438719","3965297","1782737","180545","45","4.2"
"7","Wyoming","433400","407032","202527","29086","49.8","7"
"7","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","4479892","4114420","1775870","224008","43.2","4.7"
"7","Boston-Cambridge-Newton, MA-NH Metro Area","3645033","3326318","1322305","127740","39.8","3.8"
"7","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","7002509","6240431","2810126","224574","45","4.2"
"7","Dallas-Fort Worth-Arlington, TX Metro Area","6047865","5509347","2166200","287955","39.3","4.8"
"7","Detroit-Warren-Dearborn, MI Metro Area","3466514","3003399","1294985","127003","43.1","3.5"
"7","Houston-The Woodlands-Sugar Land, TX Metro Area","5760948","5057878","1922059","315780","38","6.6"
"7","Los Angeles-Long Beach-Anaheim, CA Metro Area","10891729","9821896","3761590","413414","38.3","3.7"
"7","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","4732724","4144280","1845496","352765","44.5","6.2"
"7","New York-Newark-Jersey City, NY-NJ-PA Metro Area","14548330","12868559","5081393","482018","39.5","3.8"
"7","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","5004652","4430516","2365794","390099","53.4","6.7"
"7","Phoenix-Mesa-Chandler, AZ Metro Area","3836956","3557199","1616579","200207","45.4","4.9"
"7","Riverside-San Bernardino-Ontario, CA Metro Area","3922098","3415497","1382414","248719","40.5","5.7"
"7","San Francisco-Oakland-Berkeley, CA Metro Area","3558335","3292289","1437889","300536","43.7","6.9"
"7","Seattle-Tacoma-Bellevue, WA Metro Area","3237492","2975604","1415016","154451","47.6","4.5"
"7","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","4706409","4314697","2018711","256414","46.8","4.5"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""
