StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Maryland,MD,School,No,Allegany High,Regular school,240003000001,01-0606,Allegany County Public Schools,Regular local school district,2400030,01,736,Monthly,9/1/20,9/30/20,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Allegany High,Regular school,240003000001,01-0606,Allegany County Public Schools,Regular local school district,2400030,01,736,Monthly,10/1/20,10/31/20,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Allegany High,Regular school,240003000001,01-0606,Allegany County Public Schools,Regular local school district,2400030,01,736,Monthly,11/1/20,11/30/20,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Allegany High,Regular school,240003000001,01-0606,Allegany County Public Schools,Regular local school district,2400030,01,736,Monthly,12/1/20,12/31/20,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Allegany High,Regular school,240003000001,01-0606,Allegany County Public Schools,Regular local school district,2400030,01,736,Monthly,1/1/21,1/31/21,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Allegany High,Regular school,240003000001,01-0606,Allegany County Public Schools,Regular local school district,2400030,01,736,Monthly,2/1/21,2/28/21,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Allegany High,Regular school,240003000001,01-0606,Allegany County Public Schools,Regular local school district,2400030,01,736,Monthly,3/1/21,3/31/21,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Allegany High,Regular school,240003000001,01-0606,Allegany County Public Schools,Regular local school district,2400030,01,736,Monthly,4/1/21,4/30/21,Hybrid,,,,Hybrid,,,,,,,,
Maryland,MD,School,No,Allegany High,Regular school,240003000001,01-0606,Allegany County Public Schools,Regular local school district,2400030,01,736,Monthly,5/1/21,5/31/21,In-person,,,,In-person,,,,,,,,
Maryland,MD,School,No,Allegany High,Regular school,240003000001,01-0606,Allegany County Public Schools,Regular local school district,2400030,01,736,Monthly,6/1/21,6/30/21,In-person,,,,In-person,,,,,,,,
Maryland,MD,School,No,Beall Elementary,Regular school,240003000003,01-2801,Allegany County Public Schools,Regular local school district,2400030,01,391,Monthly,9/1/20,9/30/20,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Beall Elementary,Regular school,240003000003,01-2801,Allegany County Public Schools,Regular local school district,2400030,01,391,Monthly,10/1/20,10/31/20,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Beall Elementary,Regular school,240003000003,01-2801,Allegany County Public Schools,Regular local school district,2400030,01,391,Monthly,11/1/20,11/30/20,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Beall Elementary,Regular school,240003000003,01-2801,Allegany County Public Schools,Regular local school district,2400030,01,391,Monthly,12/1/20,12/31/20,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Beall Elementary,Regular school,240003000003,01-2801,Allegany County Public Schools,Regular local school district,2400030,01,391,Monthly,1/1/21,1/31/21,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Beall Elementary,Regular school,240003000003,01-2801,Allegany County Public Schools,Regular local school district,2400030,01,391,Monthly,2/1/21,2/28/21,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Beall Elementary,Regular school,240003000003,01-2801,Allegany County Public Schools,Regular local school district,2400030,01,391,Monthly,3/1/21,3/31/21,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Beall Elementary,Regular school,240003000003,01-2801,Allegany County Public Schools,Regular local school district,2400030,01,391,Monthly,4/1/21,4/30/21,Hybrid,,,,Hybrid,,,,,,,,
Maryland,MD,School,No,Beall Elementary,Regular school,240003000003,01-2801,Allegany County Public Schools,Regular local school district,2400030,01,391,Monthly,5/1/21,5/31/21,In-person,,,,In-person,,,,,,,,
Maryland,MD,School,No,Beall Elementary,Regular school,240003000003,01-2801,Allegany County Public Schools,Regular local school district,2400030,01,391,Monthly,6/1/21,6/30/21,In-person,,,,In-person,,,,,,,,
Maryland,MD,School,No,Bel Air Elementary,Regular school,240003000005,01-0702,Allegany County Public Schools,Regular local school district,2400030,01,197,Monthly,9/1/20,9/30/20,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Bel Air Elementary,Regular school,240003000005,01-0702,Allegany County Public Schools,Regular local school district,2400030,01,197,Monthly,10/1/20,10/31/20,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Bel Air Elementary,Regular school,240003000005,01-0702,Allegany County Public Schools,Regular local school district,2400030,01,197,Monthly,11/1/20,11/30/20,Virtual,,,,Virtual,,,,,,,,
Maryland,MD,School,No,Bel Air Elementary,Regular school,240003000005,01-0702,Allegany County Public Schools,Regular local school district,2400030,01,197,Monthly,12/1/20,12/31/20,Virtual,,,,Virtual,,,,,,,,
