StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Mississippi,MS,School,No,Aberdeen Elementary School,Regular school,280036001372,4820-006,Aberdeen School District,Regular local school district,2800360,4820,239,Monthly,8/1/20,8/31/20,Hybrid,,,,Hybrid,,,,,,,,
Mississippi,MS,School,No,Aberdeen Elementary School,Regular school,280036001372,4820-006,Aberdeen School District,Regular local school district,2800360,4820,239,Monthly,9/1/20,9/30/20,Hybrid,,,,Hybrid,,,,,,,,
Mississippi,MS,School,No,Aberdeen Elementary School,Regular school,280036001372,4820-006,Aberdeen School District,Regular local school district,2800360,4820,239,Monthly,10/1/20,10/31/20,Hybrid,,,,Hybrid,,,,,,,,
Mississippi,MS,School,No,Aberdeen Elementary School,Regular school,280036001372,4820-006,Aberdeen School District,Regular local school district,2800360,4820,239,Monthly,11/1/20,11/30/20,Hybrid,,,,Hybrid,,,,,,,,
Mississippi,MS,School,No,Aberdeen Elementary School,Regular school,280036001372,4820-006,Aberdeen School District,Regular local school district,2800360,4820,239,Monthly,12/1/20,12/31/20,Hybrid,,,,Hybrid,,,,,,,,
Mississippi,MS,School,No,Aberdeen Elementary School,Regular school,280036001372,4820-006,Aberdeen School District,Regular local school district,2800360,4820,239,Monthly,1/1/21,1/31/21,Hybrid,,,,Hybrid,,,,,,,,
Mississippi,MS,School,No,Aberdeen Elementary School,Regular school,280036001372,4820-006,Aberdeen School District,Regular local school district,2800360,4820,239,Monthly,2/1/21,2/28/21,Hybrid,,,,Hybrid,,,,,,,,
Mississippi,MS,School,No,Aberdeen Elementary School,Regular school,280036001372,4820-006,Aberdeen School District,Regular local school district,2800360,4820,239,Monthly,3/1/21,3/31/21,Hybrid,,,,Hybrid,,,,,,,,
Mississippi,MS,School,No,Aberdeen Elementary School,Regular school,280036001372,4820-006,Aberdeen School District,Regular local school district,2800360,4820,239,Monthly,4/1/21,4/30/21,Hybrid,,,,Hybrid,,,,,,,,
Mississippi,MS,School,No,Aberdeen Elementary School,Regular school,280036001372,4820-006,Aberdeen School District,Regular local school district,2800360,4820,239,Monthly,5/1/21,5/31/21,Hybrid,,,,Hybrid,,,,,,,,
Mississippi,MS,School,No,Aberdeen High School,Regular school,280036000009,4820-008,Aberdeen School District,Regular local school district,2800360,4820,296,Monthly,8/1/20,8/31/20,Hybrid,,,,Hybrid,,,,,,,,
Mississippi,MS,School,No,Aberdeen High School,Regular school,280036000009,4820-008,Aberdeen School District,Regular local school district,2800360,4820,296,Monthly,9/1/20,9/30/20,Hybrid,,,,Hybrid,,,,,,,,
Mississippi,MS,School,No,Aberdeen High School,Regular school,280036000009,4820-008,Aberdeen School District,Regular local school district,2800360,4820,296,Monthly,10/1/20,10/31/20,Hybrid,,,,Hybrid,,,,,,,,
Mississippi,MS,School,No,Aberdeen High School,Regular school,280036000009,4820-008,Aberdeen School District,Regular local school district,2800360,4820,296,Monthly,11/1/20,11/30/20,Hybrid,,,,Hybrid,,,,,,,,
