StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (H),Regular school,3.30004E+11,28615,Academy for Science and Design Charter School,Charter agency,3300040,725,222,Monthly,9/1/20,9/30/20,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (H),Regular school,3.30004E+11,28615,Academy for Science and Design Charter School,Charter agency,3300040,725,222,Monthly,10/1/20,10/31/20,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (H),Regular school,3.30004E+11,28615,Academy for Science and Design Charter School,Charter agency,3300040,725,222,Monthly,11/1/20,11/30/20,Virtual,,,,Remote,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (H),Regular school,3.30004E+11,28615,Academy for Science and Design Charter School,Charter agency,3300040,725,222,Monthly,12/1/20,12/31/20,Virtual,,,,Remote,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (H),Regular school,3.30004E+11,28615,Academy for Science and Design Charter School,Charter agency,3300040,725,222,Monthly,1/1/21,1/31/21,Virtual,,,,Remote,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (H),Regular school,3.30004E+11,28615,Academy for Science and Design Charter School,Charter agency,3300040,725,222,Monthly,2/1/21,2/28/21,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (H),Regular school,3.30004E+11,28615,Academy for Science and Design Charter School,Charter agency,3300040,725,222,Monthly,3/1/21,3/31/21,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (H),Regular school,3.30004E+11,28615,Academy for Science and Design Charter School,Charter agency,3300040,725,222,Monthly,4/1/21,4/30/21,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (H),Regular school,3.30004E+11,28615,Academy for Science and Design Charter School,Charter agency,3300040,725,222,Monthly,5/1/21,5/31/21,In-person,,,,In-Person,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (H),Regular school,3.30004E+11,28615,Academy for Science and Design Charter School,Charter agency,3300040,725,222,Monthly,6/1/21,6/30/21,In-person,,,,In-Person,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (M),Regular school,3.30004E+11,28580,Academy for Science and Design Charter School,Charter agency,3300040,725,319,Monthly,9/1/20,9/30/20,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (M),Regular school,3.30004E+11,28580,Academy for Science and Design Charter School,Charter agency,3300040,725,319,Monthly,10/1/20,10/31/20,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (M),Regular school,3.30004E+11,28580,Academy for Science and Design Charter School,Charter agency,3300040,725,319,Monthly,11/1/20,11/30/20,Virtual,,,,Remote,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (M),Regular school,3.30004E+11,28580,Academy for Science and Design Charter School,Charter agency,3300040,725,319,Monthly,12/1/20,12/31/20,Virtual,,,,Remote,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (M),Regular school,3.30004E+11,28580,Academy for Science and Design Charter School,Charter agency,3300040,725,319,Monthly,1/1/21,1/31/21,Virtual,,,,Remote,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (M),Regular school,3.30004E+11,28580,Academy for Science and Design Charter School,Charter agency,3300040,725,319,Monthly,2/1/21,2/28/21,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (M),Regular school,3.30004E+11,28580,Academy for Science and Design Charter School,Charter agency,3300040,725,319,Monthly,3/1/21,3/31/21,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (M),Regular school,3.30004E+11,28580,Academy for Science and Design Charter School,Charter agency,3300040,725,319,Monthly,4/1/21,4/30/21,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (M),Regular school,3.30004E+11,28580,Academy for Science and Design Charter School,Charter agency,3300040,725,319,Monthly,5/1/21,5/31/21,In-person,,,,In-Person,,,,,,,,
New Hampshire,NH,School,Yes,Academy for Science and Design Charter (M),Regular school,3.30004E+11,28580,Academy for Science and Design Charter School,Charter agency,3300040,725,319,Monthly,6/1/21,6/30/21,In-person,,,,In-Person,,,,,,,,
New Hampshire,NH,School,No,Allenstown Elementary School,Regular school,3.30138E+11,22580,Allenstown School District,Local school district that is a component of a supervisory union,3301380,9,189,Monthly,9/1/20,9/30/20,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,No,Allenstown Elementary School,Regular school,3.30138E+11,22580,Allenstown School District,Local school district that is a component of a supervisory union,3301380,9,189,Monthly,10/1/20,10/31/20,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,No,Allenstown Elementary School,Regular school,3.30138E+11,22580,Allenstown School District,Local school district that is a component of a supervisory union,3301380,9,189,Monthly,11/1/20,11/30/20,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,No,Allenstown Elementary School,Regular school,3.30138E+11,22580,Allenstown School District,Local school district that is a component of a supervisory union,3301380,9,189,Monthly,12/1/20,12/31/20,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,No,Allenstown Elementary School,Regular school,3.30138E+11,22580,Allenstown School District,Local school district that is a component of a supervisory union,3301380,9,189,Monthly,1/1/21,1/31/21,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,No,Allenstown Elementary School,Regular school,3.30138E+11,22580,Allenstown School District,Local school district that is a component of a supervisory union,3301380,9,189,Monthly,2/1/21,2/28/21,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,No,Allenstown Elementary School,Regular school,3.30138E+11,22580,Allenstown School District,Local school district that is a component of a supervisory union,3301380,9,189,Monthly,3/1/21,3/31/21,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,No,Allenstown Elementary School,Regular school,3.30138E+11,22580,Allenstown School District,Local school district that is a component of a supervisory union,3301380,9,189,Monthly,4/1/21,4/30/21,In-person,,,,In-Person,,,,,,,,
New Hampshire,NH,School,No,Allenstown Elementary School,Regular school,3.30138E+11,22580,Allenstown School District,Local school district that is a component of a supervisory union,3301380,9,189,Monthly,5/1/21,5/31/21,In-person,,,,In-Person,,,,,,,,
New Hampshire,NH,School,No,Allenstown Elementary School,Regular school,3.30138E+11,22580,Allenstown School District,Local school district that is a component of a supervisory union,3301380,9,189,Monthly,6/1/21,6/30/21,In-person,,,,In-Person,,,,,,,,
New Hampshire,NH,School,No,Armand R. Dupont School,Regular school,3.30138E+11,22575,Allenstown School District,Local school district that is a component of a supervisory union,3301380,9,154,Monthly,9/1/20,9/30/20,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,No,Armand R. Dupont School,Regular school,3.30138E+11,22575,Allenstown School District,Local school district that is a component of a supervisory union,3301380,9,154,Monthly,10/1/20,10/31/20,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,No,Armand R. Dupont School,Regular school,3.30138E+11,22575,Allenstown School District,Local school district that is a component of a supervisory union,3301380,9,154,Monthly,11/1/20,11/30/20,Hybrid,,,,Hybrid,,,,,,,,
New Hampshire,NH,School,No,Armand R. Dupont School,Regular school,3.30138E+11,22575,Allenstown School District,Local school district that is a component of a supervisory union,3301380,9,154,Monthly,12/1/20,12/31/20,Hybrid,,,,Hybrid,,,,,,,,
