StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,9/13/20,9/19/20,In-person,,,,"97.53% FaceToFace, 0% Hybrid, 2.47% Distance",,,,158,0,4,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,9/20/20,9/26/20,In-person,,,,"97.53% FaceToFace, 0% Hybrid, 2.47% Distance",,,,158,0,4,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,9/27/20,10/3/20,In-person,,,,"97.53% FaceToFace, 0% Hybrid, 2.47% Distance",,,,158,0,4,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,10/4/20,10/10/20,In-person,,,,"97.53% FaceToFace, 0% Hybrid, 2.47% Distance",,,,158,0,4,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,10/11/20,10/17/20,In-person,,,,"98.15% FaceToFace, 0% Hybrid, 1.85% Distance",,,,159,0,3,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,10/18/20,10/24/20,In-person,,,,"98.15% FaceToFace, 0% Hybrid, 1.85% Distance",,,,159,0,3,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,161,Weekly,10/25/20,10/31/20,In-person,,,,"98.14% FaceToFace, 0% Hybrid, 1.86% Distance",,,,158,0,3,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,161,Weekly,11/1/20,11/7/20,In-person,,,,"98.14% FaceToFace, 0% Hybrid, 1.86% Distance",,,,158,0,3,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,11/8/20,11/14/20,In-person,,,,"97.53% FaceToFace, 0% Hybrid, 2.47% Distance",,,,158,0,4,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,11/15/20,11/21/20,In-person,,,,"97.53% FaceToFace, 0% Hybrid, 2.47% Distance",,,,158,0,4,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,11/22/20,11/28/20,In-person,,,,"90.74% FaceToFace, 0% Hybrid, 9.26% Distance",,,,147,0,15,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,11/29/20,12/5/20,In-person,,,,"90.74% FaceToFace, 0% Hybrid, 9.26% Distance",,,,147,0,15,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,12/6/20,12/12/20,In-person,,,,"91.98% FaceToFace, 0% Hybrid, 8.02% Distance",,,,149,0,13,,
