StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
South Dakota,SD,School,No,C-EB E.A.G.L.E. Center High School,Other/alternative school,4.6201E+11,20001-07,Eagle Butte 20-1,Regular local school district,4601233,20001,2,Monthly,8/1/20,8/31/20,Closed,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB E.A.G.L.E. Center High School,Other/alternative school,4.6201E+11,20001-07,Eagle Butte 20-1,Regular local school district,4601233,20001,2,Monthly,9/1/20,9/30/20,Virtual,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB E.A.G.L.E. Center High School,Other/alternative school,4.6201E+11,20001-07,Eagle Butte 20-1,Regular local school district,4601233,20001,2,Monthly,10/1/20,10/31/20,Virtual,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB E.A.G.L.E. Center High School,Other/alternative school,4.6201E+11,20001-07,Eagle Butte 20-1,Regular local school district,4601233,20001,2,Monthly,11/1/20,11/30/20,Virtual,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB E.A.G.L.E. Center High School,Other/alternative school,4.6201E+11,20001-07,Eagle Butte 20-1,Regular local school district,4601233,20001,2,Monthly,12/1/20,12/31/20,Virtual,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB E.A.G.L.E. Center High School,Other/alternative school,4.6201E+11,20001-07,Eagle Butte 20-1,Regular local school district,4601233,20001,2,Monthly,1/1/21,1/31/21,Virtual,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB E.A.G.L.E. Center High School,Other/alternative school,4.6201E+11,20001-07,Eagle Butte 20-1,Regular local school district,4601233,20001,2,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB E.A.G.L.E. Center High School,Other/alternative school,4.6201E+11,20001-07,Eagle Butte 20-1,Regular local school district,4601233,20001,2,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB E.A.G.L.E. Center High School,Other/alternative school,4.6201E+11,20001-07,Eagle Butte 20-1,Regular local school district,4601233,20001,2,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB E.A.G.L.E. Center High School,Other/alternative school,4.6201E+11,20001-07,Eagle Butte 20-1,Regular local school district,4601233,20001,2,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
South Dakota,SD,School,No,Elk Mountain High School,Regular school,4.6213E+11,16002-04,Elk Mountain 16-2,Regular local school district,4601371,16002,2,Monthly,8/1/20,8/31/20,In-person,,,,,,,,,,,,
South Dakota,SD,School,No,Elk Mountain High School,Regular school,4.6213E+11,16002-04,Elk Mountain 16-2,Regular local school district,4601371,16002,2,Monthly,9/1/20,9/30/20,In-person,,,,,,,,,,,,
South Dakota,SD,School,No,Elk Mountain High School,Regular school,4.6213E+11,16002-04,Elk Mountain 16-2,Regular local school district,4601371,16002,2,Monthly,10/1/20,10/31/20,In-person,,,,,,,,,,,,
South Dakota,SD,School,No,Elk Mountain High School,Regular school,4.6213E+11,16002-04,Elk Mountain 16-2,Regular local school district,4601371,16002,2,Monthly,11/1/20,11/30/20,In-person,,,,,,,,,,,,
South Dakota,SD,School,No,Elk Mountain High School,Regular school,4.6213E+11,16002-04,Elk Mountain 16-2,Regular local school district,4601371,16002,2,Monthly,12/1/20,12/31/20,In-person,,,,,,,,,,,,
South Dakota,SD,School,No,Elk Mountain High School,Regular school,4.6213E+11,16002-04,Elk Mountain 16-2,Regular local school district,4601371,16002,2,Monthly,1/1/21,1/31/21,In-person,,,,,,,,,,,,
South Dakota,SD,School,No,Elk Mountain High School,Regular school,4.6213E+11,16002-04,Elk Mountain 16-2,Regular local school district,4601371,16002,2,Monthly,2/1/21,2/28/21,In-person,,,,,,,,,,,,
South Dakota,SD,School,No,Elk Mountain High School,Regular school,4.6213E+11,16002-04,Elk Mountain 16-2,Regular local school district,4601371,16002,2,Monthly,3/1/21,3/31/21,In-person,,,,,,,,,,,,
South Dakota,SD,School,No,Elk Mountain High School,Regular school,4.6213E+11,16002-04,Elk Mountain 16-2,Regular local school district,4601371,16002,2,Monthly,4/1/21,4/30/21,In-person,,,,,,,,,,,,
South Dakota,SD,School,No,Elk Mountain High School,Regular school,4.6213E+11,16002-04,Elk Mountain 16-2,Regular local school district,4601371,16002,2,Monthly,5/1/21,5/31/21,In-person,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB High School,Regular school,4.6201E+11,20001-01,Eagle Butte 20-1,Regular local school district,4600956,20001,3,Monthly,8/1/20,8/31/20,Closed,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB High School,Regular school,4.6201E+11,20001-01,Eagle Butte 20-1,Regular local school district,4600956,20001,3,Monthly,9/1/20,9/30/20,Virtual,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB High School,Regular school,4.6201E+11,20001-01,Eagle Butte 20-1,Regular local school district,4600956,20001,3,Monthly,10/1/20,10/31/20,Virtual,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB High School,Regular school,4.6201E+11,20001-01,Eagle Butte 20-1,Regular local school district,4600956,20001,3,Monthly,11/1/20,11/30/20,Virtual,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB High School,Regular school,4.6201E+11,20001-01,Eagle Butte 20-1,Regular local school district,4600956,20001,3,Monthly,12/1/20,12/31/20,Virtual,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB High School,Regular school,4.6201E+11,20001-01,Eagle Butte 20-1,Regular local school district,4600956,20001,3,Monthly,1/1/21,1/31/21,Virtual,,,,,,,,,,,,
South Dakota,SD,School,No,C-EB High School,Regular school,4.6201E+11,20001-01,Eagle Butte 20-1,Regular local school district,4600956,20001,3,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
