,pct_sex_age_under_5,pct_sex_age_5_to_9,pct_sex_age_10_to_14,pct_sex_age_15_to_19,pct_sex_age_20_to_24,pct_sex_age_25_to_34,pct_sex_age_35_to_44,pct_sex_age_45_to_54,pct_sex_age_55_to_59,pct_sex_age_60_to_64,pct_sex_age_65_to_74,pct_sex_age_75_to_84,pct_sex_age_85+,median_age,pct_sex_age_16+,pct_sex_age_18+,pct_sex_age_21+,pct_sex_age_62+,pct_sex_age_65+,pct_sex_age_18+_male,pct_sex_age_18+_female,pct_sex_age_65+_male,pct_sex_age_65+_female,pct_one_or_more_race,pct_one_or_more_race_white,pct_one_or_more_race_black,pct_one_or_more_race_native_american,pct_one_or_more_race_asian,pct_one_or_more_race_native_hawaiian_pacific_islander,pct_one_or_more_race_other_race,pct_ethnicity_hispanic,id,Geographic Area Name,year,total_pop
0,5.7,7.0,7.1,7.1,6.3,12.4,13.6,14.5,7.2,4.9,8.4,4.3,1.5,(X),78.1,75.5,71.5,16.7,14.3,48.0,52.0,43.5,56.5,55036,78.2,19.6,0.8,1.5,0.2,1.3,2.7,0500000US01001,"Autauga County, Alabama",2017,55036
1,5.7,6.1,6.4,6.2,5.3,11.2,12.5,13.6,6.8,7.3,11.5,5.7,1.9,(X),80.5,77.9,74.6,23.6,19.0,48.2,51.8,46.6,53.4,203360,87.8,9.9,1.4,1.3,0.0,1.3,4.4,0500000US01003,"Baldwin County, Alabama",2017,203360
2,5.5,5.6,6.4,5.6,6.6,14.4,12.2,13.5,6.9,6.0,10.6,5.2,1.6,(X),81.1,79.0,75.4,21.0,17.4,54.0,46.0,43.3,56.7,26201,47.3,48.3,0.5,0.9,0.0,3.8,4.2,0500000US01005,"Barbour County, Alabama",2017,26201
3,5.7,5.5,5.8,6.5,6.3,14.4,13.1,15.1,6.5,6.1,8.7,5.0,1.4,(X),81.6,79.1,74.3,19.0,15.1,53.9,46.1,43.7,56.3,22580,77.6,22.5,0.7,0.0,0.0,0.0,2.4,0500000US01007,"Bibb County, Alabama",2017,22580
4,6.1,6.3,7.0,6.6,5.6,11.6,12.4,14.2,6.7,6.2,10.5,5.4,1.5,(X),79.6,76.5,73.0,21.1,17.4,49.0,51.0,44.3,55.7,57667,97.1,2.1,1.2,0.5,0.1,0.8,9.0,0500000US01009,"Blount County, Alabama",2017,57667
5,5.8,6.3,5.0,5.9,6.5,11.2,15.3,14.8,6.4,7.5,9.6,4.2,1.4,(X),81.3,79.3,76.1,19.3,15.2,55.1,44.9,42.2,57.8,10478,22.6,75.6,1.7,0.7,0.0,0.0,0.3,0500000US01011,"Bullock County, Alabama",2017,10478
6,5.9,6.3,6.5,6.4,5.6,12.0,12.2,12.3,7.2,7.1,10.1,5.9,2.6,(X),79.9,77.3,73.8,22.4,18.5,45.1,54.9,40.9,59.1,20126,53.7,45.8,0.7,1.2,0.0,0.1,0.3,0500000US01013,"Butler County, Alabama",2017,20126
7,5.7,6.1,6.2,6.8,6.9,12.9,12.1,13.2,6.7,7.0,9.8,4.9,1.8,(X),80.6,78.0,73.8,20.5,16.5,47.3,52.7,42.5,57.5,115527,76.7,21.8,1.2,1.3,0.1,1.4,3.6,0500000US01015,"Calhoun County, Alabama",2017,115527
8,6.1,5.1,6.5,5.6,6.8,11.6,11.5,14.0,7.8,6.5,10.9,5.2,2.4,(X),81.0,78.6,75.6,22.4,18.6,47.3,52.7,41.8,58.2,33895,58.6,40.0,0.5,1.1,0.0,0.8,2.2,0500000US01017,"Chambers County, Alabama",2017,33895
9,4.5,5.6,6.0,6.1,5.1,9.8,11.5,14.6,7.8,8.1,13.0,6.3,1.7,(X),82.7,79.9,76.8,25.8,21.0,49.6,50.4,46.6,53.4,25855,94.1,5.2,1.3,0.2,0.0,0.2,1.6,0500000US01019,"Cherokee County, Alabama",2017,25855
10,6.5,6.4,7.1,6.2,6.1,12.8,13.3,12.9,7.3,6.0,9.4,4.7,1.5,(X),78.8,75.9,72.5,18.5,15.5,48.8,51.2,45.1,54.9,43805,85.0,10.8,1.0,0.5,0.0,4.6,7.7,0500000US01021,"Chilton County, Alabama",2017,43805
11,5.0,5.5,6.0,6.5,5.4,9.9,11.2,14.1,7.9,7.0,12.4,7.4,1.8,(X),82.3,79.5,76.0,26.2,21.5,46.6,53.4,43.8,56.2,13188,57.3,42.9,0.9,0.1,0.0,0.1,0.5,0500000US01023,"Choctaw County, Alabama",2017,13188
12,5.5,5.7,6.8,6.7,6.6,10.6,12.0,13.9,7.3,6.5,10.3,5.7,2.4,(X),80.7,77.6,73.8,22.5,18.5,46.6,53.4,43.8,56.2,24625,53.7,46.1,0.1,0.5,0.1,0.0,0.2,0500000US01025,"Clarke County, Alabama",2017,24625
13,5.0,5.9,6.5,6.7,5.3,10.1,12.3,14.1,8.1,6.5,11.4,6.1,1.9,(X),81.1,78.7,73.9,23.9,19.5,47.5,52.5,45.4,54.6,13407,84.1,15.4,1.2,0.0,0.0,0.2,3.1,0500000US01027,"Clay County, Alabama",2017,13407
14,5.9,6.7,6.7,6.0,5.3,10.9,12.7,14.3,7.0,6.2,10.7,4.8,3.0,(X),79.3,76.9,73.9,21.8,18.5,48.4,51.6,44.0,56.0,14939,95.9,3.8,0.5,0.6,0.0,0.5,2.4,0500000US01029,"Cleburne County, Alabama",2017,14939
15,6.2,6.7,6.5,6.6,5.9,12.6,13.1,13.8,7.0,5.6,9.1,5.2,1.7,(X),79.1,76.3,73.0,18.9,16.0,48.9,51.1,43.9,56.1,51073,79.0,18.6,2.6,2.1,0.1,0.9,6.7,0500000US01031,"Coffee County, Alabama",2017,51073
16,5.7,6.0,6.0,5.9,5.9,12.0,11.9,13.7,7.2,6.9,10.8,6.0,2.1,(X),81.3,78.5,75.5,23.1,18.9,47.1,52.9,42.6,57.4,54435,81.5,17.0,1.4,0.8,0.0,1.5,2.4,0500000US01033,"Colbert County, Alabama",2017,54435
17,6.3,7.2,4.8,6.3,6.1,9.2,10.9,13.1,8.1,6.9,12.7,5.5,2.8,(X),80.0,78.1,74.1,24.7,21.1,47.6,52.4,45.1,54.9,12649,52.4,47.5,1.4,0.3,0.3,0.0,1.8,0500000US01035,"Conecuh County, Alabama",2017,12649
18,3.5,4.3,6.1,5.6,6.3,9.6,12.8,13.6,9.4,7.7,12.1,6.7,2.2,(X),84.8,82.6,78.4,25.5,21.0,50.3,49.7,46.0,54.0,10955,66.7,34.5,0.1,0.0,0.0,0.0,0.1,0500000US01037,"Coosa County, Alabama",2017,10955
19,5.8,6.1,6.3,5.6,5.8,11.3,11.1,13.4,7.1,7.1,11.2,6.8,2.2,(X),80.7,78.0,74.9,24.5,20.3,47.3,52.7,42.3,57.7,37519,85.8,13.5,1.1,0.6,0.0,0.2,1.6,0500000US01039,"Covington County, Alabama",2017,37519
20,5.7,6.3,6.7,6.9,5.3,10.8,12.4,13.5,8.0,6.4,10.7,5.1,2.1,(X),80.2,77.4,73.0,21.7,17.9,47.9,52.1,42.8,57.2,13866,72.9,25.1,1.2,1.5,0.0,1.1,1.8,0500000US01041,"Crenshaw County, Alabama",2017,13866
21,6.0,5.6,6.9,6.0,6.0,12.3,12.4,13.6,7.0,6.3,10.6,5.7,1.5,(X),80.1,77.5,74.1,21.3,17.8,48.6,51.4,43.5,56.5,81703,96.8,1.6,1.2,0.6,0.0,1.0,4.2,0500000US01043,"Cullman County, Alabama",2017,81703
22,6.6,6.1,6.7,6.4,6.7,14.5,11.9,12.5,7.2,5.5,9.3,4.9,1.6,(X),79.3,76.5,72.9,18.5,15.8,48.9,51.1,43.5,56.5,49393,76.4,21.6,1.8,2.4,0.2,1.9,6.1,0500000US01045,"Dale County, Alabama",2017,49393
23,6.2,6.8,7.2,7.2,6.7,11.7,11.0,12.7,7.4,6.9,9.6,5.1,1.6,(X),78.0,75.3,70.9,20.7,16.3,44.9,55.1,41.9,58.1,40755,28.5,70.8,0.4,0.6,0.2,0.3,1.0,0500000US01047,"Dallas County, Alabama",2017,40755
