,id,median_age,Geographic Area Name,year,total_pop
0,0500000US01001,37.8,"Autauga County, Alabama",2018,55200
1,0500000US01003,42.8,"Baldwin County, Alabama",2018,208107
2,0500000US01005,39.9,"Barbour County, Alabama",2018,25782
3,0500000US01007,39.9,"Bibb County, Alabama",2018,22527
4,0500000US01009,40.8,"Blount County, Alabama",2018,57645
5,0500000US01011,39.6,"Bullock County, Alabama",2018,10352
6,0500000US01013,40.7,"Butler County, Alabama",2018,20025
7,0500000US01015,39.7,"Calhoun County, Alabama",2018,115098
8,0500000US01017,43.0,"Chambers County, Alabama",2018,33826
9,0500000US01019,45.9,"Cherokee County, Alabama",2018,25853
10,0500000US01021,38.6,"Chilton County, Alabama",2018,43930
11,0500000US01023,46.1,"Choctaw County, Alabama",2018,13075
12,0500000US01025,42.3,"Clarke County, Alabama",2018,24387
13,0500000US01027,43.7,"Clay County, Alabama",2018,13378
14,0500000US01029,42.5,"Cleburne County, Alabama",2018,14938
15,0500000US01031,39.3,"Coffee County, Alabama",2018,51288
16,0500000US01033,42.7,"Colbert County, Alabama",2018,54495
17,0500000US01035,44.8,"Conecuh County, Alabama",2018,12514
18,0500000US01037,46.9,"Coosa County, Alabama",2018,10855
19,0500000US01039,43.9,"Covington County, Alabama",2018,37351
20,0500000US01041,41.5,"Crenshaw County, Alabama",2018,13865
21,0500000US01043,40.6,"Cullman County, Alabama",2018,82313
22,0500000US01045,37.5,"Dale County, Alabama",2018,49255
23,0500000US01047,39.5,"Dallas County, Alabama",2018,40029
24,0500000US01049,39.3,"DeKalb County, Alabama",2018,71200
25,0500000US01051,38.6,"Elmore County, Alabama",2018,81212
26,0500000US01053,39.7,"Escambia County, Alabama",2018,37328
27,0500000US01055,41.3,"Etowah County, Alabama",2018,102939
28,0500000US01057,43.8,"Fayette County, Alabama",2018,16585
29,0500000US01059,37.6,"Franklin County, Alabama",2018,31542
30,0500000US01061,42.4,"Geneva County, Alabama",2018,26491
31,0500000US01063,42.5,"Greene County, Alabama",2018,8426
32,0500000US01065,39.2,"Hale County, Alabama",2018,14887
33,0500000US01067,44.1,"Henry County, Alabama",2018,17124
34,0500000US01069,39.8,"Houston County, Alabama",2018,104352
35,0500000US01071,43.3,"Jackson County, Alabama",2018,52094
36,0500000US01073,37.7,"Jefferson County, Alabama",2018,659892
37,0500000US01075,44.5,"Lamar County, Alabama",2018,13933
38,0500000US01077,41.4,"Lauderdale County, Alabama",2018,92585
39,0500000US01079,42.2,"Lawrence County, Alabama",2018,33171
40,0500000US01081,31.4,"Lee County, Alabama",2018,159287
41,0500000US01083,39.5,"Limestone County, Alabama",2018,93052
42,0500000US01085,41.6,"Lowndes County, Alabama",2018,10236
43,0500000US01087,38.0,"Macon County, Alabama",2018,19054
44,0500000US01089,38.5,"Madison County, Alabama",2018,357560
45,0500000US01091,42.7,"Marengo County, Alabama",2018,19538
